record_id,timestamp,incident_type,affected_document,original_classification,collapse_classification,restored_classification,archive_section,witness,severity,notes
GCR-001,720-03-14 08:12,circular_citation,MS-0501,expedition_report,expedition_report citing itself,expedition_report,Section A-7,Archivist Torrel Goss,moderate,First recorded incident - manuscript began citing its own appendix
GCR-002,720-03-14 08:34,reclassification,MS-0502,legal_document,treatise on itself,irrecoverable,Section A-7,Archivist Torrel Goss,severe,Document transformed its genre while being read
GCR-003,720-03-14 09:01,index_loop,INDEX-A7,alphabetical_order,recursive_order,alphabetical_order,Section A-7,Archivist Torrel Goss,moderate,Index began referencing its own entries
GCR-004,720-03-14 09:15,hierarchy_inversion,CATALOG-A,standard_hierarchy,inverted_hierarchy,standard_hierarchy,Central Catalog,Archivist Menna Krey,severe,Parent categories became children of their children
GCR-005,720-03-14 09:42,reclassification,MS-0503,memoir,document_about_documents,memoir,Section B-2,Archivist Vell Horth,moderate,Self-referential transformation
GCR-006,720-03-14 10:08,circular_citation,MS-0504,treatise,treatise_on_treatises,irrecoverable,Section B-2,Archivist Vell Horth,catastrophic,Complete semantic collapse
GCR-007,720-03-14 10:33,index_loop,INDEX-B2,subject_order,loop_order,subject_order,Section B-2,Archivist Vell Horth,minor,Brief loop quickly corrected
GCR-008,720-03-14 11:15,reclassification,MS-0505,history,history_of_classifications,history,Section C-1,Archivist Pell Strand,moderate,Document about classification became self-aware
GCR-009,720-03-14 11:47,hierarchy_inversion,CATALOG-B,nested_structure,flat_structure,nested_structure,Central Catalog,Archivist Menna Krey,severe,All nesting collapsed temporarily
GCR-010,720-03-14 12:22,circular_citation,MS-0506,expedition_report,report_citing_future_report,irrecoverable,Section A-7,Archivist Torrel Goss,catastrophic,Temporal citation paradox
GCR-011,720-03-14 13:05,reclassification,MS-0507,poetry,prose_about_poetry,poetry,Section D-4,Archivist Kern Losh,minor,Quick self-correction observed
GCR-012,720-03-14 13:38,index_loop,INDEX-C1,chronological,self_chronological,chronological,Section C-1,Archivist Pell Strand,moderate,Index dated its own creation
GCR-013,720-03-14 14:12,hierarchy_inversion,CATALOG-C,three_level,single_level,three_level,Central Catalog,Archivist Menna Krey,moderate,Hierarchy flattened then restored
GCR-014,720-03-14 14:45,reclassification,MS-0508,legal_document,law_about_laws,legal_document,Section E-1,Archivist Denn Valt,moderate,Meta-legal transformation
