example_id,source_functor,target_functor,transformation_name,domain_object,source_value,target_value,component_morphism,year_proposed,proposer,context,is_natural,naturality_verified,notes
NT-001,subject_catalog_functor,author_index_functor,catalog_to_author,boundary_survey_847,"{boundaries,surveys}","{torvun_kell}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,First example of natural transformation between archive functors
NT-002,subject_catalog_functor,author_index_functor,catalog_to_author,expedition_log_855,"{expeditions,routes}","{survey_team_alpha}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,Expedition documents show consistent naturality
NT-003,author_index_functor,date_registry_functor,author_to_date,vornis_keth_papers,"{vornis_keth}","{847-01-03,847-12-15}",map_authors_to_dates,950,gellen_tross,temporal_indexing,true,true,Mapping author to publication dates
NT-004,subject_catalog_functor,date_registry_functor,catalog_to_date,sw_sector_anomalies,"{anomalies,SW-sector}","{847-01-19,849-03-12}",composition,950,gellen_tross,chained_transformation,true,true,Demonstrates composition of natural transformations
NT-005,embedding_functor_A,embedding_functor_B,model_shift,boundary_measurements,0.85,0.72,linear_transform,952,gellen_tross,numerical_embeddings,true,true,First numerical example connecting to Dray's work
NT-006,embedding_functor_A,embedding_functor_B,model_shift,expedition_reports,0.45,0.62,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Expedition embeddings under transformation
NT-007,embedding_functor_A,embedding_functor_B,model_shift,scholarly_treatises,0.93,0.88,linear_transform,952,gellen_tross,numerical_embeddings,true,true,Scholarly works preserve high similarity under shift
NT-008,weighted_passage_functor,unweighted_functor,forget_weights,keth_basin_data,"{w:0.8,morphism:measure}","{morphism:measure}",weight_erasure,955,gellen_tross,enriched_to_ordinary,true,true,Forgetting weights is natural transformation
NT-009,unweighted_functor,weighted_passage_functor,unit_weights,simple_passage,"{morphism:traverse}","{w:1.0,morphism:traverse}",weight_inclusion,955,gellen_tross,ordinary_to_enriched,true,true,Adding unit weights is natural
NT-010,document_functor_D1,document_functor_D2,representation_shift,archive_catalog,"{records:45,classifications:7}","{entries:45,tags:12}",catalog_restructure,958,gellen_tross,archive_reorganization,true,true,Natural transformation under archive restructuring
NT-011,subject_catalog_functor,author_index_functor,catalog_to_author,creature_report_862,"{creatures,encounters}","{expedition_surveyor}",map_topics_to_authors,948,gellen_tross,document_classification,true,true,Creature reports follow naturality
NT-012,embedding_functor_A,embedding_functor_C,radical_shift,boundary_survey_847,0.85,0.32,nonlinear_transform,960,lorren_dray,non_natural_example,false,false,Counterexample: nonlinear transforms fail naturality
NT-013,embedding_functor_A,embedding_functor_C,radical_shift,scholarly_treatises,0.93,0.15,nonlinear_transform,960,lorren_dray,non_natural_example,false,false,Dray demonstrates naturality failure
NT-014,representable_functor_A,representable_functor_B,perspective_shift,any_document,hom_from_A,hom_from_B,yoneda_morphism,962,gellen_tross,yoneda_lemma_connection,true,true,Natural transformations between representables
