attempt_id,attempt_name,pathology_case_id,pathology_type,pathology_severity,recovery_approach,primary_method,secondary_methods,method_novelty,resources_required,resource_intensity,duration_days,phases,setbacks,complications,progress_pattern,outcome,function_restored_percent,residual_symptoms,recurrence_risk,success_factors,failure_factors,theoretical_framework,framework_adequate,replicability,applicability,protocol_developed,location,region,start_year,end_year,lead_practitioner,team_size,confidence,cross_reference,notes
RA-0001,Boundary Restoration Project 756,BD-0029,boundary_dissolution,mild,restoration,relocation,"external_structure, medication, navigation_recalibration",established,skilled_healer,minimal,103,4,18,relapse,no_progress,no_improvement,9.9,False,very_high,,irreversible_damage,tross_boundaries,True,moderately_replicable,limited_applicability,False,Northern approach,Tower of Mirado,909,910,Indigenous Consultant,2,0.88,BD-0029,
RA-0002,Ghost Clearance Case 350,NP-0021,navigation_pathology,severe,restoration,external_structure,"boundary_reinforcement, relocation, ghost_clearance",established,time,high,868,5,0,side_effects,plateau_then_breakthrough,substantial_recovery,86.6,True,moderate,matched_method,,voss_navigation,True,highly_replicable,limited_applicability,True,Capital outskirts,Capital,925,928,M. Strand,17,0.71,NP-0021,
RA-0003,Ghost Clearance Case 322,BD-0132,boundary_dissolution,catastrophic,reconstruction,relocation,"boundary_reinforcement, surgery, ghost_clearance",modified,collective_effort,high,1441,5,6,relapse,rapid_then_slow,stabilization,43.8,False,high,,,tross_boundaries,True,moderately_replicable,specific_conditions_only,False,Southern perimeter,Dens boundary,900,904,K. Vorn,8,0.73,BD-0132,
RA-0004,Federation Recovery 954,NP-0173,navigation_pathology,catastrophic,reconstruction,navigation_recalibration,relocation,established,skilled_healer,high,1117,3,3,,rapid_then_slow,death_dissolution,0.0,True,high,,ongoing_exposure,voss_navigation,False,case_specific,similar_navigation_pathology,False,Isolation community,Northo,894,898,Specialist Team,6,0.75,NP-0173,
RA-0005,Integration Attempt 669,HS-0174,horizon_shrinkage,moderate,integration,relocation,"medication, resonance_retuning, external_structure",modified,time,moderate,366,5,0,relapse,stepwise,substantial_recovery,94.3,True,moderate,adequate_resources,,strand_horizons,True,moderately_replicable,limited_applicability,True,Southern perimeter,Dens boundary,918,920,Archive Recovery Team,4,0.75,HS-0174,
RA-0006,Ghost Clearance Case 300,BD-0107,boundary_dissolution,moderate,reconstruction,isolation,"pattern_editing, substrate_repair",modified,collective_effort,moderate,573,3,3,relapse,stepwise,substantial_recovery,94.3,False,moderate,skilled_healer,,tross_boundaries,True,case_specific,similar_boundary_dissolution,False,Southern perimeter,Dens boundary,933,935,Field Healer,9,0.6,BD-0107,
RA-0007,Isolation Protocol 536,GC-0084,ghost_contamination,moderate,isolation,pattern_editing,ghost_clearance,modified,specialized_equipment,minimal,1409,1,3,relapse,gradual_throughout,stabilization,45.6,True,high,,,moll_ghosts,True,moderately_replicable,specific_conditions_only,False,Sector SW-6,Dens boundary,938,940,Field Healer,2,0.56,GC-0084,
RA-0008,Integration Attempt 60,BD-0087,boundary_dissolution,mild,transformation,boundary_reinforcement,"external_structure, ghost_clearance, relocation",established,specialized_equipment,minimal,1574,3,7,resource_exhaustion,rapid_then_slow,stabilization,28.8,True,moderate,,,tross_boundaries,True,moderately_replicable,similar_boundary_dissolution,False,Northern workings,Yeller Quarry,919,924,Strand Rehabilitation Center,4,0.55,BD-0087,
RA-0009,Federation Recovery 490,BD-0046,boundary_dissolution,moderate,adaptation,relocation,"external_structure, pattern_editing, ghost_clearance",experimental,social_support,high,323,2,12,relapse,no_progress,no_improvement,12.7,False,very_high,,ongoing_exposure,tross_boundaries,True,case_specific,similar_boundary_dissolution,False,Quarry interior,Yeller Quarry,917,918,Healing Institute Team,6,0.79,BD-0046,
RA-0010,Horizon Expansion Program 920,NP-0026,navigation_pathology,severe,reconstruction,resonance_retuning,"observation_cessation, medication, boundary_reinforcement",established,quiet_location,extreme,1332,1,4,relapse,oscillating,partial_recovery,61.8,True,moderate,matched_method,,voss_navigation,False,case_specific,similar_navigation_pathology,False,Capital outskirts,Capital,937,940,Specialist Team,18,0.78,NP-0026,
