senator_id,name,title,faction,term_start,term_end,status,region_represented,committees,key_positions,notable_votes,political_stance,notes
SEN-001,Senator Polkopo,Senator,Unknown,unknown,unknown,historical,Capital,Unknown,Unknown,Unknown,Unknown,"Referenced in dens ore.txt. Early Senate member."
SEN-002,Unknown Chair,Military Committee Chair,Military Hawks,unknown,unknown,active,Capital,Senate Military Committee,Committee Chair,Approved First Siege March,pro_expansion,"Chair of Senate Military Committee. Backs Colonel Viragu."
SEN-003,Unknown Senator,Senator,Military Hawks,unknown,unknown,active,Unknown,Senate Military Committee,Committee Member,Approved siege funding,pro_expansion,"Political backer of Mirado siege. Referenced in MS-0050."
SEN-004,Unknown Senator,Senator,Cafnet Party,unknown,unknown,historical,Capital,Unknown,Archivist Employment,Unknown,bureaucratic,"Cafnet party member. Employed Colonel for Archivist work pre-siege."
SEN-005,Unknown Senator,Senator,Cafnet Party,unknown,unknown,historical,Capital,Unknown,Anonymous bureaucracy advocate,Unknown,bureaucratic,"Cafnet party 'anonymous bureaucracy' movement."
SEN-006,Unknown Chair,Intelligence Committee Chair,Cautious Faction,unknown,unknown,active,Capital,Senate Intelligence Committee,Committee Chair,Approved Dens Border Investigation,moderate,"Commissioned Captain Vrell's Dens investigation."
SEN-007,Unknown Senator,Senator,Cautious Faction,unknown,unknown,active,Unknown,Senate Intelligence Committee,Committee Member,Approved boundary monitoring,moderate,"Concerned about densmuck encroachment."
SEN-008,Unknown Chair,Population Committee Chair,Administrative,unknown,unknown,active,Capital,Senate Population Committee,Committee Chair,Approved Northern Census,administrative,"Commissioned Administrator Venn's census work."
SEN-009,Unknown Senator,Senator,Administrative,unknown,unknown,active,Northern,Senate Population Committee,Northern Representative,Supported village documentation,administrative,"Represents northern village interests."
SEN-010,Unknown Senator,Senator,Expedition Skeptics,unknown,unknown,active,Capital,Department of Natural Inventory Oversight,Oversight Role,Questioned expedition casualties,skeptical,"Questions high casualty rates in Quarry expeditions."
SEN-011,Unknown Senator,Senator,Expedition Skeptics,unknown,unknown,active,Tripas,Department of Natural Inventory Oversight,Committee Member,Voted against Ninth Expedition,skeptical,"Warned against deep penetration surveys."
SEN-012,Unknown Senator,Senator,Merchant Bloc,unknown,unknown,active,Capital,Trade Committee,Trade Liaison,Supported Tripas routes,mercantile,"Supports Merchant Guild trade route initiatives."
SEN-013,Unknown Senator,Senator,Merchant Bloc,unknown,unknown,active,Tripas,Trade Committee,Regional Advocate,Backed Foreman Hask,mercantile,"Represents Tripas trading interests."
SEN-014,Unknown Senator,Senator,Archive Supporters,unknown,unknown,active,Capital,Archive Oversight,Archive Liaison,Supported licensing reforms,scholarly,"Backed Oric Valdun's licensing framework."
SEN-015,Unknown Senator,Senator,Archive Supporters,unknown,unknown,active,Capital,Archive Oversight,Standards Advocate,Supported authentication standards,scholarly,"Backed Pella Valdun's provenance standards."
SEN-016,Final Push Backer,Senator,Military Hawks,910,ongoing,active,Capital,Senate Military Committee,Siege Advocate,Funded Colonel's Final Push,pro_expansion,"Senator backing renewed Mirado assault for political reasons."
SEN-017,Unknown Senator,Senator,Isolationists,unknown,unknown,active,Northern,Defense Committee,Border Defense,Opposed expansion,isolationist,"Opposes military expansion beyond Capital region."
SEN-018,Unknown Senator,Senator,Isolationists,unknown,unknown,active,Capital,Defense Committee,Committee Member,Questioned siege resources,isolationist,"Questions resource allocation to distant siege."
SEN-019,Unknown Senator,Senator,Reformists,unknown,unknown,active,Capital,Expedition Protocol Committee,Protocol Reform,Supported Maren Drusk,reformist,"Supports Algorithmic Expedition Initiative standardization."
SEN-020,Unknown Senator,Senator,Traditionalists,unknown,unknown,active,Unknown,Expedition Protocol Committee,Traditional Methods,Opposed standardization,traditionalist,"Supports Vass Tonner's traditional methods."
