observation_id,location_id,location_name,region,pre_observation_stability,observer_count,observation_duration_hours,instruments_used,post_observation_stability,stability_change,prebel_effect_magnitude,confounding_weather,confounding_season,confounding_nearby_activity,observer_names,notes
OBS-0001,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.23,3,4.5,compass;depth_gauge,0.41,0.18,0.72,clear,summer,none,"Prebel Cord, Tomas Grell, Vagabu Olt",Significant stabilization observed despite high initial volatility
OBS-0002,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.31,2,2.0,depth_gauge,0.38,0.07,0.35,rain,autumn,mining_nearby,"Senna Grell, Gareth Poll",Modest effect; confounded by nearby mining operations
OBS-0003,CAPIT_CENTRAL_ARCH,Central Archive,Capital,0.89,1,8.0,none,0.91,0.02,0.22,clear,winter,none,Queever,Already stable; minimal measurable effect
OBS-0004,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.45,4,6.0,compass;barometer,0.68,0.23,0.85,overcast,spring,construction,"Prebel Cord, Rella Tarn, Vass Tonner, Maren Drusk",Strong effect with four observers despite construction
OBS-0005,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.72,2,12.0,none,0.84,0.12,0.43,clear,winter,none,"Prebel Cord, Captain Vrell",Monastic sites show moderate response to observation
OBS-0006,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.19,5,3.0,compass;rope_gauge,0.52,0.33,0.94,storm,summer,none,"Tomas Grell, Senna Grell, Vagabu Olt, Jara Torval, Wen Torval",Dramatic stabilization during storm; bridge stopped swaying
OBS-0007,CAPIT_SENATE_SQUAR,Senate Square,Capital,0.67,1,1.5,none,0.69,0.02,0.13,clear,autumn,market_day,Donal Crest,Minimal effect in public spaces
OBS-0008,YELLE_TRAP_FIELDS_,Trap Fields North,Yeller,0.28,3,5.0,compass;trap_meter,0.49,0.21,0.78,clear,spring,trapping,"Hesta Vorn, Pollux Dann, Renna Caw",Trap mechanisms more reliable during observation
OBS-0009,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.51,2,4.0,compass,0.62,0.11,0.44,fog,autumn,none,"Gareth Poll, Prebel Cord",Boundary site; moderate effect through fog
OBS-0010,DENSM_OVERPASS_GRA,Overpass Graffiti Span,Densmok,0.38,1,2.0,none,0.41,0.03,0.11,clear,summer,traffic,Vass Tonner,Single observer insufficient for urban infrastructure
OBS-0011,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.21,5,8.0,compass;depth_gauge;barometer,0.67,0.46,0.97,clear,autumn,none,"Prebel Cord, Tomas Grell, Vagabu Olt, Kerith Moll, Archon Vells",Maximum observed effect; sustained observation by five scholars
OBS-0012,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.81,1,24.0,none,0.88,0.07,0.34,clear,winter,none,Prebel Cord,Extended solo observation of monastery
OBS-0013,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.34,2,3.0,none,0.42,0.08,0.32,rain,spring,market_day,"Lurra Venn, Meck Drune",Market activity may confound measurements
OBS-0014,CAPIT_DEADRIVER_FE,Deadriver Ferry Office,Capital,0.58,3,4.0,compass,0.71,0.13,0.52,overcast,summer,ferry_traffic,"Prebel Cord, Solta Venn, Administrator Venn",Bureaucratic sites show moderate stabilization
OBS-0015,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.26,4,6.0,depth_gauge,0.55,0.29,0.88,clear,spring,none,"Rella Tarn, Hesta Vorn, Pollux Dann, Jara Torval",High effect on unstable rim structures
OBS-0016,CAPEA_RIVERSLAND_S,Riversland Subdivision,Capeast,0.71,1,2.0,none,0.73,0.02,0.10,clear,summer,construction,Gareth Poll,Stable suburban area; negligible effect
OBS-0017,YELLE_YELLER_GUIDE,Yeller Guide Office,Yeller,0.44,2,4.0,compass,0.56,0.12,0.46,clear,autumn,paperwork,"Lurra Venn, Old Murch",Bureaucratic frontier shows moderate response
OBS-0018,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.39,3,5.0,barometer,0.54,0.15,0.58,overcast,winter,industrial,"Maren Drusk, Vass Tonner, Gareth Poll",Industrial activity reduces but does not eliminate effect
OBS-0019,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.77,1,48.0,none,0.89,0.12,0.50,snow,winter,none,Prebel Cord,Two-day observation of isolated hermitage
OBS-0020,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.28,4,6.0,depth_gauge;compass,0.61,0.33,0.91,clear,summer,none,"Prebel Cord, Hesta Vorn, Renna Caw, Pollux Dann",Subterranean sites highly responsive when conditions clear
OBS-0021,CAPIT_KACHOT_CARDH,Kachot Cardhouse,Capital,0.42,2,3.0,none,0.47,0.05,0.19,clear,autumn,gambling,Mink Pavar,Gambling house; social chaos reduces effect
OBS-0022,YELLE_TRAP_FIELDS_,Trap Fields South,Yeller,0.31,2,4.0,trap_meter,0.44,0.13,0.48,rain,spring,trapping,"Wen Torval, Jara Torval",Southern fields less responsive than northern
OBS-0023,CAPIT_PAPER_BINDER,Paper Binders Row,Capital,0.82,1,6.0,none,0.84,0.02,0.11,clear,summer,paperwork,Solta Venn,Highly stable archival area
OBS-0024,DENSM_DENSMOK_BUS_,Densmok Bus Hub,Densmok,0.47,2,3.0,compass,0.54,0.07,0.27,rain,autumn,transit,"Gareth Poll, Vass Tonner",Transit hub shows low response
OBS-0025,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.18,2,2.0,compass,0.31,0.13,0.52,storm,winter,none,"Tomas Grell, Senna Grell",Storm conditions increase baseline instability
OBS-0026,CAPEA_MIRADO_STICK,Mirado Sticks Viewpoint,Capeast,0.61,3,4.0,compass;telescope,0.72,0.11,0.42,clear,spring,none,"Prebel Cord, Archon Vells, Gareth Poll",Distant observation of Mirado structures
OBS-0027,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.74,4,8.0,none,0.91,0.17,0.65,clear,autumn,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch",Stone ritual in progress enhanced effect
OBS-0028,YELLE_STALL_TOWN_W,Stall Town West Cut,Yeller,0.35,3,4.0,compass,0.51,0.16,0.59,overcast,summer,trading,"Lurra Venn, Vagabu Olt, Meck Drune",Trade boundary shows good response
OBS-0029,CAPIT_CITY_WALL_QU,City Wall Quarry Gate,Capital,0.54,2,3.0,compass,0.62,0.08,0.32,clear,spring,traffic,"Prebel Cord, Captain Vrell",Gate infrastructure moderately stable
OBS-0030,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.29,5,6.0,compass;scale,0.64,0.35,0.93,clear,winter,none,"Prebel Cord, Lurra Venn, Meck Drune, Vagabu Olt, Old Murch",Market day avoided; excellent conditions
OBS-0031,DENSM_OLD_QUARRY_R,Old Quarry Road Motel,Densmok,0.41,2,8.0,none,0.52,0.11,0.42,clear,summer,none,"Gareth Poll, Vass Tonner",Frontier motel; moderate stabilization overnight
OBS-0032,CAPIT_INNER_TENEME,Inner Tenements,Capital,0.48,1,4.0,none,0.51,0.03,0.12,rain,winter,none,Donal Crest,Dense housing shows minimal response
OBS-0033,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.24,3,4.0,depth_gauge,0.48,0.24,0.80,clear,spring,none,"Hesta Vorn, Renna Caw, Jara Torval",Taxonomists note creature calm during observation
OBS-0034,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.79,2,12.0,none,0.88,0.09,0.43,clear,summer,none,"Prebel Cord, Old Murch",Summer observation of remote site
OBS-0035,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.22,2,3.0,none,0.35,0.13,0.48,overcast,autumn,none,"Rella Tarn, Pollux Dann",Shorter observation shows proportional effect
OBS-0036,CAPIT_CAPITAL_TRAI,Capital Train Yard,Capital,0.52,3,5.0,compass;barometer,0.64,0.12,0.46,clear,autumn,freight,"Solta Venn, Prebel Cord, Administrator Venn",Freight activity provides constant confound
OBS-0037,CAPEA_CAPEAST_ARTE,Capeast Arterial Road,Capeast,0.55,2,2.0,compass,0.58,0.03,0.12,clear,summer,traffic,"Gareth Poll, Maren Drusk",High-traffic roads resist stabilization
OBS-0038,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.25,4,5.0,compass;depth_gauge,0.58,0.33,0.89,overcast,spring,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Tomas Grell",Consistent high effect at core site
OBS-0039,DENSM_DENSMOK_STRI,Densmok Strip Mall,Densmok,0.44,1,3.0,none,0.46,0.02,0.09,rain,autumn,shopping,Vass Tonner,Commercial areas minimally responsive
OBS-0040,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.83,3,16.0,none,0.94,0.11,0.65,clear,spring,none,"Prebel Cord, Captain Vrell, Kerith Moll",Silence-monastery approaches maximum stability
OBS-0041,YELLE_STALL_TOWN_B,Stall Town Bone Gate,Yeller,0.32,3,4.0,compass,0.49,0.17,0.62,clear,summer,checkpoint,"Lurra Venn, Vagabu Olt, Foreman Hask",Border checkpoint stabilizes with observation
OBS-0042,CAPIT_OUTER_ARCHIV,Outer Archive Annex,Capital,0.76,2,6.0,none,0.82,0.06,0.25,overcast,winter,none,"Queever, Minor Archivist Trell",Archive annexes already quite stable
OBS-0043,YELLE_TRAP_FIELDS_,Trap Fields North,Yeller,0.26,4,6.0,compass;trap_meter;barometer,0.59,0.33,0.90,clear,autumn,none,"Hesta Vorn, Pollux Dann, Renna Caw, Jara Torval",Coordinated taxonomist observation
OBS-0044,CAPEA_DUSTY_SOCCER,Dusty Soccer Fields,Capeast,0.63,2,2.0,none,0.66,0.03,0.11,clear,spring,sports,Gareth Poll,Recreational areas show minimal effect
OBS-0045,DENSM_OVERPASS_GRA,Overpass Graffiti Span,Densmok,0.36,4,4.0,compass;barometer,0.57,0.21,0.75,clear,winter,none,"Maren Drusk, Vass Tonner, Gareth Poll, Prebel Cord",Multiple observers compensate for urban instability
OBS-0046,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.19,1,2.0,compass,0.26,0.07,0.28,storm,autumn,none,Vagabu Olt,Single observer in storm; limited effect
OBS-0047,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.71,1,6.0,none,0.77,0.06,0.21,snow,winter,none,Prebel Cord,Winter solo observation
OBS-0048,CAPIT_CITY_WALL_EA,City Wall East Gate,Capital,0.56,2,3.0,compass,0.63,0.07,0.28,clear,summer,traffic,"Prebel Cord, Donal Crest",Eastern gate moderate stabilization
OBS-0049,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.27,5,8.0,depth_gauge;compass;barometer,0.71,0.44,0.96,clear,autumn,none,"Prebel Cord, Hesta Vorn, Renna Caw, Pollux Dann, Wen Torval",Near-maximum effect with full team
OBS-0050,CAPEA_CAPEAST_WALM,Capeast Walmart,Capeast,0.68,1,2.0,none,0.69,0.01,0.05,clear,summer,shopping,Gareth Poll,Commercial box store; negligible effect
OBS-0051,YELLE_OLD_ROPE_BRI,Old Rope Bridge,Yeller,0.21,3,4.0,compass;rope_gauge,0.45,0.24,0.79,clear,spring,none,"Tomas Grell, Senna Grell, Gareth Poll",Good conditions; solid stabilization
OBS-0052,DENSM_DENSMOK_HILL,Densmok Hillcut,Densmok,0.43,2,4.0,compass,0.54,0.11,0.42,overcast,autumn,none,"Maren Drusk, Vass Tonner",Residential hill; moderate response
OBS-0053,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.76,3,24.0,none,0.92,0.16,0.67,clear,autumn,none,"Prebel Cord, Old Murch, Captain Vrell",Extended observation of isolated site
OBS-0054,YELLE_YELLER_GUIDE,Yeller Guide Office,Yeller,0.42,3,5.0,compass,0.61,0.19,0.68,clear,spring,none,"Lurra Venn, Old Murch, Foreman Hask",Multiple guild officials enhance effect
OBS-0055,CAPIT_SENATE_SQUAR,Senate Square,Capital,0.65,4,4.0,compass;barometer,0.76,0.11,0.42,clear,autumn,political,"Donal Crest, Solta Venn, Prebel Cord, Pella Valdun",Political activity provides confound
OBS-0056,YELLE_BONE_HUSK_MA,Bone Husk Market,Yeller,0.31,3,4.0,compass,0.48,0.17,0.62,clear,summer,none,"Lurra Venn, Vagabu Olt, Meck Drune",Market closed; good baseline
OBS-0057,CAPEA_DEAD_RIVER_O,Dead River Overlook,Capeast,0.49,4,6.0,compass;telescope,0.71,0.22,0.76,clear,summer,none,"Prebel Cord, Archon Vells, Gareth Poll, Rella Tarn",Boundary overlook; strong response
OBS-0058,DENSM_SMOKELINE_IN,Smokeline Industrial Park,Densmok,0.41,2,4.0,barometer,0.51,0.10,0.38,rain,autumn,industrial,"Maren Drusk, Vass Tonner",Rain and industry combine to reduce effect
OBS-0059,YELLE_QUARRY_RIM_S,Quarry Rim Shacks,Yeller,0.24,5,8.0,depth_gauge;compass,0.68,0.44,0.95,clear,summer,none,"Rella Tarn, Hesta Vorn, Pollux Dann, Jara Torval, Wen Torval",Maximum observers; near-maximum effect
OBS-0060,NORTH_HOUSE_OF_THE,House of the Closed Mouth,Northo,0.84,2,12.0,none,0.93,0.09,0.56,clear,autumn,meditation,"Prebel Cord, Kerith Moll",Meditation session enhanced response
OBS-0061,CAPIT_KACHOT_CARDH,Kachot Cardhouse,Capital,0.44,4,6.0,compass,0.58,0.14,0.52,clear,spring,none,"Mink Pavar, Donal Crest, Lurra Venn, Old Murch",Closed for renovation; better conditions
OBS-0062,YELLE_TRAP_FIELDS_,Trap Fields South,Yeller,0.33,3,5.0,trap_meter;compass,0.52,0.19,0.67,overcast,autumn,trapping,"Wen Torval, Jara Torval, Hesta Vorn",Trapping confound partially controlled
OBS-0063,CAPEA_RIVERSLAND_H,Riversland High School,Capeast,0.72,2,3.0,none,0.75,0.03,0.11,clear,spring,classes,Gareth Poll,School session; minimal effect
OBS-0064,DENSM_DENSMOK_BUS_,Densmok Bus Hub,Densmok,0.45,3,4.0,compass,0.57,0.12,0.44,clear,summer,transit,"Gareth Poll, Vass Tonner, Maren Drusk",More observers improve transit hub response
OBS-0065,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.22,3,3.0,compass;depth_gauge,0.44,0.22,0.75,overcast,winter,none,"Prebel Cord, Tomas Grell, Vagabu Olt",Winter observation; solid effect
OBS-0066,NORTH_HOUSE_OF_STO,House of Stones,Northo,0.73,5,12.0,none,0.95,0.22,0.81,clear,spring,ritual,"Prebel Cord, Kerith Moll, Captain Vrell, Old Murch, Archon Vells",Maximum observers during ritual; high effect
OBS-0067,CAPIT_CENTRAL_ARCH,Central Archive,Capital,0.88,3,12.0,compass;barometer,0.93,0.05,0.42,clear,summer,cataloging,"Queever, Solta Venn, Keeper of Maps",Stable site; effect still measurable
OBS-0068,YELLE_STALL_TOWN_W,Stall Town West Cut,Yeller,0.33,4,5.0,compass,0.59,0.26,0.83,clear,autumn,none,"Lurra Venn, Vagabu Olt, Meck Drune, Foreman Hask",Trade boundary stabilizes well
OBS-0069,CAPEA_MIRADO_STICK,Mirado Sticks Viewpoint,Capeast,0.59,2,3.0,telescope,0.67,0.08,0.32,fog,autumn,none,"Archon Vells, Gareth Poll",Fog reduces effect at distance observation
OBS-0070,DENSM_OLD_QUARRY_R,Old Quarry Road Motel,Densmok,0.43,3,12.0,compass,0.61,0.18,0.62,clear,autumn,none,"Gareth Poll, Vass Tonner, Maren Drusk",Overnight team observation
OBS-0071,YELLE_FLOODED_SINK,Flooded Sink Caves,Yeller,0.26,2,3.0,depth_gauge,0.39,0.13,0.48,rain,winter,none,"Hesta Vorn, Renna Caw",Rain reduces cave accessibility and effect
OBS-0072,CAPIT_PAPER_BINDER,Paper Binders Row,Capital,0.81,3,8.0,none,0.86,0.05,0.26,clear,autumn,paperwork,"Solta Venn, Queever, Minor Archivist Trell",Archival staff observation
OBS-0073,NORTH_NORTH_RIDGE_,North Ridge Hermitage,Northo,0.78,4,36.0,none,0.96,0.18,0.82,clear,spring,none,"Prebel Cord, Old Murch, Captain Vrell, Kerith Moll",Extended multi-observer; approaches maximum
OBS-0074,YELLE_YELLER_QUARR,Yeller Quarry Core,Yeller,0.24,4,6.0,compass;depth_gauge;barometer,0.62,0.38,0.92,clear,summer,none,"Prebel Cord, Kerith Moll, Vagabu Olt, Archon Vells",Optimal conditions; high effect
OBS-0075,CAPEA_CAPEAST_STRI,Capeast Strip of Bars,Capeast,0.39,2,3.0,none,0.43,0.04,0.14,clear,summer,nightlife,"Gareth Poll, Donal Crest",Nightlife confound; minimal effect
OBS-0076,DENSM_DENSMOK_STRI,Densmok Strip Mall,Densmok,0.42,3,4.0,compass,0.51,0.09,0.33,overcast,spring,shopping,"Vass Tonner, Maren Drusk, Gareth Poll",Commercial activity reduces response
