interaction_id,entity_id,entity_name,entity_type,actual_level,assumed_level,level_match,interaction_type,interactor_type,outcome,harm_occurred,duration_minutes,location,year,notes
INT-001,EC-001,Standard Stakdur,creature,2,2,True,training,human,success,False,45,Yeller Quarry,915,Successful conditioning. Standard stakdur responds to reward-punishment.
INT-002,EC-001,Standard Stakdur,creature,2,3,False,negotiation,human,failure,False,30,Yeller Quarry,915,Attempted persuasion failed. Stakdur does not respond to reasoning.
INT-003,EC-003,Long Claw,creature,3,2,False,training,human,failure,True,60,Yeller Quarry,912,Treated as Level 2 but anticipated conditioning. Trap failed. Worker injured.
INT-004,EC-003,Long Claw,creature,3,3,True,strategic,human,success,False,120,Yeller Quarry,913,Treated as goal-directed. Outmaneuvered rather than conditioned.
INT-005,EC-006,Maw Beast Alpha,creature,1,2,False,training,human,failure,True,15,Border Territories,916,Attempted to condition homeostatic system. Beast attacked. Injuries.
INT-006,EC-006,Maw Beast Alpha,creature,1,1,True,avoidance,human,success,False,5,Border Territories,916,Treated as homeostatic. Simply avoided territory. No interaction.
INT-007,EC-012,Jackson,human,4,3,False,prediction,system,failure,True,0,Klutch CC,918,Predicted enrollment. Jackson disappeared. Paradigmatic Level 4 misclassification.
INT-008,EC-012,Jackson,human,4,4,True,dialogue,human,unknown,False,180,Klutch CC,917,Anster engaged Jackson in meta-cognitive discussion. Outcome unclear.
INT-009,EC-013,Narrator,human,3,3,True,persuasion,human,success,False,60,Klutch CC,916,Standard persuasion. Narrator responded to reasoning.
INT-010,EC-014,Pell Anster,human,4,3,False,persuasion,human,partial,False,90,Klutch CC,917,Anster questioned the persuasion framework. Partial success.
INT-011,EC-016,Old Gritts,human,4,3,False,interview,human,failure,False,45,Unknown,918,Attempted to classify. Gritts classified the interviewer instead.
INT-012,EC-016,Old Gritts,human,4,4,True,dialogue,human,success,False,120,Unknown,919,Engaged as meta-cognitive peer. Productive exchange.
INT-013,EC-020,Young Child,human,2,3,False,persuasion,human,failure,False,30,Various,916,Attempted reasoning with child. Child responded only to conditioning.
INT-014,EC-020,Young Child,human,2,2,True,conditioning,human,success,False,20,Various,916,Used reward-punishment. Successful behavior change.
INT-015,EC-021,Infant,human,1,2,False,training,human,failure,False,15,Various,916,Attempted conditioning. Infant only responds to homeostatic needs.
