case_id,case_name,ghost_id,ghost_age_years,ghost_strength,ghost_source,target_type,target_vulnerability,contamination_type,contamination_severity,contamination_extent,primary_symptom,symptom_pattern,function_impact,trigger,enabling_conditions,dens_proximity_km,outcome,target_survived,ghost_status_after,treatment_attempted,treatment_type,treatment_success,location,region,observation_year,observer,moll_classification,confidence,cross_reference,notes
GC-0001,Predecessor Pattern Intrusion 70,GO-0143,178,0.26999999999999996,departed_collective,pattern,similar_form,development_derailment,moderate,0.48,developmental_anomaly,triggered,disabling,form_similarity,dens_proximity,197.4,integration,True,integrated,True,isolation,partial,Northern approach,Tower of Mirado,892,Moll Research Team,unclassified,0.76,,
GC-0002,Navigation Interference 69,GO-0146,358,0.8,departed_collective,creature,similar_form,identity_intrusion,trace,0.06,foreign_memories,intermittent,minimal,form_similarity,dens_proximity,4.4,integration,True,integrated,False,none,not_attempted,Dens deep,Dens,932,Third Mill Commission,Type_I_trace,0.65,,
GC-0003,Colony 86 Prior Occupant,,294,0.56,dissolved_entity,creature,developmental_stage,memory_corruption,moderate,0.37,memory_confusion,constant,noticeable,boundary_weakening,substrate_match,115.5,integration,True,integrated,True,ghost_clearance,partial,Trapper territory,Yeller Quarry,921,K. Vorn,Type_III_intrusion,0.56,,
GC-0004,Development Derailment Case 84,GO-0206,234,0.16000000000000003,prior_occupant,individual,location_occupation,identity_intrusion,severe,0.51,foreign_memories,constant,disabling,location_occupation,weak_boundaries,199.6,cleared,True,dissipated,False,none,not_attempted,Capital outskirts,Capital,927,Third Mill Commission,Type_III_intrusion,0.78,,
GC-0005,Third Mill Haunting,,98,0.57,incomplete_manifestation,pattern,similar_form,identity_intrusion,mild,0.1,foreign_memories,intermittent,noticeable,resonance_alignment,weak_boundaries,79.7,ongoing,True,unchanged,True,pattern_editing,partial,Mill vicinity,Yeller Quarry,938,Third Mill Commission,Type_III_intrusion,0.6,,
GC-0006,Settlement 54 Contamination,GO-0038,36,0.6,failed_ingression,colony,similar_form,memory_corruption,severe,0.78,memory_confusion,triggered,catastrophic,developmental_opening,dens_proximity,136.8,coexistence,True,unchanged,True,relocation,successful,Northern workings,Yeller Quarry,892,Indigenous Consultant,Type_III_intrusion,0.54,,
GC-0007,Third Mill Haunting,GO-0108,415,0.7,dissolved_entity,individual,unknown,identity_intrusion,trace,0.03,foreign_memories,progressive,noticeable,developmental_opening,weak_boundaries,99.8,ongoing,True,unchanged,False,none,not_attempted,Educational district,Densmok,940,K. Vorn,Type_I_trace,0.91,,
GC-0008,Colony 66 Prior Occupant,GO-0099,72,0.12,prior_occupant,place,similar_form,form_distortion,moderate,0.32,structural_anomaly,oscillating,noticeable,spontaneous,thin_barriers,25.6,cleared,True,dissipated,True,isolation,successful,Sector SW-6,Dens boundary,891,Archive Records,unclassified,0.91,,
GC-0009,Mill Worker 64 Ghost Overlay,GO-0206,472,0.1,prior_occupant,individual,unknown,memory_corruption,moderate,0.41,memory_confusion,intermittent,noticeable,developmental_opening,developmental_window,121.0,coexistence,True,unchanged,False,none,not_attempted,Quarry interior,Yeller Quarry,890,K. Vorn,Type_III_intrusion,0.73,,
GC-0010,Identity Confusion Case 15,GO-0105,159,0.1,incomplete_manifestation,individual,location_occupation,memory_corruption,severe,0.62,memory_confusion,triggered,disabling,boundary_weakening,substrate_match,62.1,ongoing,True,unchanged,False,none,not_attempted,Northern workings,Yeller Quarry,932,Indigenous Consultant,Type_III_intrusion,0.75,,
GC-0011,Navigation Interference 85,GO-0116,253,0.54,incomplete_manifestation,institution,location_occupation,development_derailment,mild,0.13,developmental_anomaly,intermittent,noticeable,spontaneous,substrate_match,63.7,coexistence,True,unchanged,False,none,not_attempted,Quarry Sector 7,Yeller Quarry,920,Third Mill Commission,unclassified,0.95,,
GC-0012,Third Mill Haunting,,115,0.48000000000000004,unknown,individual,location_occupation,navigation_interference,mild,0.23,navigation_errors,intermittent,minimal,resonance_alignment,thin_barriers,199.1,coexistence,True,unchanged,True,boundary_strengthening,partial,Tower base,Tower of Mirado,921,Indigenous Consultant,unclassified,0.68,,
GC-0013,Archive Memory Corruption 67,GO-0220,297,0.54,incomplete_manifestation,institution,similar_form,identity_intrusion,trace,0.08,foreign_memories,triggered,noticeable,location_occupation,dens_proximity,13.2,ongoing,True,unchanged,True,isolation,failed,Eastern fluctuation zone,Dens boundary,911,Moll Research Team,Type_I_trace,0.51,,
GC-0014,Mill Worker 25 Ghost Overlay,GO-0208,348,0.46,departed_collective,place,unknown,identity_intrusion,moderate,0.5,foreign_memories,progressive,disabling,spontaneous,developmental_window,219.4,ongoing,True,unchanged,True,pattern_editing,failed,Western districts,Capital,937,Archive Records,Type_III_intrusion,0.63,,
GC-0015,Development Derailment Case 43,GO-0107,102,0.1,departed_collective,pattern,developmental_stage,memory_corruption,mild,0.12,memory_confusion,intermittent,minimal,location_occupation,thin_barriers,95.0,ongoing,True,unchanged,False,none,not_attempted,Camp settlements,Yeller Quarry,918,S. Moll,Type_III_intrusion,0.94,,
GC-0016,Archive Memory Corruption 71,,172,0.1,incomplete_manifestation,creature,developmental_stage,memory_corruption,severe,0.59,memory_confusion,triggered,disabling,location_occupation,dens_proximity,104.1,cleared,True,dissipated,False,none,not_attempted,Suburban zone,Densmok,900,S. Moll,Type_III_intrusion,0.99,,
GC-0017,Identity Confusion Case 89,,321,0.62,failed_ingression,place,location_occupation,identity_intrusion,severe,0.71,foreign_memories,oscillating,disabling,form_similarity,weak_boundaries,24.7,cleared,True,dissipated,True,relocation,successful,Western approach,Dens boundary,934,Indigenous Consultant,Type_III_intrusion,0.82,,
GC-0018,Archive Memory Corruption 3,GO-0223,42,0.62,failed_ingression,individual,weak_boundaries,boundary_erosion,trace,0.01,boundary_fluctuation,constant,noticeable,spontaneous,thin_barriers,0.7,integration,True,integrated,False,none,not_attempted,Dens interior,Dens,902,Indigenous Consultant,Type_I_trace,0.59,BD-0160,
GC-0019,Colony 93 Prior Occupant,GO-0008,118,0.69,prior_occupant,colony,similar_form,identity_intrusion,mild,0.14,foreign_memories,progressive,noticeable,boundary_weakening,thin_barriers,135.9,coexistence,True,unchanged,True,pattern_editing,successful,Northern workings,Yeller Quarry,905,S. Moll,Type_III_intrusion,0.96,,
GC-0020,Development Derailment Case 69,GO-0055,68,0.32,prior_occupant,creature,similar_form,behavior_overlay,moderate,0.28,inappropriate_behaviors,constant,noticeable,boundary_weakening,thin_barriers,105.8,integration,True,integrated,True,boundary_strengthening,successful,Trapper territory,Yeller Quarry,929,K. Vorn,Type_II_overlay,0.68,,
GC-0021,Navigation Interference 22,GO-0229,311,0.34,dissolved_entity,individual,location_occupation,behavior_overlay,mild,0.25,inappropriate_behaviors,progressive,minimal,spontaneous,weak_boundaries,28.9,cleared,True,dissipated,True,ghost_clearance,successful,Western approach,Dens boundary,891,Pattern Study Group,Type_II_overlay,0.73,,
GC-0022,Third Mill Haunting,GO-0218,471,0.6300000000000001,dissolved_entity,colony,developmental_stage,identity_intrusion,mild,0.15,foreign_memories,triggered,noticeable,spontaneous,weak_boundaries,164.8,cleared,True,dissipated,True,pattern_editing,successful,Capital proper,Capital,915,K. Vorn,Type_III_intrusion,0.91,,
GC-0023,Development Derailment Case 43,GO-0127,448,0.94,incomplete_manifestation,institution,developmental_stage,identity_intrusion,moderate,0.4,foreign_memories,triggered,disabling,form_similarity,developmental_window,25.6,integration,True,integrated,True,ghost_clearance,partial,Sector NE-4,Dens boundary,910,Archive Records,Type_III_intrusion,0.74,,
GC-0024,Colony 78 Prior Occupant,GO-0191,309,0.1,incomplete_manifestation,individual,similar_form,form_distortion,severe,0.52,structural_anomaly,progressive,disabling,boundary_weakening,thin_barriers,74.4,ongoing,True,unchanged,False,none,not_attempted,Northern workings,Yeller Quarry,933,K. Vorn,unclassified,0.67,,
GC-0025,Boundary Ghost 22,GO-0189,23,0.96,incomplete_manifestation,individual,developmental_stage,memory_corruption,overwhelming,0.84,memory_confusion,intermittent,disabling,spontaneous,thin_barriers,164.1,ongoing,True,unchanged,False,none,not_attempted,Western districts,Capital,900,Third Mill Commission,Type_III_intrusion,0.95,,
GC-0026,Settlement 57 Contamination,GO-0145,152,0.55,failed_ingression,individual,unknown,memory_corruption,severe,0.6,memory_confusion,intermittent,catastrophic,location_occupation,weak_boundaries,116.4,cleared,True,dissipated,True,boundary_strengthening,successful,Siege fields,Tower of Mirado,932,Indigenous Consultant,Type_III_intrusion,0.76,,
GC-0027,Mill Worker 7 Ghost Overlay,,458,0.36000000000000004,departed_collective,individual,developmental_stage,identity_intrusion,moderate,0.44,foreign_memories,oscillating,disabling,location_occupation,developmental_window,135.0,coexistence,True,unchanged,True,ghost_clearance,successful,Suburban zone,Densmok,891,Pattern Study Group,Type_III_intrusion,0.62,,
GC-0028,Mill Worker 51 Ghost Overlay,,470,0.45,failed_ingression,creature,resonance_overlap,behavior_overlay,severe,0.56,inappropriate_behaviors,triggered,disabling,resonance_alignment,developmental_window,18.7,coexistence,True,unchanged,False,none,not_attempted,Sector NE-4,Dens boundary,894,K. Vorn,Type_II_overlay,0.97,,
GC-0029,Third Mill Haunting,GO-0215,487,0.6799999999999999,departed_collective,individual,location_occupation,behavior_overlay,severe,0.57,inappropriate_behaviors,intermittent,catastrophic,spontaneous,developmental_window,51.0,mutual_dissolution,False,dissipated,False,none,not_attempted,Mill vicinity,Yeller Quarry,891,Moll Research Team,Type_II_overlay,0.83,,
GC-0030,Navigation Interference 70,GO-0065,214,0.1,prior_occupant,creature,unknown,memory_corruption,overwhelming,0.88,memory_confusion,triggered,disabling,resonance_alignment,developmental_window,108.9,ongoing,True,unchanged,False,none,not_attempted,Quarry Sector 7,Yeller Quarry,905,Indigenous Consultant,Type_III_intrusion,0.98,,
GC-0031,Development Derailment Case 66,,111,0.1,departed_collective,individual,similar_form,development_derailment,moderate,0.29,developmental_anomaly,progressive,disabling,spontaneous,developmental_window,132.5,ongoing,True,unchanged,True,relocation,partial,Quarry Sector 7,Yeller Quarry,929,S. Moll,unclassified,0.56,,
GC-0032,Settlement 84 Contamination,,483,0.52,dissolved_entity,creature,similar_form,identity_intrusion,moderate,0.44,foreign_memories,constant,disabling,spontaneous,substrate_match,200.0,coexistence,True,unchanged,True,integration_assistance,partial,Archive vicinity,Capital,926,Pattern Study Group,Type_III_intrusion,0.68,,
GC-0033,Predecessor Pattern Intrusion 45,GO-0213,308,0.15,dissolved_entity,individual,resonance_overlap,development_derailment,overwhelming,0.95,developmental_anomaly,intermittent,disabling,developmental_opening,developmental_window,26.7,ongoing,True,unchanged,False,none,not_attempted,Southern perimeter,Dens boundary,931,Indigenous Consultant,unclassified,0.94,,
GC-0034,Colony 8 Prior Occupant,GO-0075,380,0.57,prior_occupant,institution,weak_boundaries,behavior_overlay,overwhelming,0.91,inappropriate_behaviors,progressive,catastrophic,location_occupation,weak_boundaries,27.3,replacement,False,strengthened,False,none,not_attempted,Eastern fluctuation zone,Dens boundary,904,Pattern Study Group,Type_II_overlay,0.99,,
GC-0035,Archive Memory Corruption 4,GO-0040,269,0.83,prior_occupant,creature,unknown,behavior_overlay,moderate,0.33,inappropriate_behaviors,progressive,disabling,form_similarity,thin_barriers,14.5,ongoing,True,unchanged,True,integration_assistance,partial,Sector NE-4,Dens boundary,903,Third Mill Commission,Type_II_overlay,0.94,,
GC-0036,Boundary Ghost 63,GO-0163,387,0.28,dissolved_entity,colony,weak_boundaries,identity_intrusion,overwhelming,0.82,foreign_memories,oscillating,catastrophic,location_occupation,dens_proximity,4.3,mutual_dissolution,False,dissipated,True,isolation,failed,Dens interior,Dens,912,Indigenous Consultant,Type_III_intrusion,0.6,,
GC-0037,Identity Confusion Case 67,,122,0.62,failed_ingression,creature,unknown,navigation_interference,severe,0.66,navigation_errors,triggered,disabling,location_occupation,developmental_window,16.7,integration,True,integrated,True,ghost_clearance,successful,Sector NE-4,Dens boundary,916,Moll Research Team,unclassified,0.5,,
GC-0038,Navigation Interference 82,GO-0104,136,0.1,prior_occupant,individual,weak_boundaries,behavior_overlay,severe,0.68,inappropriate_behaviors,constant,catastrophic,resonance_alignment,thin_barriers,220.7,ongoing,True,unchanged,True,integration_assistance,failed,Western districts,Capital,934,K. Vorn,Type_II_overlay,0.51,,
GC-0039,Archive Memory Corruption 95,GO-0208,233,0.22000000000000003,incomplete_manifestation,creature,unknown,development_derailment,overwhelming,0.86,developmental_anomaly,oscillating,catastrophic,location_occupation,developmental_window,249.1,coexistence,True,unchanged,True,boundary_strengthening,successful,Archive vicinity,Capital,921,Moll Research Team,unclassified,0.77,,
GC-0040,Colony 14 Prior Occupant,,15,0.35,prior_occupant,institution,resonance_overlap,behavior_overlay,severe,0.77,inappropriate_behaviors,progressive,catastrophic,spontaneous,substrate_match,138.5,integration,True,integrated,True,relocation,partial,Camp settlements,Yeller Quarry,893,K. Vorn,Type_II_overlay,0.91,,
GC-0041,Colony 6 Prior Occupant,GO-0203,409,0.1,failed_ingression,individual,similar_form,behavior_overlay,overwhelming,1.0,inappropriate_behaviors,oscillating,catastrophic,location_occupation,developmental_window,98.3,integration,True,integrated,False,none,not_attempted,Northern workings,Yeller Quarry,936,Third Mill Commission,Type_II_overlay,0.63,,
