mnemonist_id,name,aliases,role,collective,teaching_method,specialty,location,students_notable,key_concepts,related_characters,first_appearance,status,notes
MN-001,The Mnemonist,,founder,Five Family Collectives,unknown,mnemonic_systems,Alton IL,Quonxy,three_schools_of_memory,Quonxy (daughter)/Freddie (daughter),tower of mirado ore.txt,historical,"Quonxy's father. Founded Alton mnemonic culture with partner."
MN-002,Quonxy,"Cassie,Chelsea,Quonxy Addac",practitioner,independent,tapestry_mnemonics,addiction_counseling,Alton IL,"Little Porn,various clients","think-switches,rutfuckScripture,Camel-Weasel-Whale",The Mnemonist (father)/Freddie (sister),dens ore.txt,active,"Uses tapestries and puzzles for addiction counseling. Invented CSQ notation."
MN-003,Little Porn,"Sam Deavers,Sammy",inventor,independent,puzzle_languages,linguistic_pattern_recognition,Riversland subdivision,"Morgan,others",LPN/Nine Divisions/puzzle_languages,Roger Deavers (father)/Quonxy (mentor),dens ore.txt,active,"Child prodigy. Created 104 words for 100-piece puzzles. Sells languages."
MN-004,Vivian Hammond,Miss Vivian,practitioner,independent,puzzle_therapy,general_tutoring,Hilly Dale,"Cassie,Little Porn,Bruce,Gregory,Rachel",ice_fishing_puzzle/missing_piece_method,Nelson Hammond (father)/Jacob Hammond (grandfather),The ice-fishing puzzle narrative,active,"Uses puzzles to teach. Leaves missing pieces deliberately."
MN-005,Jacob Hammond,,puzzle_manufacturer,Hammond family,puzzle_construction,physical_puzzles,St. Louis,"",curiously_detailed_surfaces/natural_forms_with_ciphers,Nelson Hammond (son)/Vivian Hammond (granddaughter),referenced in Vivian backstory,deceased,"Made puzzles with admixtures of fonts and ciphers. Puzzles wouldn't come apart."
MN-006,Josh,,practitioner,Five Family Collectives,witnessing_and_memorizing,scripture_memory,River-of-Life Church,"",CrossPatch_testimonials,Kristen (wife),ore-fragments/northo/,active,"Pastor. CrossPatchPastorJosh. Runs River-of-Life Church."
MN-007,Simon,,apprentice,Quonxy lineage,puzzle_language,pattern_recognition,Hilly Dale subdivision,"",alien_puzzle_directions,Quonxy (tutor),The Diary of All Puzzles,active,"'Puzzle kid.' First to work out puzzle language under Quonxy."
MN-008,Roger Deavers,,failed_practitioner,missionary_linguist,language_translation,Ukbitu_translation,unknown,"",failed_translation_project,Little Porn (son)/Trisha Summers (wife),capeast ore.txt,historical,"Missionary linguist. Failed to translate Ukbitu. Little Porn's father."
MN-009,Crank,Mr. Matthews,hobbyist,independent,private_prayer_language,glossolalia_analysis,Hilly Dale subdivision,"",Private_Prayer_Language_of_Apostle_Paul,Little Porn (influence),The Diary of All Puzzles,active,"Hobbyist linguist. Software worker. Wanted to be missionary."
MN-010,Collective_Alpha,,collective,Five Family Collectives,unknown,unknown,unknown,"",unknown,"",ore-fragments/dens/,historical,"One of five mnemonic teaching collectives scattered across US."
MN-011,Collective_Beta,,collective,Five Family Collectives,unknown,unknown,unknown,"",unknown,"",ore-fragments/dens/,historical,"One of five mnemonic teaching collectives scattered across US."
MN-012,Collective_Gamma,,collective,Five Family Collectives,unknown,unknown,unknown,"",unknown,"",ore-fragments/dens/,historical,"One of five mnemonic teaching collectives scattered across US."
MN-013,Collective_Delta,,collective,Five Family Collectives,unknown,unknown,unknown,"",unknown,"",ore-fragments/dens/,historical,"One of five mnemonic teaching collectives scattered across US."
MN-014,Collective_Epsilon,,collective,Five Family Collectives,unknown,unknown,unknown,"",unknown,"",ore-fragments/dens/,historical,"One of five mnemonic teaching collectives scattered across US."
MN-015,Nelson Hammond,,craftsman,Hammond family,walking_stick_whittling,nature_observation,Hilly Dale area,"",bird_watching,Jacob Hammond (father)/Vivian Hammond (daughter),referenced in Vivian backstory,deceased,"Vivian's father. Bird watcher who whittled walking sticks."
MN-016,Bill,,client,independent,Quonxy method,addiction_resistance,unknown,"",Camel-Weasel-Whale_method,Quonxy (advisor),The Diary of All Puzzles,client,"Drinks too much. Weekly sessions with Quonxy."
MN-017,Pastor Hitch,,client,independent,Quonxy/Vivian method,gambling_addiction_resistance,unknown,"",Camel-Weasel-Whale_method,Quonxy (advisor)/Vivian (advisor)/Gina (wife),The Diary of All Puzzles,client,"Pastor with sports betting addiction."
MN-018,Gregory,,student,Vivian method,puzzle_tutoring,general_academics,Hilly Dale,"",puzzle_breakthroughs,Vivian Hammond (tutor)/Robert (father)/Stacy (mother),The Diary of All Puzzles,student,"Seven-year-old. Got all A's after one quarter with Vivian."
MN-019,Bruce Stephenson,,client,Vivian method,puzzle_therapy,speech_recovery,Hilly Dale,"",word_blockage_treatment,Vivian Hammond (tutor)/Esther (wife),The ice floes narrative,client,"Thirty-something losing ability to speak. Vivian uses puzzles."
MN-020,Cassie,,student,Vivian method,puzzle_tutoring,algebra,Hilly Dale,"",ice_fishing_puzzle_experience,Vivian Hammond (tutor)/Rachel (friend)/Cousins (works with),The ice-fishing puzzle narrative,student,"Tenth-grader. Named the ice-fishing man Paul."
