manuscript_id,title,author,date_composed,date_archived,genre,subject_tags,word_count,condition,shelf_location,language,authenticity_status,acquisition_source,notes
MS-0001,On the Origin of Words in Mirado,Fibon Arrel,834,841,treatise,"words,Mirado,philosophy,origin",8450,good,SHOP-07-A1,Common,verified,donation,"Fibon's foundational pebble-school text. Argues words come from an ancient place."
MS-0003,The Dissolution of Meaning,Eulr Voss,812,821,treatise,"words,dissolution,water_school,Mirado",12300,good,SHOP-07-A2,Common,verified,donation,"Eulr's masterwork. Codified water-school position. Words dissolve into seventy pools."
MS-0004,On the Seventy Pools,Eulr Voss,819,825,treatise,"Mirado,pools,water,philosophy",6200,fair,SHOP-07-A3,Common,verified,donation,"Extension of dissolution theory to Mirado's physical infrastructure."
MS-0005,Reflections at the Fountain,Eulr Voss,823,829,poetry,"Mirado,fountain,dissolution,meditation",1850,good,SHOP-07-A4,Common,verified,donation,"Eulr's late philosophical poetry. Written at the muddy fountain."
MS-0008,Against the Stone-Carriers,Yasho Krent,861,865,treatise,"words,stone_school,refutation,water_school",9800,good,SHOP-15-A1,Common,verified,estate,"Yasho's first major attack on stone-school philosophy."
MS-0009,Word-Evaporation: An Extension,Vera Losh,878,883,treatise,"words,evaporation,water_school,Mirado",5400,good,SHOP-07-B1,Common,verified,donation,"Extended water-school to include evaporation as well as dissolution."
MS-0010,Memory as Illusion,Vera Losh,884,889,treatise,"memory,forgetting,water_school",4200,good,SHOP-07-B2,Common,verified,donation,"Argues memory deceives us about the permanence of words."
MS-0011,The Final Dissolution,Nessa Bright,908,912,treatise,"water_school,dissolution,refutation",11200,pristine,SHOP-15-A2,Common,verified,purchase,"Definitive water-school statement. Demolishes stone-school claims."
MS-0012,On the Permanence of the Uttered,Grigsu Haldo,863,868,treatise,"words,stone_school,permanence,philosophy",7600,good,SHOP-09-A1,Common,verified,estate,"Grigsu's major philosophical work. Words are harder than stone."
MS-0015,The Binary World Puzzle,Fibon Arrel,847,854,treatise,"puzzles,pebbles,counting,words",4800,fair,SHOP-20-A1,Common,verified,donation,"Fibon's puzzle treatise. Connects pebbles to counting to word-origins."
MS-0016,The Pools and the Pebbles,Kell Sundar,889,894,treatise,"Mirado,pools,pebble_school,controversy",5100,good,SHOP-20-A2,Common,verified,purchase,"Applied pebble theory to Mirado's seventy pools. Controversial."
MS-0017,On Lending and Return,Kell Sundar,895,901,treatise,"pebble_school,lending,words",3900,good,SHOP-20-A3,Common,verified,purchase,"Developed Fibon's lending concept for pebble-school."
MS-0018,Revival of the Pebble,Denna Vox,918,923,treatise,"pebble_school,words,revival",6700,good,SHOP-20-B1,Common,verified,donation,"Attempted Capital revival of pebble-school. Limited success."
MS-0019,On Creature Classification,Boffa Trent,867,872,treatise,"creatures,taxonomy,classification",8900,good,SHOP-04-A1,Common,verified,estate,"Boffa's taxonomic framework. Foundational for later work."
MS-0023,Maps and Memory: A Wanderer's Notes,Vagabu Olt,871,ongoing,memoir,"maps,travel,cartography,memoir",34000,good,SHOP-03-A1,Common,verified,ongoing,"Bagbu's ongoing memoir. Still being added to. Pickbox cart travels."
MS-0025,Western Quarry Survey Report,Hesta Vorn,872,873,expedition_report,"Quarry,creatures,survey,expedition",12400,good,SHOP-11-A1,Common,verified,expedition,"Official report from Fourth Expedition. Extensive creature documentation."
MS-0026,Sixth Quarry Creature Census,Hesta Vorn,880,881,expedition_report,"Quarry,creatures,census,expedition",15600,good,SHOP-11-A2,Common,verified,expedition,"Systematic creature census from Sixth Expedition."
MS-0027,Final Survey Notes,Hesta Vorn,890,891,expedition_report,"Quarry,creatures,expedition,retirement",8900,good,SHOP-11-A3,Common,verified,expedition,"Notes from Tenth Expedition. Hesta's final fieldwork before retirement."
MS-0028,The Stakdur Encounter,Pollux Dann,883,884,expedition_report,"stakdur,creature,Quarry,danger",4200,damaged,SHOP-04-B1,Common,verified,expedition,"Account of the Ninth Expedition disaster. Written before Pollux's death."
MS-0029,Water-School Taxonomy,Renna Caw,894,895,treatise,"taxonomy,water_school,creatures,classification",7800,good,SHOP-04-B2,Common,verified,purchase,"Applied dissolution principles to creature classification."
MS-0030,Eleventh Survey Methodology,Renna Caw,895,896,expedition_report,"Quarry,methodology,water_school,expedition",6100,good,SHOP-11-A4,Common,verified,expedition,"Documented new water-school approach to creature observation."
MS-0031,History of the Capital Senate,Mink Pavar,875,880,history,"Capital,Senate,politics,history",22000,good,SHOP-16-A1,Common,disputed,estate,"Mink's political history. Some sections later disputed as inaccurate."
MS-0033,On Casting Stones,Renna Gast,838,845,treatise,"stones,words,village,tradition",3200,fair,SHOP-09-B1,Old Quarry,verified,donation,"Codified stone-casting practice after conversations. Village tradition."
MS-0034,Survey Report: Yeller Quarry 869,Grigsu Haldo,870,871,expedition_report,"Quarry,survey,expedition,Yeller",9400,good,SHOP-11-B1,Common,verified,expedition,"Grigsu's expedition report. The journey that changed him."
MS-0035,Silence and the Stone,Hamund Bress,851,858,treatise,"silence,stone_school,words,North",4600,fair,SHOP-08-A1,Common,verified,purchase,"Northern stone-school philosophy. Silence as empty space between words."
MS-0036,Frozen Words: A Northern Meditation,Hamund Bress,859,865,treatise,"words,cold,North,stone_school",3800,fair,SHOP-08-A2,Common,verified,purchase,"Argued words could be frozen in northern climates. Eccentric but influential."
MS-0037,Toward a Reconciliation,Oben Marsh,887,892,treatise,"stone_school,observation,synthesis",6400,good,SHOP-09-A2,Common,verified,donation,"Attempted to reconcile stone-school with empirical observation."
MS-0038,The Evidence of Words,Oben Marsh,893,898,treatise,"stone_school,evidence,philosophy",5100,good,SHOP-09-A3,Common,verified,donation,"Further attempts at empirical stone-school. Largely unsuccessful."
MS-0039,Literalism and the Dens,Callis Fenn,861,868,treatise,"literalism,Dens,symbols,philosophy",5800,fair,SHOP-24-A1,Common,verified,estate,"Foundational literalist text. All sides of symbol must be visible."
MS-0040,The Symbol Laid Bare,Callis Fenn,866,873,treatise,"symbols,literalism,philosophy",4200,fair,SHOP-24-A2,Common,verified,estate,"Continuation of literalist philosophy. Written before disappearance."
MS-0041,Literalism After Callis,Roth Fenn,885,890,treatise,"literalism,philosophy,brother",3600,good,SHOP-24-A3,Common,verified,donation,"Roth's continuation after brother's disappearance. Less radical."
MS-0042,Numbers and Words,Fibon Arrel,856,862,treatise,"numbers,counting,pebbles,words",5900,fair,SHOP-20-A4,Common,verified,donation,"Fibon's late work connecting counting to word-origins."
