concept_id,concept_name,aliases,domain,world,primary_developer,development_year,status,parent_concept,related_concepts,real_world_analog,key_principles,source_texts,mathematical_nature,notes
CON-001,Basin Topology,"Basin dynamics,Attractor basins",spatial_philosophy,W1,Vornis Keth,unknown,foundational,None,"CON-002,CON-003,CON-004",Dynamical systems theory,"Minds/spaces organize around stable states;Attractor basins pull toward states;Breathing phenomenon - basins expand/contract",spatial-philosophy/001,continuous,"Foundational Keth framework. Geometric math tradition."
CON-002,Resonance Calculus,Keth's resonance,spatial_philosophy,W1,Vornis Keth,1851,foundational,CON-001,"CON-001,CON-003",Adaptive Resonance Theory (ART),"Mathematical framework for computing resonance between states;Similar states reinforce each other",spatial-philosophy/002,continuous,"Part of Keth's broader work on spatial cognition."
CON-003,Topology as Prophecy,Predictive cartography,spatial_philosophy,W1,Vornis Keth,1855,validated,CON-001,"CON-001,CON-002",Prediction systems,"Using topological structure to forecast future states;91% historical accuracy claimed",bioinformatics-seeds/predictive-cartography/,continuous,"Keth's prediction framework. Validated by Thenna Keth."
CON-004,Stability-Plasticity Dilemma,,spatial_philosophy,W1,Vornis Keth,unknown,foundational,CON-001,"CON-001,CON-002",Stability-plasticity in ML,"Tension between stable memories and learning;Vigilance parameters control tradeoff",spatial-philosophy/005,continuous,"Same concept exists in ART and machine learning."
CON-005,The Breach Debate,,spatial_philosophy,W1,Vornis Keth/Archon Prebel,unknown,debated,CON-001,CON-001,Phase transitions,"Continuous vs discrete state transitions;Do basins have smooth or sharp edges?",spatial-philosophy/004,continuous/discrete,"Keth (continuous) vs Prebel (discrete breaches)."
CON-006,Constellation Method,Tross's method,boundary_dynamics,W1,Pemlik Tross,unknown,foundational,None,"CON-007,CON-008",Spectral clustering,"Clustering via neighbor relationships;Signed relationships (positive/negative edges);Tension fields",levin-aragon-synthesis/02,discrete,"Entities form constellations based on connections."
CON-007,Tension Fields,,boundary_dynamics,W1,Pemlik Tross,unknown,component,CON-006,CON-006,Signed graphs,"Graph structures with positive/negative edges;Model attraction and repulsion",levin-aragon-synthesis/02,discrete,"Part of Constellation Method."
CON-008,Harmonic Projection,,boundary_dynamics,W1,Pemlik Tross,unknown,component,CON-006,CON-006,Spectral embedding,"Projection based on graph harmonics;KNN/KFN relationships",levin-aragon-synthesis/02,discrete,"Spectral embedding analog."
CON-009,Form Library Hypothesis,Bodies as readers,morphology,W1,Erris Pol,unknown,hypothetical,None,"CON-010,CON-011",Morphospace/latent spaces,"Universal library of possible forms;Bodies 'read' from library during development;Forms persist abstractly",levin-platonic-seeds/form-library/,continuous,"Pol's major hypothesis."
CON-010,Ingression Theory,,morphology,W1,Archon Vells,unknown,theoretical,CON-009,CON-009,Generative models,"How abstract forms manifest materially;Mechanism of potential becoming actual",levin-platonic-seeds/ingression-theory/,continuous,"How forms from Form Library manifest."
CON-011,TAME Hierarchy,I-C-integral formula,classification,W1,Pell Anster,unknown,foundational,None,"CON-009,CON-012",Hierarchical clustering,"T-Triggered A-Autonomous M-Modular E-Emergent;Classification by integration level",levin-platonic-seeds/hierarchy-of-minds/,discrete,"Classification system for minds."
CON-012,Cognitive Horizons,,epistemology,W1,Mira Strand,unknown,foundational,None,"CON-011,CON-013",Light cones/causal structure,"Limits of cognition in four dimensions;Temporal depth/Agential range/Abstractive height/Integrative span;Care folds time",levin-platonic-seeds/cognitive-horizons/,continuous,"Framework for cognitive limits."
CON-013,Ghost Persistence Theory,Memory decay,memory,W1,Sareth Moll,unknown,foundational,None,"CON-012,CON-014",Exponential decay/attention,"Memories/hauntings fade over time;Exponential decay curves;Reactivation can preserve",levin-aragon-synthesis/04,continuous,"How ghosts and memories fade."
CON-014,Navigation Resonance,Destination paradox,navigation,W1,Rellen Voss,unknown,foundational,None,"CON-001,CON-002",Gradient descent/optimization,"Travelers follow gradients to destinations;Destination paradox - knowing arrival without prior visit",levin-aragon-synthesis/03,continuous,"Optimization analog in navigation."
CON-015,Federation Theory,Trust economics,collective,W1,Tessyn Mord,unknown,foundational,None,"CON-011,CON-016",Multi-agent systems/game theory,"Collective intelligence through negotiation;Parts maintain autonomy while contributing;Trust economics",levin-platonic-seeds/collective-intelligence/,discrete,"How collective intelligence emerges."
CON-016,Taxonomy of Failure,,pathology,W1,Kella Vorn,unknown,foundational,None,"CON-011,CON-015",Anomaly detection,"Systematic classification of system breakdowns;Six domains of failure;Jackson as paradigmatic failure",levin-aragon-synthesis/08,categorical,"Classification of how systems fail."
CON-017,Observer Access Theory,Polycomputing,epistemology,W1,Tobin Creel,unknown,theoretical,None,CON-012,Observer-dependent computation,"Same substrate computes different things for different observers;What a system is depends on observer",levin-platonic-seeds/observers-computation/,relativistic,"Polycomputing concept."
CON-018,Creature Grammar,Behavioral vocabulary,taxonomy,W1,Pollus Brent,unknown,applied,None,CON-006,Formal grammars,"Creatures have behavioral 'sentences' of 'words';Prime-number cycles (2,3,5,7,11) pattern behavior;Folk rules achieve 61% accuracy",bioinformatics-seeds/creature-grammar/,discrete,"Behavioral vocabulary for creatures."
CON-019,Journey Archetypes,Individual Signatures,classification,W1,Lurra Venn,unknown,disputed,None,CON-011,Trajectory clustering,"Lucky Fool/Weathered Hand/Doomed Optimist/Happy Accident;Counter-argued by Meck Drune",bioinformatics-seeds/individual-signatures/,categorical,"Trader trajectory classification."
CON-020,Dens Mapping Principles,Six principles,cartography,W1,Council of Cartographers,unknown,institutional,None,"CON-001,CON-003","","Non-Accumulation;Observer Notation;Plural Registration;Boundary Impermanence;Instrumental Humility;Non-Return",bioinformatics-seeds/mapping-practices/,procedural,"Guild protocols for Dens mapping."
CON-021,Prebel Effect,,cartography,W1,Prebel Cord,unknown,observed,CON-001,"CON-001,CON-003",Observer effect,"Observation creates stability;Measuring/recording can stabilize unstable regions",bioinformatics-seeds/predictive-cartography/,continuous,"Observation stabilizes regions."
CON-022,Kellam's First Rule,,skepticism,W1,Vorn Kellam,unknown,principle,None,None,Information theory,"A number that restates what you knew is not information",bioinformatics-seeds/skeptics-discourse/,information,"Core skeptical principle."
CON-023,Reflexive Subjects,,epistemology,W1/W2,Tennev Crost,unknown,discovered,None,CON-017,Self-reference,"People who know they're being predicted;Cannot model freedom only compliance;Jackson as example",bioinformatics-seeds/simulated-citizens/,reflexive,"Prediction limits with self-aware subjects."
CON-024,Three-Compassed Maps,,cosmology,W1,Unknown,unknown,fundamental,None,None,Coordinate systems,"W1 maps have only three directions - no East;Fundamental cosmological difference from W2",dens ore.txt,geometric,"W1 has three compass directions."
CON-025,Retrieval vs Geometric Math,The Schism,meta-mathematical,Meta,Richard Aragon (real),2025,framework,None,"CON-001,CON-006","","Retrieval: memory as database/Euclidean/discrete;Geometric: cognition as movement/Riemannian/continuous;Archive vs Keth",CLAUDE.md,meta,"Framework for understanding mathematical traditions."
