org_id,name,aliases,org_type,world,location,description,leaders,members_notable,products_services,associated_events,related_orgs,first_appearance,status,notes
W2O-001,Lewis and Clark Community College,"Lewis & Clark,Densmok CC,Jintech College,Lewis Coker CC,Levis Coker CC",educational,W2,Godfrey IL,Real Illinois community college. Site of Kitchum Circle.,"","Jackson,Miss Kitchum,Quonxy","education,gathering_place","Kitchum_freezing_episodes,Jackson_legend","The Kitchum Circle",capital ore.txt,active,"Hosts Old Soldier Fountain gathering place."
W2O-002,The Five Family Collectives,Mnemonic teaching groups,educational_network,W2,scattered across US,Five family collectives of mnemonic tutors.,"The Mnemonist (founder)","Quonxy,Josh",mnemonic_teaching,"",independent,ore-fragments/dens/,historical,"Scattered across the US. Teach memory techniques."
W2O-003,The Kitchum Circle,,student_group,W2,Lewis and Clark CC,Informal student group at Old Soldier Fountain.,"Jackson (coordinator)","Jackson,students",gathering,"Jackson's disappearance","Lewis and Clark CC",ore-fragments/densmok/,active,"Named after Miss Kitchum. Coordinated via Kitchum Fund."
W2O-004,MindBreeze Corporation,,technology,W2,unknown,Develops plug-in products including Harry.,"","Harrison Harrison (product)","plug-in products,interface tech","","Cellspace,Vacations",ore-fragments/densmok/,active,"Harry (Mr. Harrison Harrison) is their plug-in product."
W2O-005,Cellspace,,technology,W2,unknown,Company that buys body-space from individuals.,"","",body_space_purchasing,"","MindBreeze,Vacations",ore-fragments/densmok/,active,"Buys body-space."
W2O-006,Vacations,,technology,W2,unknown,Company that buys body-space.,"","",body_space_purchasing,"","MindBreeze,Cellspace",ore-fragments/densmok/,active,"Buys body-space."
W2O-007,DIA,Department of Information Anomalies,government,W2,unknown,Government department handling information anomalies.,"","",anomaly_handling,"","",ore-fragments/densmok/,active,"Government oversight of information anomalies."
W2O-008,Physician's Institute,,medical,W2,unknown,Handles vision procedures for children raised blind.,"","",vision_procedures,"","",ore-fragments/densmok/,active,"Enables sight in previously blind children."
W2O-009,Saints of Horfeus,,religious_mystical,W2,under Mississippi River,Religious/mystical group with Annual Assemblies.,"Hinsin Fleer (Head-Saint)","Marvix (Saint),Loomis (defector)",mystical_services,"Annual Assemblies","",ore-fragments/yeller-quarry/,active,"Operates under the river. Slug-like Head-Saint."
W2O-010,Church of the New Antipathy,,religious,W2,unknown,Religious movement founded by Stell Thompson.,"Stell Thompson (founder)","",spiritual_movement,"","",densmok ore.txt,active,"Nature and doctrine unclear."
