location_id,name,aliases,location_type,city,state,address,description,associated_characters,associated_events,real_location,first_appearance,significance,notes
AL-001,Alton,Alton IL,city,Alton,Illinois,,Real Illinois river town on Mississippi north of St. Louis. Primary W2 setting.,"Quonxy,Little Porn,Claire Simmons,many others","Lincoln-Douglas debates,Lovejoy martyrdom",yes,dens ore.txt,major,"Historical significance: abolitionist Elijah Lovejoy martyred here."
AL-002,McPike Mansion,,haunted_house,Alton,Illinois,,"Haunted Victorian mansion. Ghost of Paul Laichinger and Miss Hester.","Paul Laichinger (ghost),Miss Hester (ghost),Kera Quine,Claire Simmons",Haunted Alton tours,yes,capital ore.txt,notable,"Featured in haunted tours. 19th century mansion."
AL-003,Riversland,Riversland subdivision/River's Way,subdivision,Alton,Illinois,,Alton subdivision where Little Porn lives. Site of smartest kid competition.,"Little Porn,Amber,Tyli Markham,Morgan","smartest_kid_competition",partial,capital ore.txt,significant,"Neighborhood in Alton area."
AL-004,River's Edge,River's Edge subdivision,subdivision,Alton,Illinois,,New subdivision with pastoral commons. Sixty houses.,"Tess,Greg","Tess kills Greg,Tess's death",partial,tower of mirado ore.txt,narrative,"Features The Woods common land and The Ravine drainage ditch."
AL-005,Hilly Dale,,subdivision,Alton,Illinois,,Subdivision where Vivian Hammond lives. Where narrator's family lives.,"Vivian Hammond,Cassie,Bruce Stephenson,Gregory","tutoring_sessions",partial,tower of mirado ore 2.txt,significant,"Home of the Hammond tutoring phenomenon."
AL-006,Lewis and Clark Community College,"Lewis & Clark,Densmok CC,Jintech College,Lewis Coker CC",college,Godfrey,Illinois,,Real Illinois community college. Site of Kitchum Circle at Old Soldier Fountain.,"Jackson,Miss Kitchum,Quonxy","Kitchum_freezing_episodes,Jackson_legend",yes,capital ore.txt,major,"Hosts Old Soldier Fountain where students gather."
AL-007,Old Soldier Fountain,Kitchum Circle location,landmark,Godfrey,Illinois,Lewis and Clark CC,Fountain at Lewis and Clark CC. Gathering place for the Kitchum Circle.,"Jackson,Miss Kitchum,students","Jackson's disappearance",partial,ore-fragments/densmok/,notable,"Named gathering place. Jackson coordinated via Kitchum Fund."
AL-008,Twenty-Ten,,coffee_shop,Alton,Illinois,,Coffee shop in Alton. Community hub.,"various","community_gatherings",partial,capital ore.txt,recurring,"Also appears as W1 skeptics venue."
AL-009,Common Grounds,,coffeehouse,Alton,Illinois,,Coffeehouse with chess, Risk, poetry.,"various","Saturday_jazz",partial,ore-fragments/densmok/,recurring,"Features Standard Hive jazz band on Saturdays."
AL-010,The Soup House,,rehab_house,Alton,Illinois,815 Semple St,Rehab house at 815 Semple Street. Quonxy's place.,"Quonxy,clients","addiction_counseling",partial,northo ore 2.txt,notable,"Quonxy operates addiction counseling here."
AL-011,Semple Street,,street,Alton,Illinois,,Three houses downtown Alton. Location of Soup House at 815.,"Quonxy","",partial,dens ore.txt,minor,"Downtown Alton street."
AL-012,Clark Bridge,,bridge,Alton,Illinois,,Suspension bridge connecting Alton to Missouri.,"","",yes,dens ore.txt,landmark,"Major infrastructure. Views of Mississippi."
AL-013,Broadway,,street,Alton,Illinois,,Main street in Alton.,"","",yes,capital ore.txt,minor,"Commercial street in downtown Alton."
AL-014,Halvord Ave,,street,Alton,Illinois,,Steepest street in Alton.,"","",yes,dens ore.txt,notable,"Steep hill climbing from river level."
AL-015,Great River Road,,highway,Alton to Grafton,Illinois,,Scenic road between Alton and Grafton along Mississippi bluffs.,"","",yes,dens ore.txt,scenic,"Features bluffs and river views."
AL-016,Grafton,,town,Grafton,Illinois,,Illinois river town connected to Alton via Great River Road.,"","",yes,dens ore.txt,minor,"Small river town north of Alton."
AL-017,Godfrey,Village of Godfrey,town,Godfrey,Illinois,,Illinois town adjacent to Alton. Contains Baptist and Methodist churches.,"","",yes,dens ore.txt,minor,"Suburban area of greater Alton."
AL-018,The Shed,,hiding_place,Godfrey,Illinois,,Narrator's hiding place.,"narrator","",partial,dens ore.txt,personal,"Private retreat location."
AL-019,The Woods (Godfrey),,nature_area,Godfrey,Illinois,,Reading destination.,"narrator","",partial,dead river ore.txt,personal,"Natural area for reading."
AL-020,Quicktrip,Snipe Crab Scuttle,gas_station,Alton area,Illinois,,Gas station stocked with scissors. Setting for Snipe narrative.,"Snipe/Randy,Kera,Jena","Jena's Revenge,Snipe murders",partial,north town ore.txt,narrative,"Features Dale Earnhardt Jr. cutout."
AL-021,Lazy Jane's,,motel,Alton area,Illinois,,Motel across from Quicktrip. $29.99-$39.99/night.,"","",partial,north town ore.txt,minor,"Budget accommodation."
AL-022,The Beagle,,bar,Alton area,Illinois,,Bar where Jim watches Illinois games.,"Jim","Illini_games",partial,north town ore.txt,minor,"Sports bar."
AL-023,Little Village,,antique_mall,Alton,Illinois,,Antique mall.,"","",yes,capital ore.txt,minor,"Shopping destination."
AL-024,Old Bakery Beer Company,,brewery,Alton,Illinois,,Craft brewery.,"","",yes,capital ore.txt,minor,"Local establishment."
AL-025,Bluff City Grill,,restaurant,Alton,Illinois,,Restaurant.,"","",yes,capital ore.txt,minor,"Local dining."
AL-026,Jim's Comic Emporium,,comic_store,Alton,Illinois,,Uncle Jim's comic store.,"Ria (banned)","",partial,ore-fragments/densmok/,minor,"Ria was banned from here."
AL-027,Casino Boat,,casino,Alton,Illinois,,Riverboat casino.,"","",yes,dens ore.txt,landmark,"Gaming destination on the Mississippi."
AL-028,Lovejoy Monument,,monument,Alton,Illinois,,Monument to abolitionist martyr Elijah Lovejoy.,"Elijah Lovejoy (historical)","Lovejoy martyrdom",yes,implied,historical,"1837 martyrdom site."
AL-029,The Ravine,,drainage_ditch,River's Edge,Illinois,,Drainage ditch in River's Edge subdivision.,"Tess,Greg","Tess kills Greg,Tess's death",partial,north town ore.txt,narrative,"Site of violent confrontations."
AL-030,The Woods (River's Edge),,common_land,River's Edge,Illinois,,Common land in River's Edge subdivision.,"Tess","",partial,tower of mirado ore.txt,narrative,"Nature area within subdivision."
AL-031,East St. Louis,,city,East St. Louis,Illinois,,Illinois city across from St. Louis. Poverty stretch.,"","",yes,dead river ore.txt,context,"Industrial decline area."
AL-032,Edwardsville,,town,Edwardsville,Illinois,,Town 20 miles from Alton.,"","",yes,capeast ore.txt,minor,"Nearby town. Home of SIUE."
AL-033,Jerseyville,,town,Jerseyville,Illinois,,Small Illinois town (8300 pop.) with two-screen theater.,"","",yes,mirado sticks ore.txt,minor,"Rural town."
AL-034,Brighton,,town,Brighton,Illinois,,Small town near Alton.,"","",yes,dens ore.txt,minor,"Nearby community."
AL-035,Florissant,,city,Florissant,Missouri,,Missouri suburb.,"","",yes,dens ore.txt,minor,"St. Louis suburb."
AL-036,St. Charles,,city,St. Charles,Missouri,,Missouri city.,"","",yes,dens ore.txt,minor,"St. Louis area."
AL-037,Hazelwood,,city,Hazelwood,Missouri,,Missouri suburb.,"","",yes,dens ore.txt,minor,"St. Louis suburb."
AL-038,Mississippi River,,river,Regional,Multiple states,,Major river. Alton sits on its banks. Saints of Horfeus operates under it.,"Saints of Horfeus","",yes,dens ore.txt,major,"Central geographic feature."
AL-039,North Elementary,,school,Hilly Dale area,Illinois,,Dylan's school.,"Dylan Hart","",partial,tower of mirado ore 2.txt,minor,"Elementary school."
AL-040,Taylor University,,university,Upland,Indiana,,Indiana evangelical university. Where Dan Plate teaches.,"Dan Plate","Krimschin_speech",yes,northo ore.txt,referenced,"Evangelical Christian university."
