saddle_id,saddle_name,coord_x,coord_y,coord_z,ridge_id,adjacent_basins,basin_count,index,instability_score,residence_time_avg,collapse_probabilities,transition_rate,bifurcation_events,first_documented,documentation_method,surveyor,confidence,notes
SP-001,The Quintic Gateway,0.35,0.55,0.28,RG-002,"BA-001,BA-003,BA-004",3,2,1.0,0.52,"0.48,0.01,0.51",4.61,10,918,trajectory_analysis,C. Vells,0.9,Junction of RG-001 and RG-002. First saddle documented by Vells Year 918.
SP-002,Breathing Pivot,-0.18,0.52,-0.15,RG-004,"BA-015,BA-004",2,1,0.56,4.45,"0.64,0.36",2.5,18,918,trajectory_analysis,C. Vells,0.9,Low point on Breathing Boundary. Oscillatory behavior observed.
SP-003,Binary-Quintic Pass,-0.05,-0.02,0.12,RG-003,"BA-001,BA-002",2,1,0.57,3.57,"0.91,0.09",2.39,22,918,trajectory_analysis,C. Vells,0.93,Major crossing point between the two deepest basins.
SP-004,The Great Pivot,-0.4186,-0.2646,0.7188,RG-081,"BA-030,BA-023",2,1,0.68,3.74,"0.46,0.54",3.27,17,925,bifurcation_event,Western Archive Team,0.71,Slight drift observed since Year 925.
SP-005,Point of 2 Choices,0.2996,0.5113,0.1756,RG-039,"BA-003,BA-001",2,1,0.58,3.39,"0.48,0.52",2.72,29,929,theoretical,C. Vells,0.85,Position stable since first documentation.
SP-006,Inner Transition,0.0109,-0.9118,-0.3029,RG-107,"BA-037,BA-039",2,1,0.72,2.32,"0.63,0.37",3.18,4,921,bifurcation_event,Ridge Survey Team,0.87,Transition rate higher than theoretical prediction.
SP-007,050 Gateway,0.4421,-0.5068,-0.4879,RG-105,"BA-050,BA-012,BA-029,BA-028",4,2,1.0,0.8,"0.02,0.27,0.51,0.2",5.0,13,918,bifurcation_event,Saddle Point Task Force,0.93,Adjacent to geodesic path GP-0242.
SP-008,029 Gateway,0.5522,-0.4129,-0.7316,RG-085,"BA-029,BA-050",2,1,0.65,3.69,"0.94,0.06",3.29,46,925,theoretical,Western Archive Team,0.71,Index-2 saddle connecting three basins.
SP-009,Unstable Crossroads,-0.6926,-0.4917,-0.5083,RG-035,"BA-018,BA-043",2,1,0.68,2.75,"0.5,0.5",4.04,27,929,theoretical,Morren Kast,0.84,Adjacent to geodesic path GP-0066.
SP-010,The Eastern Junction,-0.6841,0.1631,0.788,RG-014,"BA-027,BA-041",2,1,0.58,3.39,"0.49,0.51",3.33,44,922,trajectory_analysis,Saddle Point Task Force,0.58,Residence time unusually long for this index.
SP-011,Minor Crossroads,0.4661,0.4861,0.2262,RG-015,"BA-045,BA-001",2,1,0.56,4.38,"0.63,0.37",2.94,49,930,ridge_survey,K. Strand,0.85,Position stable since first documentation.
SP-012,Saddle Point 58,-0.2618,0.4167,-0.4501,RG-093,"BA-015,BA-040",2,1,0.72,2.8,"0.47,0.53",2.8,35,925,theoretical,Morren Kast,0.84,Part of 3-saddle complex.
SP-013,Unstable Transition,0.7715,-0.103,0.5154,RG-072,"BA-047,BA-022",2,1,0.55,3.7,"0.46,0.54",2.33,32,927,bifurcation_event,Morren Kast,0.93,Position stable since first documentation.
SP-014,010 Pass,-0.2916,0.7632,-0.8756,RG-079,"BA-010,BA-013",2,1,0.65,3.15,"0.72,0.28",3.07,26,925,trajectory_analysis,Boundary Commission,0.72,Transition rate higher than theoretical prediction.
