form_id,form_name,category,prime_association,complexity,stability,known_readers,dens_proximity,description
FL-001,The Quintic Cycle,major_attractor,5,7,0.92,47,stable_region,Five-phase behavioral pattern of extraordinary stability observed in stakdur and reed-spinner. The paradigmatic attractor.
FL-002,The Binary Division,major_attractor,2,3,0.98,156,stable_region,Universal bifurcation form. Every creature that reproduces reads from this fundamental pattern.
FL-003,The Breathing Mode,minor_attractor,,5,0.75,23,boundary,Rhythmic oscillation observed in boundary regions. Systems inhale and exhale through morphospace.
FL-004,The Tension,major_attractor,11,8,0.90,31,stable_region,Highly stable form characterized by predictable interval timing. Prime-11 associated resistance pattern.
FL-005,The Triad Form,major_attractor,3,5,0.88,42,stable_region,Three-phase cyclic pattern. Strong prime-3 association. Observed in cave bats and territorial creatures.
FL-006,The Septenary Rhythm,major_attractor,7,6,0.85,28,stable_region,Seven-day cycling pattern observed in multiple species. Lunar correspondence disputed.
FL-007,The Dissolution Spiral,unstable,,9,0.22,3,dens_interior,Near-chaos configuration where form coherence breaks down. Observed only near the Dens.
FL-008,Minor Attractor VIII,minor_attractor,,4,0.72,18,stable_region,Stable resting form within the outer Quintic Basin. Creatures pause here before transitions.
FL-009,The Gathering Pulse,minor_attractor,5,6,0.78,15,stable_region,Social clustering pattern. Bodies coordinate without apparent communication.
FL-010,The Scatter Form,transitional,,5,0.45,8,boundary,Dispersal pattern. Systems pass through during territorial dissolution.
FL-011,The Deep Rest,major_attractor,2,2,0.95,89,stable_region,Hibernation and dormancy form. Extremely stable but limited behavioral range.
FL-012,The Escalation,transitional,3,7,0.42,12,boundary,Aggression amplification pattern. Conflict spirals read from this form.
FL-013,The Boundary Weave,minor_attractor,7,6,0.68,21,stable_region,Territorial marking pattern. Space and behavior intertwined.
FL-014,Minor Attractor XIV,minor_attractor,,5,0.68,14,stable_region,Transitional form on the slopes of the Tension Basin.
FL-015,The Return Cycle,minor_attractor,3,4,0.76,27,stable_region,Migratory pattern. Systems depart and return on predictable intervals.
FL-016,The Flicker State,unstable,,6,0.31,5,dens_adjacent,Rapid oscillation between forms. Observed in Dens-proximate creatures.
FL-017,The Alignment,minor_attractor,11,7,0.71,11,stable_region,Collective orientation form. Multiple bodies face the same direction.
