violation_id,boundary_id,violation_year,violation_type,severity,entity_a_id,entity_b_id,violator,proximate_cause,underlying_cause,outcome,recovery_time_days,related_violations,documented_by,documentation_source,confidence,description,lessons_learned,notes
BV-0001,EB-0331,919,fusion,0.28,MS-0035,MS-0065,external,external_force,Constellation shift,entities_scattered,,,Boundary Commission,classification_records,0.64,Fusion event eliminated separation.,Prevention requires understanding underlying causes.,
BV-0002,EB-0061,1851,breach,0.41,MS-0015,MS-0076,unclear,dens_proximity,Unknown,entities_scattered,,,Archive Survey Team,trajectory_records,0.53,Breach event: boundary penetrated.,Some boundaries are fundamentally unstable.,
BV-0003,EB-0160,1833,fusion,0.85,MS-0027,MS-0059,mutual,strength_decay,Antipathetic force weakened,entities_merged,,,T. Vells,classification_records,0.63,Entities merged through dissolving boundary.,Cascade effects are more common than isolated violations.,
BV-0004,EB-0023,922,erosion,0.9,MS-0075,MS-0019,mutual,external_force,Classification intervention,boundary_rebuilt,43,,Boundary Commission,trajectory_records,0.94,Slow erosion eventually led to failure.,Recovery is possible but rarely complete.,
BV-0005,EB-0144,915,erosion,0.69,MS-0050,MS-0031,entity_a,tension_overload,Constellation shift,entities_scattered,,,P. Tross,entity_testimony,0.87,Slow erosion eventually led to failure.,Classification can destabilize boundaries.,
BV-0006,EB-0036,1841,erosion,0.62,MS-0094,MS-0059,mutual,unknown,Environmental change,boundary_rebuilt,29,,Western Archive Team,aftermath_analysis,0.92,Boundary eroded beyond functional threshold.,Recovery is possible but rarely complete.,
BV-0007,EB-0106,1845,breach,0.81,MS-0037,MS-0031,entity_a,unknown,Constellation shift,cascade_effect,7,BV-0003,Boundary Commission,direct_observation,0.77,Entity crossed boundary without negotiation.,Some boundaries are fundamentally unstable.,
BV-0008,EB-0005,926,dissolution,0.66,MS-0081,MS-0049,entity_a,internal_conflict,Classification intervention,boundary_relocated,447,,Archive Survey Team,entity_testimony,0.9,Dissolution event: boundary ceased to exist.,Cascade effects are more common than isolated violations.,
BV-0009,EB-0173,921,collapse,0.94,MS-0088,MS-0090,mutual,strength_decay,Antipathetic force weakened,boundary_relocated,142,,Boundary Commission,entity_testimony,0.73,Sudden catastrophic boundary failure.,Prevention requires understanding underlying causes.,
BV-0010,EB-0037,1844,erosion,0.45,MS-0007,MS-0081,external,internal_conflict,Sympathetic relationship strained,cascade_effect,25,BV-0003,P. Tross,direct_observation,0.64,Slow erosion eventually led to failure.,Classification can destabilize boundaries.,
BV-0011,EB-0044,929,erosion,0.61,MS-0048,MS-0031,entity_b,strength_decay,Long-term tension accumulation,boundary_rebuilt,2139,,T. Vells,direct_observation,0.57,Gradual boundary weakening over time.,Prevention requires understanding underlying causes.,
BV-0012,EB-0146,914,breach,0.88,MS-0073,MS-0042,external,tension_overload,Sympathetic relationship strained,boundary_relocated,1719,,Boundary Commission,aftermath_analysis,0.71,Breach event: boundary penetrated.,Some boundaries are fundamentally unstable.,
BV-0013,EB-0100,919,collapse,0.76,MS-0001,MS-0013,entity_b,strength_decay,Classification intervention,entities_merged,,,Archive Survey Team,classification_records,0.72,Rapid collapse destroyed boundary structure.,Prevention requires understanding underlying causes.,
BV-0014,EB-0340,1836,breach,0.58,MS-0095,MS-0005,mutual,external_force,Constellation shift,cascade_effect,2748,BV-0003,P. Tross,entity_testimony,0.87,Breach event: boundary penetrated.,Classification can destabilize boundaries.,
