passage_id,source_object,target_object,morphism_type,region,observation_date,frequency,reversible,composition_with,observer,notes
PD-001,stakdur_territory,reed_marsh,creature_passage,yeller_quarry,892-03-15,daily,false,,tessery_vold,Stakdurs pass through reed marshes to hunt
PD-002,reed_marsh,stakdur_territory,creature_passage,yeller_quarry,892-03-15,never,false,,tessery_vold,Reed-spinners never enter stakdur territory
PD-003,grimslew_pool,open_water,creature_passage,dead_river,892-04-22,tidal,true,,tessery_vold,Grimslews move with tidal cycles
PD-004,open_water,grimslew_pool,creature_passage,dead_river,892-04-22,tidal,true,PD-003,tessery_vold,Return passage forms composition
PD-005,stakdur_territory,stakdur_territory,identity,yeller_quarry,892-03-15,constant,true,,tessery_vold,Identity morphism - stakdur remains in territory
PD-006,reed_marsh,reed_marsh,identity,yeller_quarry,892-03-16,constant,true,,tessery_vold,Identity morphism - reed-spinner habitat
PD-007,grimslew_pool,grimslew_pool,identity,dead_river,892-04-22,constant,true,,tessery_vold,Identity morphism - grimslew resting pool
PD-008,deep_dens,boundary_zone,creature_passage,dens_proper,892-06-01,seasonal,false,,tessery_vold,Unknown creatures emerge seasonally
PD-009,boundary_zone,capital_outskirts,creature_passage,capital_region,892-06-15,rare,false,PD-008,tessery_vold,Composition: deep_dens to capital via boundary
PD-010,nest_colony,feeding_grounds,creature_passage,northern_territory,892-07-10,dawn,true,,western_archive_surveyor,Colonial birds daily passage
PD-011,feeding_grounds,nest_colony,creature_passage,northern_territory,892-07-10,dusk,true,PD-010,western_archive_surveyor,Return passage at dusk
PD-012,yeller_tract,focal_meadow,creature_passage,yeller_quarry,892-08-05,unknown,false,,tessery_vold,Yeller's movements defy tracking
PD-013,winter_den,summer_range,creature_passage,northern_territory,892-09-01,seasonal,true,,western_archive_surveyor,Seasonal migration pattern
PD-014,summer_range,winter_den,creature_passage,northern_territory,892-09-01,seasonal,true,PD-013,western_archive_surveyor,Return migration
PD-015,archive_west,archive_central,document_passage,capital_region,893-01-10,weekly,true,,archivist_trell,Document transfer between wings
PD-016,archive_central,archive_west,document_passage,capital_region,893-01-10,weekly,true,PD-015,archivist_trell,Return transfer
PD-017,scholar_quarters,library_hall,person_passage,western_archive,893-02-01,daily,true,,tessery_vold,Vold's daily route
PD-018,library_hall,scholar_quarters,person_passage,western_archive,893-02-01,daily,true,PD-017,tessery_vold,Return passage
PD-019,capital,western_archive,message_passage,inter_regional,893-03-15,monthly,true,,courier_network,Correspondence route
PD-020,western_archive,capital,message_passage,inter_regional,893-03-15,monthly,true,PD-019,courier_network,Reply route
PD-021,spawning_pool,juvenile_habitat,lifecycle_passage,dead_river,893-04-20,annual,false,,grimslew_researcher,One-way lifecycle transition
PD-022,juvenile_habitat,adult_territory,lifecycle_passage,dead_river,893-04-20,annual,false,PD-021,grimslew_researcher,Composition of lifecycle stages
