example_id,word_object,category,grammatical_morphism,target_word,morphism_type,composable_with,semantic_relation,vector_analogy,year_documented,documented_by,archive_context,notes
LC-001,surveyor,archive_language,subject_of,documented,noun_verb,object_of,agent_action,"surveyor - documented + mapped ≈ cartographer",960,corren_moll,western_archive,"First example in Moll's categorical framework"
LC-002,boundary,archive_language,modified_by,unstable,noun_adjective,determines,property_attribution,"boundary + unstable - stable ≈ breach",960,corren_moll,western_archive,"Adjective morphisms as property functors"
LC-003,expedition,archive_language,has_location,sector_sw,noun_location,temporal_with,spatial_grounding,"expedition + sector_sw ≈ survey_mission",961,corren_moll,western_archive,"Location morphisms ground abstract terms"
LC-004,manuscript,archive_language,authored_by,scholar,noun_agent,archived_in,creation_relation,"manuscript - authored_by ≈ document - written_by",962,corren_moll,western_archive,"Authorship as morphism type"
LC-005,theory,archive_language,contested_by,rival_theory,noun_noun,proposed_by,opposition_relation,"theory + contested ≈ debate",963,corren_moll,western_archive,"Theories in categorical opposition"
LC-006,archive,archive_language,contains,document,noun_noun,indexed_by,containment_relation,"archive contains document; document referenced_by catalog",964,corren_moll,western_archive,"Containment morphisms and their inverses"
LC-007,breach,archive_language,caused_by,drift,noun_noun,affects,causal_morphism,"breach - caused_by(drift) ≈ failure - caused_by(neglect)",965,corren_moll,western_archive,"Causal morphisms preserve causation structure"
LC-008,scholar,archive_language,specializes_in,resonance,noun_concept,collaborates_with,expertise_relation,"scholar(resonance) ≈ keth; scholar(coordinates) ≈ vold",966,corren_moll,western_archive,"Specialization morphism"
LC-009,ghost,archive_language,observed_at,yeller_tract,noun_location,fades_over,spatial_manifestation,"ghost + yeller_tract ≈ haunting",967,corren_moll,western_archive,"Ghosts as linguistic objects with location morphisms"
LC-010,pattern,archive_language,persists_through,substrate,noun_noun,transforms_via,persistence_relation,"pattern persists_through substrate (Sareth Moll's contribution)",967,corren_moll,western_archive,"Reference to cousin Sareth Moll's work"
LC-011,word,language_category,grammatical_to,word,object_morphism,composable,meaning_preserving,"All grammatical relations are morphisms",968,corren_moll,western_archive,"Meta-example: words themselves form a category"
LC-012,noun,language_category,transforms_to,verb,part_of_speech,via_suffix,derivational,"nation → nationalize; example of derivational morphism",968,corren_moll,western_archive,"Derivational morphology as functor"
LC-013,LPN_piece,lpn_language,has_name,phoneme_sequence,puzzle_symbol,csq_equivalent,naming_morphism,"Little Porn's naming system as categorical structure",960,corren_moll,western_archive,"Reference to LPN (EV-915-012)"
LC-014,CSQ_symbol,csq_language,denotes,semantic_value,puzzle_symbol,lpn_equivalent,denotation_morphism,"Quonxy's notation as parallel category",960,corren_moll,western_archive,"Reference to CSQ (EV-916-007)"
LC-015,context,distributional_category,determines,meaning,abstract,functor_from,distributional_hypothesis,"The central insight: context determines meaning functorially",968,corren_moll,western_archive,"Key theoretical statement"
LC-016,king,embedding_space,minus,man,vector_operation,plus_woman,analogy_completion,"king - man + woman ≈ queen",970,corren_moll,western_archive,"Classic word analogy as categorical structure"
LC-017,paris,embedding_space,minus,france,vector_operation,plus_germany,analogy_completion,"paris - france + germany ≈ berlin",970,corren_moll,western_archive,"Geographic analogy"
LC-018,walked,embedding_space,minus,walk,vector_operation,plus_run,tense_morphism,"walked - walk ≈ ran - run",971,corren_moll,western_archive,"Tense as consistent morphism"
LC-019,faster,embedding_space,minus,fast,vector_operation,plus_slow,comparative_morphism,"faster - fast ≈ slower - slow",971,corren_moll,western_archive,"Comparative as regular morphism"
LC-020,document,semantic_category,functor_to,meaning_vector,noun,embedding_functor,representational,"F(document) = meaning vector in semantic space",972,corren_moll,western_archive,"The embedding functor in action"
LC-021,expedition_report,archive_language,composed_from,observations,compound,decomposable,compositional_semantics,"Compositional meaning through morphism composition",973,corren_moll,western_archive,"Compositional structure"
LC-022,the,syntactic_category,determines,definiteness,article,modifies,grammatical_function,"Function words as morphism modifiers",974,corren_moll,western_archive,"Grammatical morphisms from function words"
LC-023,investigate,archive_language,implies,examine,verb_verb,stronger_than,entailment_morphism,"Semantic entailment as morphism",974,corren_moll,western_archive,"Entailment relations as morphisms"
LC-024,not,semantic_category,negates,proposition,logical,inverts,boolean_morphism,"Negation as categorical involution",975,corren_moll,western_archive,"Logical morphisms"
LC-025,because,causal_category,connects,cause_effect,conjunction,asymmetric,causal_connector,"Causal conjunctions as directed morphisms",975,corren_moll,western_archive,"Discourse connectives as morphisms"
LC-026,synonym,semantic_category,maps_to,synonym,word_word,symmetric,meaning_preservation,"Synonymy as isomorphism in meaning category",976,corren_moll,western_archive,"Synonymy as categorical isomorphism"
LC-027,antonym,semantic_category,maps_to,antonym,word_word,symmetric,meaning_opposition,"Antonymy as categorical duality",976,corren_moll,western_archive,"Antonymy in categorical terms"
LC-028,hypernym,semantic_category,generalizes,hyponym,word_word,transitive,taxonomic_morphism,"Hypernymy as morphism to more general concept",977,corren_moll,western_archive,"Taxonomic hierarchy as category"
LC-029,metaphor,semantic_category,transports,meaning,word_domain,cross_domain,metaphorical_functor,"Metaphor as functor between semantic domains",978,corren_moll,western_archive,"Metaphor as cross-domain functor"
LC-030,probe,yoneda_language,reveals,meaning,test_word,similarity_to,probing_morphism,"Connection to Strand's Probing Lemma",979,corren_moll,western_archive,"Link to categorical-llm-series/05"
LC-031,attention,transformer_category,weights,context,mechanism,distributes_over,attention_morphism,"Anticipates Kell's attention work",980,corren_moll,western_archive,"Forward reference to Brennet Kell"
LC-032,embedding,vector_category,represents,word,functor_value,dimension_reduced,representational_functor,"The embedding as functor value",980,corren_moll,western_archive,"The complete picture"
