correlation_id,creature_1_id,creature_1_name,creature_2_id,creature_2_name,both_yeller_compatible,behavior_correlation,lag_minutes,direction,conditions,strength,folk_rule_match,rule_text,pollus_notes
CORR001,CR001,Leatherback Burrower,CR002,Stone Spine Lizard,False,0.048,30,second_leads,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR002,CR001,Leatherback Burrower,CR003,Granite Wren,True,0.368,0,simultaneous,always,weak,False,,Weak correlation; possibly spurious or condition-dependent. Both species yeller-compatible; correlation may reflect Yeller proximity effects.
CORR003,CR001,Leatherback Burrower,CR005,Maw Beast,False,0.044,0,simultaneous,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR004,CR001,Leatherback Burrower,CR006,Yeller Frog,True,0.561,15,second_leads,always,moderate,False,,Moderate correlation; may be confounded by environmental factors. Both species yeller-compatible; correlation may reflect Yeller proximity effects.
CORR005,CR001,Leatherback Burrower,CR007,Metal-Beaked Finch,True,0.599,15,first_leads,always,moderate,False,,Moderate correlation; may be confounded by environmental factors. Both species yeller-compatible; correlation may reflect Yeller proximity effects.
CORR006,CR001,Leatherback Burrower,CR008,Coil Tube Serpent,False,0.232,0,simultaneous,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR007,CR001,Leatherback Burrower,CR011,Cave Bat,True,0.65,30,second_leads,prime_days,moderate,False,,Moderate correlation; may be confounded by environmental factors. Both species yeller-compatible; correlation may reflect Yeller proximity effects.
CORR008,CR001,Leatherback Burrower,CR012,Rock-Finned Eel,False,-0.06,15,first_leads,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR009,CR001,Leatherback Burrower,CR016,Tunnel Cat,True,0.367,30,second_leads,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent. Both species yeller-compatible; correlation may reflect Yeller proximity effects.
CORR010,CR001,Leatherback Burrower,CR024,Quarry Moth,False,-0.1,0,simultaneous,weather_dependent,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR011,CR001,Leatherback Burrower,CR025,Deep Borer,False,-0.083,60,second_leads,seasonal,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR012,CR001,Leatherback Burrower,CR_STAK,Stakdur,False,-0.404,30,second_leads,prime_days,moderate,False,,Moderate correlation; may be confounded by environmental factors.
CORR013,CR002,Stone Spine Lizard,CR003,Granite Wren,False,0.25,0,simultaneous,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR014,CR002,Stone Spine Lizard,CR005,Maw Beast,False,0.238,60,second_leads,none,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR015,CR002,Stone Spine Lizard,CR006,Yeller Frog,False,-0.174,30,second_leads,seasonal,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR016,CR002,Stone Spine Lizard,CR007,Metal-Beaked Finch,False,-0.422,0,simultaneous,seasonal,moderate,False,,Moderate correlation; may be confounded by environmental factors.
CORR017,CR002,Stone Spine Lizard,CR008,Coil Tube Serpent,False,-0.018,0,simultaneous,none,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR018,CR002,Stone Spine Lizard,CR011,Cave Bat,False,0.257,15,second_leads,seasonal,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR019,CR002,Stone Spine Lizard,CR012,Rock-Finned Eel,False,0.15,15,second_leads,none,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR020,CR002,Stone Spine Lizard,CR016,Tunnel Cat,False,-0.201,15,second_leads,prime_days,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR021,CR002,Stone Spine Lizard,CR024,Quarry Moth,False,0.262,60,second_leads,weather_dependent,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR022,CR002,Stone Spine Lizard,CR025,Deep Borer,False,0.288,30,first_leads,weather_dependent,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR023,CR002,Stone Spine Lizard,CR_STAK,Stakdur,False,-0.216,15,second_leads,none,weak,False,,Weak correlation; possibly spurious or condition-dependent.
CORR024,CR003,Granite Wren,CR005,Maw Beast,False,0.061,15,first_leads,weather_dependent,weak,False,,Weak correlation; possibly spurious or condition-dependent.
