case_id,case_name,ingression_event_id,form_type,form_complexity,expected_time_minutes,actual_time_minutes,acceleration_factor,onset_delay_eliminated,acceleration_type,fidelity_preserved,fidelity_score,location,region,dens_proximity_km,barrier_condition,hypothesized_cause,prior_manifestation_same_location,observer_present,collective_involved,free_lunch_classification,implications,observation_year,observer,documented_year,documenter,confidence,notes
AI-0001,Accelerated Creature 921,,creature,simple,38.0,0.042,910.1,True,zero_onset,True,0.74,Dens interior,Dens,0.0,very_thin,collective_access,True,False,True,deferred_cost,Collective access enables shortcuts,903,C. Vells,919,Ingression Study Group,0.78,
AI-0002,Accelerated Structure 920,IE-0258,structure,moderate,613.5,0.709,864.8,True,stage_skipping,True,0.76,Archive vicinity,Capital,216.4,very_thin,observer_catalysis,False,False,True,true_free_lunch,Location memory persists across manifestations,896,M. Strand,922,M. Strand,0.59,
AI-0003,Accelerated Structure 924,IE-0005,structure,complex,4053.0,10.183,398.0,True,compressed_progression,False,0.53,Sector NE-4,Dens boundary,43.2,very_thin,observer_catalysis,False,True,False,misclassified,Collective access enables shortcuts,925,Capital Survey Team,920,C. Vells,0.88,
AI-0004,Accelerated Creature 928,IE-0068,creature,moderate,623.1,1.922,324.3,True,zero_onset,False,0.45,Eastern markets,Capital,211.8,very_thin,form_resonance,True,False,True,true_free_lunch,Observer attention reduces barrier,908,S. Moll,935,E. Pol,0.83,
AI-0005,Accelerated Creature 924,IE-0153,creature,simple,52.4,0.057,922.9,True,parallel_progression,False,0.5,Educational district,Densmok,255.5,very_thin,prior_manifestation,True,True,False,true_free_lunch,Location memory persists across manifestations,924,Ingression Study Group,928,C. Vells,0.59,
AI-0006,Accelerated Structure 915,IE-0333,structure,simple,114.5,0.587,194.9,True,zero_onset,True,0.84,Northern workings,Yeller Quarry,117.5,very_thin,prior_manifestation,False,True,False,deferred_cost,Location memory persists across manifestations,897,S. Moll,924,A. Vells,0.86,
AI-0007,Accelerated Relationship 916,IE-0304,relationship,simple,43.0,0.049,879.6,True,instant_completion,True,0.75,Northern approach,Tower of Mirado,248.2,very_thin,form_resonance,False,True,False,true_free_lunch,Collective access enables shortcuts,921,Unknown,928,S. Moll,0.86,
AI-0008,Accelerated Structure 918,,structure,moderate,853.8,2.048,416.9,True,zero_onset,True,0.71,Suburban zone,Densmok,271.6,very_thin,prior_manifestation,False,False,True,deferred_cost,Thin barriers allow instantaneous ingression,893,Ingression Study Group,927,Ingression Study Group,0.77,
AI-0009,Accelerated Pattern 922,,pattern,simple,85.5,0.149,575.3,True,instant_completion,True,0.92,Northern monastery,Northo,301.9,very_thin,observer_catalysis,False,False,False,deferred_cost,Forms available without evolutionary preparation,907,Capital Survey Team,919,M. Strand,0.58,
AI-0010,Accelerated Phenomenon 914,IE-0141,phenomenon,highly_complex,47910.5,168.399,284.5,True,compressed_progression,True,0.88,Sector SW-6,Dens boundary,40.9,very_thin,prior_manifestation,False,True,False,hidden_preparation,Location memory persists across manifestations,916,Ingression Study Group,930,A. Prebel,0.67,
AI-0011,Accelerated Creature 926,IE-0147,creature,simple,58.1,0.185,313.5,True,compressed_progression,False,0.35,Western approach,Dens boundary,27.1,very_thin,collective_access,True,False,False,true_free_lunch,Thin barriers allow instantaneous ingression,929,Ingression Study Group,934,M. Strand,0.75,
AI-0012,Accelerated Behavior 920,IE-0364,behavior,moderate,648.2,1.073,604.0,True,compressed_progression,True,0.9,Capital outskirts,Capital,206.4,very_thin,observer_catalysis,False,False,False,deferred_cost,Thin barriers allow instantaneous ingression,909,Field Team,920,C. Vells,0.84,
