session_id,user_id,start_time,end_time,duration_minutes,environment,activity_type,comfort_level,presence_score,interaction_count,locomotion_type,notes
VRS-001,U-001,2023-01-15 09:00:00,2023-01-15 09:45:00,45,capital_archive,exploration,high,0.85,23,teleport,First session archive exploration
VRS-002,U-001,2023-01-16 14:00:00,2023-01-16 14:30:00,30,dens_perimeter,observation,moderate,0.72,15,walk,Boundary observation session
VRS-003,U-002,2023-01-17 10:00:00,2023-01-17 11:00:00,60,yeller_quarry,research,high,0.88,45,teleport,Extended quarry research
VRS-004,U-002,2023-01-18 15:30:00,2023-01-18 16:00:00,30,sw_settlement,historical,moderate,0.75,18,walk,Pre-collapse settlement tour
VRS-005,U-003,2023-01-19 09:30:00,2023-01-19 10:15:00,45,morphospace,visualization,high,0.90,32,fly,Form Library visualization
VRS-006,U-003,2023-01-20 11:00:00,2023-01-20 11:45:00,45,boundary_simulation,training,low,0.65,28,walk,Surveyor training simulation
VRS-007,U-004,2023-01-21 14:00:00,2023-01-21 14:20:00,20,capital_archive,research,high,0.82,12,teleport,Quick archive lookup
VRS-008,U-004,2023-01-22 10:00:00,2023-01-22 11:30:00,90,dens_interior,exploration,low,0.55,67,fly,Dens interior exploration
VRS-009,U-005,2023-01-23 09:00:00,2023-01-23 09:30:00,30,sw_settlement,memorial,high,0.78,8,walk,Memorial visit
VRS-010,U-005,2023-01-24 15:00:00,2023-01-24 15:45:00,45,yeller_quarry,observation,moderate,0.80,25,teleport,Yeller observation attempt
VRS-011,U-001,2023-01-25 10:00:00,2023-01-25 10:30:00,30,morphospace,training,high,0.87,20,fly,Morphospace navigation training
VRS-012,U-002,2023-01-26 14:30:00,2023-01-26 15:00:00,30,boundary_simulation,research,moderate,0.70,22,walk,Boundary behavior research
VRS-013,U-003,2023-01-27 11:00:00,2023-01-27 12:00:00,60,capital_archive,exploration,high,0.85,38,teleport,Deep archive exploration
VRS-014,U-004,2023-01-28 09:30:00,2023-01-28 10:00:00,30,sw_settlement,historical,moderate,0.76,15,walk,Collapse timeline tour
VRS-015,U-005,2023-01-29 15:00:00,2023-01-29 15:30:00,30,dens_perimeter,observation,low,0.60,18,walk,Perimeter documentation
VRS-016,U-001,2023-02-01 10:00:00,2023-02-01 11:00:00,60,morphospace,visualization,high,0.92,42,fly,Extended morphospace session
VRS-017,U-002,2023-02-02 14:00:00,2023-02-02 14:45:00,45,yeller_quarry,research,moderate,0.78,30,teleport,Quarry creature study
VRS-018,U-003,2023-02-03 09:00:00,2023-02-03 09:30:00,30,capital_archive,research,high,0.84,16,teleport,Document retrieval
VRS-019,U-004,2023-02-04 11:00:00,2023-02-04 11:30:00,30,boundary_simulation,training,moderate,0.68,24,walk,Crisis response training
VRS-020,U-005,2023-02-05 15:30:00,2023-02-05 16:00:00,30,sw_settlement,memorial,high,0.80,10,walk,Return memorial visit
VRS-021,U-001,2023-02-06 10:00:00,2023-02-06 10:45:00,45,dens_interior,research,low,0.52,35,fly,Dens phenomenon study
VRS-022,U-002,2023-02-07 14:00:00,2023-02-07 15:00:00,60,morphospace,exploration,high,0.89,48,fly,Basin exploration
VRS-023,U-003,2023-02-08 09:30:00,2023-02-08 10:00:00,30,capital_archive,exploration,high,0.86,20,teleport,Senate records review
VRS-024,U-004,2023-02-09 11:00:00,2023-02-09 11:45:00,45,yeller_quarry,observation,moderate,0.75,28,teleport,Creature behavior study
VRS-025,U-005,2023-02-10 15:00:00,2023-02-10 15:30:00,30,boundary_simulation,research,moderate,0.72,22,walk,Prebel methodology test
VRS-026,U-001,2023-02-11 10:00:00,2023-02-11 10:30:00,30,sw_settlement,historical,high,0.82,14,walk,Refugee camp tour
VRS-027,U-002,2023-02-12 14:30:00,2023-02-12 15:00:00,30,dens_perimeter,observation,low,0.58,20,walk,Boundary monitoring
VRS-028,U-003,2023-02-13 09:00:00,2023-02-13 10:00:00,60,morphospace,training,high,0.91,40,fly,Advanced navigation
VRS-029,U-004,2023-02-14 11:00:00,2023-02-14 11:30:00,30,capital_archive,research,high,0.85,18,teleport,Policy document review
VRS-030,U-005,2023-02-15 15:00:00,2023-02-15 15:45:00,45,yeller_quarry,exploration,moderate,0.77,32,teleport,Quarry mapping
