edit_id,edit_name,target_type,target_id,target_pattern,edit_method,edit_goal,edit_year,edit_duration_days,prime_timing_used,isolation_level,exposure_type,generations_tracked,success,success_degree,outcome,persistence_of_edit,side_effects,ethical_concerns,koss_series_reference,koss_experiment_id,editor,institution,documentation_quality,confidence,description,lessons_learned,notes
ME-0001,Koss A-001 Follow-up,form_memory,TGT-228,hunting behavior,isolation,stabilize,930,271,True,complete,,9,False,0.368,pattern_migration,immediate_reversion,none,consent_issues,series_a,A-001,R. Voss,,exhaustive,0.68,Attempt to stabilize form_memory using isolation method.,,
ME-0002,Koss A-004 Follow-up,form_memory,TGT-907,ridge-back feature,isolation,stabilize,923,269,False,extreme,,3,False,0.023,pattern_damage,immediate_reversion,minor_instability,collective_disruption,series_a,A-004,R. Voss,Independent,fragmentary,0.69,Attempt to stabilize form_memory using isolation method.,,
ME-0003,Koss A-007 Follow-up,form_memory,TGT-854,collective identity,isolation,stabilize,918,305,False,complete,,8,False,0.004,unintended_change,fading,unexpected_strengthening,none,series_a,A-007,Independent Observer,Quarry Guild,adequate,0.57,Attempt to stabilize form_memory using isolation method.,,
ME-0004,Koss B-016 Follow-up,form_memory,TGT-285,collective identity,exposure,strengthen,908,441,True,,similar forms,,True,0.913,goal_achieved,stable,none,none,series_b,B-016,T. Vells,Archive Research Division,thorough,0.58,Attempt to strengthen form_memory using exposure method.,,
ME-0005,Koss B-024 Follow-up,ghost_pattern,,location memory,exposure,erase,922,455,True,,similar forms,,False,0.059,no_effect,temporary,minor_instability,none,series_b,B-024,Quarry Guild Records,,exhaustive,0.94,Attempt to erase ghost_pattern using exposure method.,,
ME-0006,Koss B-032 Follow-up,form_memory,,form expression,exposure,combine,913,59,True,,models,,True,0.912,goal_achieved,permanent,none,none,series_b,B-032,Boundary Commission,,sparse,0.76,Attempt to combine form_memory using exposure method.,,
ME-0007,Koss C-001 Follow-up,ghost_pattern,,hunting behavior,erasure,erase,907,16,False,,,,False,0.334,cascade_effect,temporary,"ghost_formation,instability",none,series_c,C-001,T. Vells,Archive Research Division,fragmentary,0.86,Attempt to erase ghost_pattern using erasure method.,,
ME-0008,Koss C-003 Follow-up,form_memory,TGT-659,ridge-back feature,erasure,erase,929,37,False,,,,False,0.074,pattern_migration,immediate_reversion,none,creature_harm,series_c,C-003,R. Voss,Archive Research Division,exhaustive,0.91,Attempt to erase form_memory using erasure method.,,
ME-0009,Koss C-005 Follow-up,form_memory,,location memory,erasure,erase,920,102,False,,,,False,0.311,pattern_damage,fading,none,creature_harm,series_c,C-005,Archive Survey Team,Independent,sparse,0.88,Attempt to erase form_memory using erasure method.,,
ME-0010,Transfer Trial 37,ghost_pattern,,ridge-back feature,transfer,weaken,919,114,False,,,,False,0.225,pattern_migration,immediate_reversion,minor_instability,none,series_c,,C. Vells,Capital Taxonomy Bureau,sparse,0.84,Attempt to weaken ghost_pattern using transfer method.,,
ME-0011,Isolation Trial 11,collective_memory,TGT-981,ridge-back feature,isolation,weaken,907,459,False,extreme,,2,False,0.242,unintended_change,immediate_reversion,"ghost_formation,instability",none,,,Quarry Guild Records,Independent,adequate,0.79,Attempt to weaken collective_memory using isolation method.,,
ME-0012,Transfer Trial 4,ghost_pattern,,location memory,transfer,combine,913,106,False,,,,False,0.258,unintended_change,immediate_reversion,"ghost_formation,instability",none,combined,,C. Vells,Archive Research Division,adequate,0.78,Attempt to combine ghost_pattern using transfer method.,,
ME-0013,Amplification Trial 2,behavioral_echo,TGT-472,collective identity,amplification,strengthen,929,446,False,,,,False,0.121,no_effect,immediate_reversion,,none,,,S. Moll,Independent,exhaustive,0.75,Attempt to strengthen behavioral_echo using amplification method.,,
ME-0014,Exposure Trial 37,ghost_pattern,,location memory,exposure,strengthen,930,417,True,,living specimens,,True,0.909,goal_achieved,stable,none,none,,,C. Vells,Capital Taxonomy Bureau,adequate,0.62,Attempt to strengthen ghost_pattern using exposure method.,,
ME-0015,Isolation Trial 38,ghost_pattern,,hunting behavior,isolation,weaken,913,35,False,partial,,3,True,0.683,partial_success,stable,none,none,,,Independent Observer,Quarry Guild,adequate,0.88,Attempt to weaken ghost_pattern using isolation method.,,
ME-0016,Overlay Trial 22,collective_memory,,form expression,overlay,transfer,911,356,False,,,,False,0.013,pattern_migration,fading,,none,combined,,Archive Survey Team,,thorough,0.84,Attempt to transfer collective_memory using overlay method.,,
ME-0017,Dampening Trial 16,behavioral_echo,TGT-864,behavioral routine,dampening,weaken,919,331,False,,,,True,0.925,goal_achieved,permanent,none,none,series_b,,Archive Survey Team,Capital Taxonomy Bureau,thorough,0.87,Attempt to weaken behavioral_echo using dampening method.,,
ME-0018,Dampening Trial 6,ghost_pattern,,ridge-back feature,dampening,weaken,905,74,False,,,,False,0.239,pattern_damage,fading,,none,,,Archive Survey Team,Archive Research Division,sparse,0.59,Attempt to weaken ghost_pattern using dampening method.,,
ME-0019,Dampening Trial 38,collective_memory,,collective identity,dampening,weaken,912,319,True,,,,False,0.154,cascade_effect,immediate_reversion,nearby_pattern_affected,none,,,M. Tall,,thorough,0.58,Attempt to weaken collective_memory using dampening method.,,
ME-0020,Overlay Trial 7,behavioral_echo,TGT-254,behavioral routine,overlay,transfer,929,261,True,,,,True,0.978,goal_achieved,stable,none,none,,,Quarry Guild Records,Quarry Guild,sparse,0.55,Attempt to transfer behavioral_echo using overlay method.,,
ME-0021,Isolation Trial 40,behavioral_echo,TGT-240,location memory,isolation,stabilize,903,98,False,partial,,2,False,0.002,cascade_effect,temporary,unexpected_strengthening,none,,,M. Tall,Quarry Guild,thorough,0.89,Attempt to stabilize behavioral_echo using isolation method.,,
ME-0022,Amplification Trial 7,collective_memory,TGT-782,ridge-back feature,amplification,strengthen,918,436,False,,,,True,0.833,goal_achieved,permanent,none,none,,,R. Voss,Archive Research Division,fragmentary,0.71,Attempt to strengthen collective_memory using amplification method.,,
ME-0023,Erasure Trial 24,collective_memory,,form expression,erasure,erase,927,57,True,,,,True,0.818,goal_achieved,stable,none,collective_disruption,novel,,C. Vells,Independent,exhaustive,0.64,Attempt to erase collective_memory using erasure method.,,
ME-0024,Surgical Trial 3,behavioral_echo,,form expression,surgical,separate,915,182,False,,,,False,0.079,unintended_change,temporary,"ghost_formation,instability",none,,,M. Tall,Quarry Guild,fragmentary,0.92,Attempt to separate behavioral_echo using surgical method.,,
ME-0025,Collective_Manipulation Trial 43,collective_memory,,form expression,collective_manipulation,combine,907,499,False,,,,False,0.133,cascade_effect,immediate_reversion,"ghost_formation,instability",none,novel,,Independent Observer,Archive Research Division,sparse,0.56,Attempt to combine collective_memory using collective_manipulation method.,,
ME-0026,Isolation Trial 48,spatial_imprint,,behavioral routine,isolation,stabilize,929,164,False,extreme,,6,False,0.312,pattern_damage,immediate_reversion,none,none,,,M. Tall,,sparse,0.58,Attempt to stabilize spatial_imprint using isolation method.,,
ME-0027,Amplification Trial 1,form_memory,,location memory,amplification,strengthen,916,89,False,,,,False,0.374,pattern_migration,temporary,none,none,series_b,,K. Strand,Archive Research Division,thorough,0.77,Attempt to strengthen form_memory using amplification method.,,
ME-0028,Isolation Trial 6,ghost_pattern,,ridge-back feature,isolation,weaken,921,360,False,extreme,,7,True,0.828,goal_achieved,permanent,none,none,series_b,,Quarry Guild Records,Independent,sparse,0.52,Attempt to weaken ghost_pattern using isolation method.,,
ME-0029,Isolation Trial 17,collective_memory,TGT-337,form expression,isolation,stabilize,904,26,False,extreme,,2,True,0.791,partial_success,fading,none,creature_harm,,,C. Vells,Independent,thorough,0.67,Attempt to stabilize collective_memory using isolation method.,,
