form_id,form_name,fl_catalog_id,coord_x,coord_y,coord_z,curvature_local,basin_id,basin_position,stability_score,perturbation_resistance,form_category,prime_association,domain,first_measured,measurement_method,confidence,surveyor,description,notes
MS-0001,The Quintic Cycle,FL-001,0.45,0.32,0.18,0.947,BA-001,center,0.92,0.82,major_attractor,5,behavior,918,direct_triangulation,0.9,C. Vells,Five-phase behavioral pattern of extraordinary stability. The defining attractor of Basin BA-001.,
MS-0002,The Binary Division,FL-002,-0.52,-0.41,0.08,0.78,BA-002,center,0.98,0.88,major_attractor,2,structure,918,direct_triangulation,0.92,C. Vells,Universal bifurcation form. The deepest and most stable basin.,
MS-0003,The Breathing Mode,FL-003,-0.22,0.48,-0.29,0.998,BA-015,outer,0.75,0.7,minor_attractor,,phenomenon,918,direct_triangulation,0.82,C. Vells,Rhythmic oscillation observed in boundary regions. The Form itself breathes through morphospace.,
MS-0004,The Tension,FL-004,0.55,0.51,0.25,0.814,BA-003,center,0.9,0.84,major_attractor,11,behavior,918,direct_triangulation,0.95,C. Vells,Highly stable form characterized by predictable interval timing. Prime-11 associated.,
MS-0005,The Triad Form,FL-005,-0.15,0.62,0.35,0.879,BA-004,center,0.88,0.81,major_attractor,3,behavior,918,direct_triangulation,0.87,C. Vells,Three-phase cyclic pattern. Strong prime-3 association.,
MS-0006,The Septenary Rhythm,FL-006,0.08,-0.55,0.42,1.013,BA-006,center,0.85,0.74,major_attractor,7,behavior,918,direct_triangulation,0.94,C. Vells,Seven-day cycling pattern observed in multiple species.,
MS-0008,Minor Attractor VIII,FL-008,0.38,0.4,0.21,0.449,BA-001,outer,0.72,0.6,minor_attractor,,creature,918,direct_triangulation,0.85,C. Vells,Stable resting form within the outer Quintic Basin.,
MS-0014,Minor Attractor XIV,FL-014,0.32,0.58,0.15,-1.035,BA-003,outer,0.68,0.62,minor_attractor,,creature,918,direct_triangulation,0.82,C. Vells,Transitional form on the slopes of the Tension Basin.,
MS-0018,Transitional XVIII,FL-018,0.41,0.52,0.22,-0.337,BA-003,ridge_adjacent,0.45,0.4,transitional,,creature,918,direct_triangulation,0.88,C. Vells,Ridge-adjacent form. Systems pass through but do not rest.,
MS-0022,Dens-Adjacent XXII,FL-022,0.12,0.71,0.45,-2.0,BA-015,outer,0.35,0.25,unstable,,phenomenon,918,direct_triangulation,0.9,C. Vells,Unstable form in Dens-correlated region. High curvature.,
