encoding_id,encoded_value,encoding_type,lambda_notation,mund_notation,verification_expression,year_discovered,discovered_by,notes
CE-001,0,numeral,λf.λx.x,passage(f).passage(x).x,((Zero f) x) = x,738,Kelleth Mund,Zero applications of f - the base numeral
CE-002,1,numeral,λf.λx.(f x),passage(f).passage(x).(f x),((One f) x) = (f x),738,Kelleth Mund,One application of f to x
CE-003,2,numeral,λf.λx.(f (f x)),passage(f).passage(x).(f (f x)),((Two f) x) = (f (f x)),738,Kelleth Mund,Two applications of f to x
CE-004,3,numeral,λf.λx.(f (f (f x))),passage(f).passage(x).(f (f (f x))),((Three f) x) = (f (f (f x))),738,Kelleth Mund,Three applications of f
CE-005,4,numeral,λf.λx.(f (f (f (f x)))),passage(f).passage(x).(f (f (f (f x)))),((Four f) x) = (f (f (f (f x)))),739,Kelleth Mund,Four applications of f
CE-006,5,numeral,λf.λx.(f (f (f (f (f x))))),passage(f).passage(x).(f (f (f (f (f x))))),((Five f) x) = (f (f (f (f (f x))))),739,Kelleth Mund,Five applications of f
CE-007,6,numeral,λf.λx.(f (f (f (f (f (f x)))))),passage(f).passage(x).(f (f (f (f (f (f x)))))),((Six f) x) uses 6 applications,739,Kelleth Mund,Six applications of f
CE-008,7,numeral,λf.λx.(f (f (f (f (f (f (f x))))))),passage(f).passage(x).(f (f (f (f (f (f (f x))))))),((Seven f) x) uses 7 applications,739,Kelleth Mund,Seven applications of f
CE-009,8,numeral,λf.λx.(f (f (f (f (f (f (f (f x)))))))),passage(f).passage(x).(f (f (f (f (f (f (f (f x)))))))),((Eight f) x) uses 8 applications,739,Kelleth Mund,Eight applications of f
CE-010,9,numeral,λf.λx.(f (f (f (f (f (f (f (f (f x))))))))),passage(f).passage(x).(f (f (f (f (f (f (f (f (f x))))))))),((Nine f) x) uses 9 applications,739,Kelleth Mund,Nine applications of f
CE-011,10,numeral,λf.λx.(f (f (f (f (f (f (f (f (f (f x)))))))))),passage(f).passage(x).(f (f (f (f (f (f (f (f (f (f x)))))))))),((Ten f) x) uses 10 applications,740,Kelleth Mund,Ten applications of f
CE-012,TRUE,boolean,λx.λy.x,passage(x).passage(y).x,((TRUE a) b) = a,738,Kelleth Mund,Returns first argument - truth
CE-013,FALSE,boolean,λx.λy.y,passage(x).passage(y).y,((FALSE a) b) = b,738,Kelleth Mund,Returns second argument - falsity
CE-014,AND,boolean,λp.λq.((p q) p),passage(p).passage(q).((p q) p),((AND TRUE) FALSE) = FALSE,741,Kelleth Mund,Logical conjunction
CE-015,OR,boolean,λp.λq.((p p) q),passage(p).passage(q).((p p) q),((OR FALSE) TRUE) = TRUE,741,Kelleth Mund,Logical disjunction
CE-016,NOT,boolean,λp.λa.λb.((p b) a),passage(p).passage(a).passage(b).((p b) a),(NOT TRUE) = FALSE,741,Kelleth Mund,Logical negation - swaps arguments
CE-017,XOR,boolean,λp.λq.((p (NOT q)) q),passage(p).passage(q).((p (NOT q)) q),((XOR TRUE) TRUE) = FALSE,742,Kelleth Mund,Exclusive or
CE-018,NAND,boolean,λp.λq.(NOT ((AND p) q)),passage(p).passage(q).(NOT ((AND p) q)),((NAND TRUE) TRUE) = FALSE,742,Kelleth Mund,Not and - universal gate
