source_id,w1_concept,w1_scholar,treatise_reference,classification_type,structural_elements,w2_manifestation,transformation_type,fidelity_notes,dens_processing_evidence
PLW-001,TAME Hierarchy,Pell Anster,The Hierarchy of Minds (levin-platonic-seeds),Mind classification,"Triggered/Autonomous/Modular/Emergent levels; I-C-∫ formula",Little Porn Base Nomenclature (LPN),"Hierarchy preserved, domain shifted","TAME's four levels → LPN's piece complexity levels. Classification framework preserved; subject matter transformed from minds to puzzle pieces."
PLW-002,Integration-Coordination-Integration formula,Pell Anster,The Hierarchy of Minds (levin-platonic-seeds),Mathematical formula,I-C-∫ (Integration × Coordination × Integration over time),Tab/groove notation (TTTT TGTG etc.),Formula abstracted to notation,"Anster's mathematical integration → systematic edge encoding. The integration principle becomes physical interlocking."
PLW-003,Creature Grammar,Pollus Brent,The Pattern Book (bioinformatics-seeds),Behavioral vocabulary,"Behavioral 'words' compose 'sentences'; prime-number cycles (2 3 5 7 11)",104 words for 100 pieces,Grammar preserved,"Brent's creature vocabulary → puzzle vocabulary. The principle of building complex from simple units preserved."
PLW-004,Prime-number behavior cycles,Pollus Brent,The Pattern Book (bioinformatics-seeds),Temporal patterns,Creatures exhibit 2/3/5/7/11 behavioral cycles,Nine Divisions piece categories,Number patterns preserved,"Prime organization → categorical organization. Nine may relate to 3×3 prime structure. Dens amplified the systematicity."
PLW-005,Folk prediction rules,Pollus Brent,The Pattern Book (bioinformatics-seeds),Practical heuristics,"61% accuracy folk rules; Brent added 'behavioral verbs'",CQS (Cocksucker Quine Symbolism),Folk system preserved,"Folk rules → rival notation system. CQS represents the less systematic but functional approach."
PLW-006,Quarry Seasonal Calendar,Old Harnis,Quarry Seasonal Calendar (bioinformatics-seeds),Temporal organization,Creature activity by season,Puzzle completion seasons,Calendar structure preserved,"Seasonal organization → optimal solving times. Dens may have encoded temporal patterns into puzzle work."
PLW-007,Boundary dynamics,Pemlik Tross,On Boundaries (levin-aragon-synthesis/02),Edge classification,"Tension fields; positive/negative edges; constellation boundaries",Edge notation (tabs/grooves as tensions),Tension concept preserved,"Tross's positive/negative boundaries → tabs/grooves as complementary tensions. High fidelity transformation."
PLW-008,Nearest/farthest neighbors,Pemlik Tross,Constellation Method (levin-aragon-synthesis/02),Spatial relationships,KNN/KFN graph relationships,Piece adjacency rules,Relationship structure preserved,"Neighbor relationships → which pieces can connect. Graph structure becomes puzzle assembly logic."
PLW-009,Form Library access,Erris Pol,Form Library Hypothesis (levin-platonic-seeds),Form retrieval,"Bodies 'read' from library of possible forms",Piece-for-piece completion metaphor,Metaphor preserved,"Pol's 'reading forms' → Little Porn's 'piece for a piece' completion transformation. Bodies reading forms → puzzles reading their solved state."
PLW-010,Morphospace navigation,Erris Pol,Form Library Hypothesis (levin-platonic-seeds),Possibility space,Space of possible forms that can be accessed,Puzzle solution space,Space concept preserved,"Abstract morphospace → concrete solution space. The Dens literalized the metaphor."
PLW-011,Stability-plasticity dilemma,Vornis Keth,Stability and Plasticity (spatial-philosophy/005),Learning tradeoff,Balance between maintaining patterns and learning new ones,Solving vs. unsolved tension,Dilemma preserved,"Keth's cognitive tradeoff → tension between solved sections and unsolved regions. Same dynamic different domain."
PLW-012,Vigilance parameters,Vornis Keth,Stability and Plasticity (spatial-philosophy/005),Threshold setting,Sensitivity to novelty vs. pattern matching,Piece matching strictness,Parameter concept preserved,"Vigilance → how strictly pieces must match expectations. Threshold concept preserved in puzzle assembly."
PLW-013,Basin topology,Vornis Keth,On Basin Topology (spatial-philosophy/001),Attractor landscapes,Cognitive states organized in attractor basins,Puzzle completion basins,Topology preserved,"Each puzzle has a 'completion basin' that pulls solver toward solution. Keth's cognitive topology → mechanical assembly topology."
PLW-014,Taxonomy of Failure,Kella Vorn,Taxonomy of Failure (levin-aragon-synthesis/08),Failure classification,Six domains of system breakdown,Piece mismatch categories,Classification preserved,"Vorn's failure modes → ways pieces can fail to connect. Systematic approach to non-fitting."
PLW-015,Ingression mechanics,Archon Vells,The Ingression Problem (levin-platonic-seeds),Manifestation theory,How potential forms become actual,Piece placement as ingression,Mechanic preserved,"Potential → actual transformation. Placing a piece is ingression from solution-space to puzzle-space."
PLW-016,Observer access theory,Tobin Creel,Observer's Computation (levin-platonic-seeds),Polycomputing,Same substrate computes differently for different observers,Puzzle meaning varies by solver,Observer dependence preserved,"Creel's observer-dependent computation → puzzle interpretation varies by solver. Same physical pieces different experienced puzzles."
PLW-017,Navigation resonance,Rellen Voss,Attractor Navigation (levin-aragon-synthesis/03),Gradient following,Following resonance signals to destinations,Piece-finding intuition,Navigation preserved,"Voss's destination-finding → how solvers find correct pieces. The 'click' of correct placement as resonance signal."
PLW-018,Ghost persistence,Sareth Moll,Persistence of Ghosts (levin-aragon-synthesis/04),Memory decay,Ghosts fade by exponential curves unless reactivated,Puzzle memory during breaks,Persistence preserved,"Moll's memory decay → how puzzle progress fades if abandoned. Reactivation through resumed solving."
PLW-019,Three-Compassed Maps,Council of Cartographers,Guild protocols (bioinformatics-seeds),Directional limitation,No East on W1 maps; three directions only,Three-way piece connections,Structural constraint preserved,"W1 directional limitation → maximum three connections per internal piece. Structural constraint encoded in puzzle physics."
PLW-020,Principle of Non-Accumulation,Prebel/Guild,Dens Mapping Principles (bioinformatics-seeds),Temporal validity,Maps valid only at moment of completion,Puzzle states valid only at solving moment,Principle preserved,"Non-accumulation → puzzle solution is momentary achievement. Can be undone; must be remade."
