event_id,event_name,world,event_type,year_start,year_end,location,key_participants,outcome,casualties,related_expeditions,related_manuscripts,significance,notes
EVT-001,First Expedition to Mirado,W1,expedition,unknown,unknown,Tower of Mirado,Nameless savage woman,unknown,unknown,None,None,historical,"Origin story of Mirado. Led by nameless savage woman with 6-33 men."
EVT-002,Building of Mirado,W1,construction,unknown,unknown,Tower of Mirado,Unknown builders,completed,unknown,None,MS-0147,"foundation,historical","Tower built from Yeller Quarry rock. Jorkin Mast legendary builder."
EVT-003,The Siege of Mirado,W1,military,859,ongoing,Mirado Desert,"Colonel Viragu,Five Columns,Tower Council",ongoing,47+,"EXP-001,EXP-003,EXP-020","MS-0061,MS-0062,MS-0063,MS-0065","major,military","Central military event. Colonel leads assault on Tower of Mirado."
EVT-004,First Siege March,W1,military,859,859,Mirado Desert,"Colonel Viragu,Fyncho Delt",established_camp,47,EXP-001,"MS-0061,MS-0062",military,"Initial march. Reinforcements failed to materialize."
EVT-005,Second Mirado Reinforcement,W1,military,867,867,Mirado Desert,Captain Threll,failed,23,EXP-003,MS-0063,military,"Attempted supply and reinforcement. Ambushed in desert approach."
EVT-006,The Colonel's Final Push,W1,military,911,ongoing,Mirado Desert,Colonel Viragu,ongoing,12,EXP-020,MS-0065,military,"Renewed assault after decades of siege."
EVT-007,The Scavenger's Survey,W1,expedition,847,847,Yeller Quarry,Venn Horak,successful,0,EXP-002,MS-0085,scholarly,"First documented scholarly encounter with Yeller."
EVT-008,Western Quarry Survey,W1,expedition,871,871,Yeller Quarry,"Hesta Vorn,Wen Torval",partial_success,4,EXP-004,"MS-0081,MS-0025",survey,"First systematic survey of western Quarry regions."
EVT-009,Fifth Expedition Disaster,W1,expedition,876,876,Yeller Quarry,"Wen Torval,Jara Torval",disaster,18,EXP-005,"MS-0082,MS-0083","disaster,pivotal","Catastrophic stakdur encounter. Wen Torval killed. Changed protocols."
EVT-010,Ninth Expedition Disaster,W1,expedition,883,883,Yeller Quarry,"Rella Tarn,Pollux Dann,Pell Sontar",disaster,27,EXP-009,"MS-0028,MS-0051","disaster,major","Deep penetration into lower marshes. Massive casualties."
