initialization_id,experiment_name,year,experimenter,seed,initialization_method,network_depth,network_width,task_type,modulus_p,train_size,test_size,weight_scale,bias_init,initial_train_loss,initial_test_loss,epochs_to_memorization,epochs_to_grokking,final_train_acc,final_test_acc,grokked,luck_classification,notes
INIT-001,Systematic Initialization Study Alpha,923,Tobben Rast,42,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.574,4.577,312,8745,1.0,0.997,True,standard,"Baseline initialization; standard grokking trajectory"
INIT-002,Systematic Initialization Study Alpha,923,Tobben Rast,137,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.571,4.573,298,7892,1.0,0.998,True,fortunate,"Slightly faster grokking; favorable weight alignment"
INIT-003,Systematic Initialization Study Alpha,923,Tobben Rast,256,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.578,4.581,345,12340,1.0,0.993,True,unfortunate,"Slow grokking; poor initial alignment"
INIT-004,Systematic Initialization Study Alpha,923,Tobben Rast,777,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.569,4.572,287,6543,1.0,0.999,True,lucky_ticket,"Very fast grokking; strong Fourier components from start"
INIT-005,Systematic Initialization Study Alpha,923,Tobben Rast,999,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.583,4.589,402,50000,1.0,0.45,False,dead_end,"Failed to grok within training budget"
INIT-006,Systematic Initialization Study Beta,923,Tobben Rast,42,kaiming_normal,1,128,modular_addition,97,1200,8509,1.0,zeros,4.562,4.565,278,7123,1.0,0.998,True,standard,"Kaiming init slightly faster"
INIT-007,Systematic Initialization Study Beta,923,Tobben Rast,137,kaiming_normal,1,128,modular_addition,97,1200,8509,1.0,zeros,4.559,4.561,264,6234,1.0,0.999,True,fortunate,"Strong initial structure"
INIT-008,Systematic Initialization Study Beta,923,Tobben Rast,256,kaiming_normal,1,128,modular_addition,97,1200,8509,1.0,zeros,4.567,4.572,312,9876,1.0,0.995,True,standard,"Moderate trajectory"
INIT-009,Systematic Initialization Study Beta,923,Tobben Rast,777,kaiming_normal,1,128,modular_addition,97,1200,8509,1.0,zeros,4.555,4.558,245,5123,1.0,0.999,True,lucky_ticket,"Extremely fast grokking"
INIT-010,Systematic Initialization Study Beta,923,Tobben Rast,999,kaiming_normal,1,128,modular_addition,97,1200,8509,1.0,zeros,4.571,4.578,367,45000,1.0,0.52,False,dead_end,"Failed to grok"
INIT-011,Scale Variation Study,924,Tobben Rast,42,xavier_uniform,1,128,modular_addition,97,1200,8509,0.5,zeros,4.612,4.618,425,12456,1.0,0.992,True,unfortunate,"Small scale slows training"
INIT-012,Scale Variation Study,924,Tobben Rast,42,xavier_uniform,1,128,modular_addition,97,1200,8509,2.0,zeros,4.523,4.534,198,5678,1.0,0.998,True,fortunate,"Larger scale speeds training"
INIT-013,Scale Variation Study,924,Tobben Rast,42,xavier_uniform,1,128,modular_addition,97,1200,8509,4.0,zeros,4.489,4.567,145,8234,1.0,0.994,True,standard,"Very large scale; fast mem but average grok"
INIT-014,Width Variation Study,924,Tobben Rast,42,xavier_uniform,1,64,modular_addition,97,1200,8509,1.0,zeros,4.589,4.594,402,15678,1.0,0.987,True,unfortunate,"Narrow network struggles"
INIT-015,Width Variation Study,924,Tobben Rast,42,xavier_uniform,1,256,modular_addition,97,1200,8509,1.0,zeros,4.561,4.564,234,4567,1.0,0.999,True,fortunate,"Wide network learns faster"
INIT-016,Width Variation Study,924,Tobben Rast,42,xavier_uniform,1,512,modular_addition,97,1200,8509,1.0,zeros,4.548,4.551,187,3456,1.0,0.999,True,lucky_ticket,"Very wide; lottery ticket effect visible"
INIT-017,Depth Study,924,Tobben Rast,42,xavier_uniform,2,128,modular_addition,97,1200,8509,1.0,zeros,4.587,4.592,356,11234,1.0,0.991,True,standard,"Depth adds complexity"
INIT-018,Depth Study,924,Tobben Rast,42,xavier_uniform,3,128,modular_addition,97,1200,8509,1.0,zeros,4.601,4.612,423,18567,1.0,0.978,True,unfortunate,"Deep networks harder to train"
INIT-019,The Lottery Experiment,924,Tobben Rast,1,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.576,4.579,318,9234,1.0,0.996,True,standard,"Lottery experiment baseline"
INIT-020,The Lottery Experiment,924,Tobben Rast,2,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.573,4.576,301,8123,1.0,0.997,True,standard,"Slight variation"
INIT-021,The Lottery Experiment,924,Tobben Rast,3,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.581,4.585,342,10456,1.0,0.994,True,standard,"Slower"
INIT-022,The Lottery Experiment,924,Tobben Rast,4,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.566,4.569,267,5987,1.0,0.999,True,fortunate,"Faster than average"
INIT-023,The Lottery Experiment,924,Tobben Rast,5,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.558,4.561,243,4234,1.0,0.999,True,lucky_ticket,"True winning ticket"
INIT-024,The Lottery Experiment,924,Tobben Rast,6,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.579,4.582,329,9678,1.0,0.995,True,standard,"Average"
INIT-025,The Lottery Experiment,924,Tobben Rast,7,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.584,4.589,378,14567,1.0,0.988,True,unfortunate,"Slow"
INIT-026,The Lottery Experiment,924,Tobben Rast,8,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.571,4.574,295,7456,1.0,0.998,True,standard,"Normal"
INIT-027,The Lottery Experiment,924,Tobben Rast,9,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.591,4.598,412,50000,1.0,0.38,False,dead_end,"Never groks"
INIT-028,The Lottery Experiment,924,Tobben Rast,10,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.575,4.578,312,8567,1.0,0.997,True,standard,"Baseline outcome"
INIT-029,Pruning Recovery Test,925,Lurra Venn,5,from_lucky_ticket,1,128,modular_addition,97,1200,8509,1.0,zeros,4.558,4.561,198,3456,1.0,0.999,True,inherited_luck,"Inherited structure from seed 5"
INIT-030,Pruning Recovery Test,925,Lurra Venn,27,from_dead_end,1,128,modular_addition,97,1200,8509,1.0,zeros,4.588,4.594,398,48000,1.0,0.61,False,inherited_doom,"Bad structure persists"
INIT-031,Random Seed Survey,925,Tobben Rast,100,xavier_uniform,1,128,modular_addition,97,1200,8509,1.0,zeros,4.577,4.580,321,8923,1.0,0.996,True,standard,"Survey point"
