observation_id,date,data_source,observation,model_prediction,deviation_score,flag_raised,retrospective_note
OBS-0001,2020-08-26,attendance,Did not attend scheduled session,Within normal variance,0.0,False,
OBS-0006,2020-09-02,attendance,Attended scheduled class,Pattern consistent with stable trajectory,-0.09,False,
OBS-0011,2020-09-04,library,No library activity,Expected behavior for profile,0.07,False,
OBS-0016,2020-09-07,library,"Library visit, 45 minutes",Expected behavior for profile,0.14,False,
OBS-0021,2020-09-11,social,"Solitary, reading",Expected behavior for profile,0.03,False,
OBS-0026,2020-09-16,attendance,Did not attend scheduled session,Pattern consistent with stable trajectory,0.1,False,
OBS-0031,2020-09-18,attendance,Arrived 5 minutes late,Pattern consistent with stable trajectory,0.15,False,
OBS-0036,2020-09-24,library,"Library visit, 45 minutes",Expected behavior for profile,-0.08,False,
OBS-0041,2020-09-28,cafeteria,Group meal with fountain associates,Expected behavior for profile,0.01,False,
OBS-0046,2020-09-30,faculty_report,Asked unusual questions about grading criteria,Pattern consistent with stable trajectory,0.12,False,
OBS-0051,2020-10-02,library,Checked out 1 item,Expected behavior for profile,-0.01,False,
OBS-0056,2020-10-06,attendance,"Attended, sat in back row",Pattern consistent with stable trajectory,-0.09,False,
OBS-0061,2020-10-08,library,Checked out 1 item,Pattern consistent with stable trajectory,-0.01,False,
OBS-0066,2020-10-12,faculty_report,No notable behavior,Expected behavior for profile,-0.03,False,
OBS-0071,2020-10-14,social,Group discussion at fountain,Expected behavior for profile,0.09,False,
OBS-0076,2020-10-16,faculty_report,No notable behavior,Slight positive deviation,-0.11,False,
OBS-0081,2020-10-22,attendance,"Attended, sat in back row",Expected behavior for profile,0.08,False,
OBS-0086,2020-10-27,cafeteria,Coffee only,Slight positive deviation,0.06,False,
OBS-0091,2020-10-30,library,Checked out 1 item,Within normal variance,0.02,False,
OBS-0096,2020-11-03,social,"Solitary, reading",Slight positive deviation,-0.04,False,
OBS-0101,2020-11-06,cafeteria,"Meal alone, 20 minutes",Within normal variance,-0.03,False,
OBS-0106,2020-11-10,cafeteria,Did not use cafeteria today,Pattern consistent with stable trajectory,0.07,False,
OBS-0111,2020-11-13,attendance,Arrived 5 minutes late,Pattern consistent with stable trajectory,0.17,False,
OBS-0116,2020-11-18,library,No library activity,Within normal variance,0.14,False,
