case_id,case_name,form_id,form_type,form_complexity,block_type,block_stage,manifestation_reached,primary_cause,secondary_cause,competing_form_id,location,region,dens_proximity_km,barrier_thickness,expected_success,residue_left,retry_occurred,retry_successful,alternative_manifestation,lesson_category,theoretical_implications,observation_year,observer,documented_year,documenter,confidence,notes
BI-0001,Blocked Behavior 898,FORM-0789,behavior,simple,displaced,pre_onset,0.23,substrate_rejection,,,Lake vicinity,Northo,258.1,thick,0.18,True,True,,True,form_competition,Substrate rejection requires Form compatibility,917,Ingression Study Group,924,M. Strand,0.51,
BI-0002,Blocked Relationship 920,FORM-0813,relationship,simple,dissolved,near_completion,0.64,barrier_thickness,,,Coder quarter,Densmok,224.4,moderate,0.45,False,False,,False,collective_dynamics,Barrier thickness alone insufficient to explain blocking,905,E. Pol,931,Ingression Study Group,0.84,
BI-0003,Blocked Behavior 927,FORM-0201,behavior,highly_complex,partial,early_manifestation,0.21,substrate_rejection,,,Dens deep,Dens,0.0,thin,0.9,False,False,True,True,collective_dynamics,Form competition more common than expected,897,Field Team,921,S. Moll,0.67,
BI-0004,Blocked Phenomenon 911,FORM-0108,phenomenon,simple,partial,post_completion_reversal,0.57,temporal_mismatch,,,Quarry Sector 7,Yeller Quarry,154.3,thin,0.59,True,False,,False,timing_requirements,Form competition more common than expected,904,Boundary Commission,919,T. Mord,0.75,
BI-0005,Blocked Phenomenon 898,FORM-0097,phenomenon,moderate,partial,mid_progression,0.48,unknown,,,Dens deep,Dens,0.0,thin,0.9,True,False,True,False,timing_requirements,Analytical observation inhibits ingression,923,Boundary Commission,928,Boundary Commission,0.56,
BI-0006,Blocked Relationship 912,FORM-0211,relationship,simple,dissolved,near_completion,0.82,substrate_rejection,substrate_rejection,,Klutch CC vicinity,Densmok,213.1,thick,0.27,True,False,,True,collective_dynamics,Form competition more common than expected,929,E. Pol,921,M. Strand,0.59,
BI-0007,Blocked Phenomenon 922,FORM-0447,phenomenon,moderate,partial,post_completion_reversal,0.4,unknown,,,Isolation community,Northo,344.4,very_thick,0.1,False,False,True,True,barrier_mechanics,Collective prevention possible and documented,915,Capital Survey Team,933,S. Moll,0.8,
BI-0008,Blocked Hybrid 905,FORM-0438,hybrid,simple,complete,early_manifestation,0.0,substrate_rejection,,,Southern camps,Tower of Mirado,157.5,thin,0.58,True,False,,False,form_competition,Form competition more common than expected,899,Boundary Commission,924,Field Team,0.62,
BI-0009,Blocked Behavior 898,FORM-0263,behavior,complex,temporary,near_completion,0.68,temporal_mismatch,,,Isolation community,Northo,358.5,thick,0.1,True,True,,False,collective_dynamics,Substrate rejection requires Form compatibility,900,A. Vells,929,S. Moll,0.82,
BI-0010,Blocked Creature 930,FORM-0415,creature,simple,complete,post_completion_reversal,0.0,spatial_geometry,,,Sector SW-6,Dens boundary,36.0,thin,0.83,True,False,,False,observer_effects,Collective prevention possible and documented,929,M. Strand,931,Field Team,0.8,
BI-0011,Blocked Phenomenon 915,FORM-0913,phenomenon,highly_complex,dissolved,near_completion,0.57,form_instability,,,Dissolution zone,Dens,0.0,moderate,0.9,False,False,,True,collective_dynamics,Form competition more common than expected,927,T. Mord,923,A. Vells,0.66,
BI-0012,Blocked Structure 901,FORM-0291,structure,complex,displaced,near_completion,0.37,temporal_mismatch,,,Trapper territory,Yeller Quarry,134.1,thick,0.43,False,True,,False,barrier_mechanics,Substrate rejection requires Form compatibility,930,E. Pol,935,M. Strand,0.8,
BI-0013,Blocked Behavior 930,FORM-0554,behavior,moderate,complete,pre_onset,0.0,form_instability,,,Ascetic village,Northo,343.8,thick,0.1,True,False,False,True,form_competition,Analytical observation inhibits ingression,911,Unknown,928,M. Strand,0.72,
BI-0014,Blocked Behavior 914,FORM-0065,behavior,complex,partial,near_completion,0.53,spatial_geometry,,,Lake vicinity,Northo,273.0,moderate,0.35,False,False,,False,barrier_mechanics,Form competition more common than expected,899,M. Strand,924,M. Strand,0.77,
BI-0015,Blocked Relationship 903,FORM-0148,relationship,moderate,displaced,mid_progression,0.22,spatial_geometry,,,Siege fields,Tower of Mirado,158.1,thick,0.38,True,True,,False,timing_requirements,Substrate rejection requires Form compatibility,923,A. Prebel,935,Boundary Commission,0.56,
BI-0016,Blocked Behavior 921,FORM-0634,behavior,complex,complete,near_completion,0.0,unknown,,,Siege fields,Tower of Mirado,202.5,thick,0.29,False,True,,True,timing_requirements,Collective prevention possible and documented,916,A. Vells,919,S. Moll,0.7,
BI-0017,Blocked Place 925,FORM-0564,place,complex,displaced,post_completion_reversal,0.21,temporal_mismatch,,,Quarry interior,Yeller Quarry,168.0,moderate,0.56,False,False,,True,barrier_mechanics,Analytical observation inhibits ingression,914,Capital Survey Team,930,T. Mord,0.75,
BI-0018,Blocked Behavior 921,FORM-0100,behavior,moderate,temporary,mid_progression,0.62,barrier_thickness,,,Educational district,Densmok,207.2,very_thick,0.29,False,False,False,False,observer_effects,Collective prevention possible and documented,924,A. Vells,928,A. Prebel,0.76,
BI-0019,Blocked Relationship 905,FORM-0140,relationship,simple,temporary,early_manifestation,0.54,form_instability,none,,Siege fields,Tower of Mirado,224.4,thin,0.45,False,False,,True,collective_dynamics,Analytical observation inhibits ingression,901,M. Strand,932,M. Strand,0.74,
BI-0020,Blocked Behavior 926,FORM-0613,behavior,highly_complex,dissolved,near_completion,0.84,observer_interference,,,Coder quarter,Densmok,255.3,moderate,0.39,False,True,,True,form_competition,Substrate rejection requires Form compatibility,921,Capital Survey Team,919,M. Strand,0.87,
BI-0021,Blocked Relationship 924,FORM-0084,relationship,moderate,complete,early_manifestation,0.0,collective_prevention,none,,Southern perimeter,Dens boundary,37.0,moderate,0.83,False,False,False,False,observer_effects,Barrier thickness alone insufficient to explain blocking,908,E. Pol,926,A. Vells,0.78,
BI-0022,Blocked Relationship 899,FORM-0143,relationship,simple,temporary,pre_onset,0.39,collective_prevention,temporal_mismatch,,Trapper territory,Yeller Quarry,117.0,very_thick,0.47,False,True,True,False,observer_effects,Collective prevention possible and documented,922,A. Vells,926,A. Prebel,0.79,
BI-0023,Blocked Hybrid 915,FORM-0091,hybrid,moderate,dissolved,pre_onset,0.8,collective_prevention,competing_form,,Northern margin,Dens boundary,39.2,moderate,0.82,False,False,,True,form_competition,Analytical observation inhibits ingression,926,E. Pol,921,Field Team,0.72,
BI-0024,Blocked Phenomenon 899,FORM-0357,phenomenon,highly_complex,displaced,post_completion_reversal,0.31,unknown,,,Eastern Northo,Northo,294.1,thick,0.11,True,False,,False,substrate_requirements,Substrate rejection requires Form compatibility,922,Ingression Study Group,926,E. Pol,0.55,
BI-0025,Blocked Pattern 903,FORM-0231,pattern,simple,complete,pre_onset,0.0,unknown,,,Mill vicinity,Yeller Quarry,118.6,very_thick,0.46,True,True,,False,timing_requirements,Substrate rejection requires Form compatibility,910,E. Pol,925,T. Mord,0.88,
BI-0026,Blocked Creature 895,FORM-0830,creature,complex,temporary,pre_onset,0.64,observer_interference,,,Eastern Northo,Northo,287.1,moderate,0.33,True,True,,False,collective_dynamics,Form competition more common than expected,905,Capital Survey Team,922,S. Moll,0.51,
BI-0027,Blocked Pattern 908,FORM-0332,pattern,complex,complete,early_manifestation,0.0,unknown,,,Archive vicinity,Capital,288.4,thin,0.32,True,True,,False,barrier_mechanics,Barrier thickness alone insufficient to explain blocking,901,C. Vells,922,Field Team,0.68,
BI-0028,Blocked Structure 907,FORM-0313,structure,simple,partial,pre_onset,0.42,competing_form,form_instability,FORM-0262,Siege fields,Tower of Mirado,240.4,moderate,0.42,False,False,False,True,substrate_requirements,Substrate rejection requires Form compatibility,895,A. Vells,919,S. Moll,0.58,
BI-0029,Blocked Pattern 895,FORM-0599,pattern,simple,complete,early_manifestation,0.0,temporal_mismatch,form_instability,,Capital proper,Capital,276.4,very_thick,0.15,False,True,,True,observer_effects,Form competition more common than expected,898,T. Mord,934,A. Vells,0.67,
BI-0030,Blocked Phenomenon 904,FORM-0668,phenomenon,moderate,complete,near_completion,0.0,form_instability,,,Lake vicinity,Northo,282.2,moderate,0.34,True,True,,True,observer_effects,Substrate rejection requires Form compatibility,914,Boundary Commission,932,C. Vells,0.67,
BI-0031,Blocked Phenomenon 899,FORM-0338,phenomenon,simple,displaced,post_completion_reversal,0.25,form_instability,substrate_rejection,,Mill vicinity,Yeller Quarry,147.8,thin,0.6,True,True,,False,substrate_requirements,Barrier thickness alone insufficient to explain blocking,905,Field Team,931,A. Prebel,0.66,
BI-0032,Blocked Behavior 911,FORM-0409,behavior,complex,displaced,early_manifestation,0.16,observer_interference,spatial_geometry,,Quarry interior,Yeller Quarry,127.3,very_thick,0.45,False,True,,True,timing_requirements,Collective prevention possible and documented,930,C. Vells,919,Field Team,0.67,
BI-0033,Blocked Creature 902,FORM-0747,creature,highly_complex,dissolved,post_completion_reversal,0.8,spatial_geometry,substrate_rejection,,Southern camps,Tower of Mirado,202.5,very_thick,0.29,True,False,,True,barrier_mechanics,Analytical observation inhibits ingression,901,Boundary Commission,919,S. Moll,0.53,
BI-0034,Blocked Pattern 912,FORM-0960,pattern,highly_complex,temporary,post_completion_reversal,0.46,temporal_mismatch,,,Isolation community,Northo,361.9,moderate,0.18,False,False,,False,collective_dynamics,Substrate rejection requires Form compatibility,915,Unknown,929,Boundary Commission,0.63,
BI-0035,Blocked Creature 925,FORM-0924,creature,complex,dissolved,pre_onset,0.85,collective_prevention,,,Dens interior,Dens,0.0,thick,0.7,False,False,False,True,observer_effects,Collective prevention possible and documented,912,A. Prebel,918,M. Strand,0.53,
BI-0036,Blocked Behavior 895,FORM-0751,behavior,complex,temporary,post_completion_reversal,0.34,observer_interference,,,Quarry interior,Yeller Quarry,108.8,thin,0.68,True,False,,False,form_competition,Substrate rejection requires Form compatibility,923,M. Strand,923,A. Vells,0.85,
BI-0037,Blocked Hybrid 925,FORM-0097,hybrid,highly_complex,temporary,pre_onset,0.47,form_instability,,,Ascetic village,Northo,372.0,very_thick,0.1,False,False,,False,barrier_mechanics,Form competition more common than expected,904,T. Mord,923,T. Mord,0.54,
BI-0038,Blocked Relationship 901,FORM-0588,relationship,highly_complex,temporary,near_completion,0.54,competing_form,form_instability,FORM-0515,Southern camps,Tower of Mirado,220.1,very_thick,0.26,True,False,,False,collective_dynamics,Analytical observation inhibits ingression,897,Field Team,933,M. Strand,0.9,
BI-0039,Blocked Behavior 924,FORM-0612,behavior,moderate,partial,mid_progression,0.23,competing_form,,FORM-0542,Isolation community,Northo,273.8,moderate,0.35,False,True,False,False,substrate_requirements,Substrate rejection requires Form compatibility,925,Capital Survey Team,925,T. Mord,0.82,
BI-0040,Blocked Structure 922,FORM-0011,structure,complex,displaced,post_completion_reversal,0.33,spatial_geometry,,,Central anomaly,Dens,0.0,moderate,0.9,False,True,False,False,timing_requirements,Barrier thickness alone insufficient to explain blocking,910,S. Moll,930,Boundary Commission,0.73,
BI-0041,Blocked Structure 901,FORM-0732,structure,highly_complex,dissolved,post_completion_reversal,0.81,barrier_thickness,,,Coder quarter,Densmok,274.9,thick,0.15,True,False,,False,collective_dynamics,Analytical observation inhibits ingression,908,A. Vells,925,Ingression Study Group,0.9,
BI-0042,Blocked Creature 911,FORM-0499,creature,complex,displaced,post_completion_reversal,0.3,substrate_rejection,unknown,,Eastern Northo,Northo,254.5,moderate,0.39,False,False,,True,timing_requirements,Form competition more common than expected,902,A. Vells,930,E. Pol,0.74,
BI-0043,Blocked Pattern 897,FORM-0466,pattern,simple,complete,early_manifestation,0.0,collective_prevention,collective_prevention,,Educational district,Densmok,275.3,very_thick,0.15,True,True,,False,barrier_mechanics,Analytical observation inhibits ingression,897,Field Team,921,A. Prebel,0.62,
BI-0044,Blocked Relationship 899,FORM-0119,relationship,moderate,displaced,pre_onset,0.24,spatial_geometry,,,Quarry Sector 7,Yeller Quarry,119.6,thick,0.46,True,False,,False,observer_effects,Substrate rejection requires Form compatibility,909,Ingression Study Group,930,C. Vells,0.69,
BI-0045,Blocked Structure 922,FORM-0546,structure,complex,temporary,near_completion,0.5,barrier_thickness,,,Archive vicinity,Capital,228.3,very_thick,0.24,False,False,,False,observer_effects,Form competition more common than expected,915,C. Vells,930,Field Team,0.81,
