registry_id,place_name,aliases,place_type,region,three_compass_position,description,notable_features,hazard_level,accessibility,first_mapped_by,first_mapped_year,current_status,notes
GPR-001,Grimslenken,,Region,Capeast,N: 45 W: 12 S: 89,"Grimslew region. Where Kosh-Eryn operates.","Grimslew habitat; skuller-dodger territory",HIGH,Restricted,"Unknown (pre-Guild)",Unknown,Active,"Grimslew infestation. Approach with caution."
GPR-002,Vellmarsh,,Remote Area,Northo Region,N: 78 W: 34 S: 112,"Remote marshland. Final residence of scholar Grigsu Haldo.","Marsh terrain; isolated",MODERATE,Difficult,"Vagabu Olt",889,Active,"Grigsu died here. Yeller presence historical."
GPR-003,Bracklon,,Settlement,Unknown,N: 23 W: 67 S: 45,"Settlement. Limited information.","",LOW,Normal,"Unknown",Unknown,Active,"Standard settlement. Minimal hazards."
GPR-004,Bruchdens,,Location,The Dens periphery,N: 56 W: 89 S: 34,"Location near Dens. Dodger's cart sighted here.","Dens proximity",MODERATE,Difficult,"Guild surveyor",873,Active,"Dens boundary zone. Exercise standard protocols."
GPR-005,Corgin Square,,Urban Plaza,The Capital,N: 0 W: 0 S: 0 (Capital center),"Central plaza in Capital. Administrative hub.","Government buildings; Archive access",NONE,Easy,"Original Capital survey",Unknown,Active,"Capital reference point. Safe."
GPR-006,Denstone,Denstown,Settlement,Dens periphery,N: 34 W: 56 S: 67,"Settlement near Dens.","Dens edge community",LOW,Normal,"Guild surveyor",861,Active,"Dens proximity community."
GPR-007,Denseast,,Splicing zone,Greater Dens region,N: 45 W: 23 S: 78,"Technical zone. Splicing wires and routing.","Infrastructure area",LOW,Restricted (technical),"Guild engineer",897,Active,"Infrastructure. Not general access."
GPR-008,Greater Dens,,Region,Dens,COORDINATES UNSTABLE,"Expanded Dens territory. Near Densmok. Code 0000-0222.","Dens terrain; Halfbad residence",HIGH,Very Difficult,"Multiple",Ongoing,Active (unstable),"Coordinate Mortality principle applies. Maps expire rapidly."
GPR-009,Grimslew Island,,Island,The Dens,COORDINATES PROSCRIBED,"Island habitat of grimslew creatures.","Grimslew concentration",EXTREME,FORBIDDEN,"Unknown",Unknown,Proscribed,"See Appendix D - Proscribed Coordinates. Do not approach."
GPR-010,Harvor Milkin,,Village,Unknown,N: 67 W: 45 S: 23,"Village.","",LOW,Normal,"Village survey",Unknown,Active,"Standard village."
GPR-011,Hooldens,,Settlement,Dens region,N: 78 W: 56 S: 45,"Settlement in Dens region.","Dens proximity",MODERATE,Difficult,"Guild surveyor",879,Active,"Dens border settlement."
GPR-012,Kooper's Ally,,Alley/Street,The Capital,N: 2 W: 3 S: 1 (Capital),"Alley near Capital Senate.","Senate proximity",NONE,Easy,"Original Capital survey",Unknown,Active,"Capital location. Safe."
GPR-013,Molther,,Village,South of Dens,N: 12 W: 78 S: 156,"Village south of the Dens.","Southern approach to Dens",LOW,Normal,"Southern survey",856,Active,"Dens approach from south."
GPR-014,Newldens,,Settlement,Dens region,N: 56 W: 67 S: 45,"Settlement in Dens region.","New settlement",MODERATE,Difficult,"Guild surveyor",884,Active,"Newer Dens settlement."
GPR-015,Nurdo River,Nurdo Caves,River/Cave system,Northo Region,N: 89 W: 45 S: 134,"River and cave system in the north.","Subterranean network; river passage",MODERATE,Difficult,"Northern expedition",867,Active,"Cave system partially mapped. Deep sections unknown."
GPR-016,Speelfu Street,,Street,The Dens,COORDINATES UNSTABLE,"Street in Dens interior.","Dens interior",HIGH,Very Difficult,"Vagabu Olt",891,Active (unstable),"Dens interior. Coordinates shift."
GPR-017,The Yard,,Transit zone,Between Cap and Mirado,N: 234 W: 123 S: 345,"Zone between Capital and Mirado.","Transit corridor",LOW,Normal,"Trade route survey",845,Active,"Standard trade route waypoint."
GPR-018,Tripas,,Trading post,South highway,N: 345 W: 234 S: 456,"Aggregated city near south highway. Trading post.","Trade hub",LOW,Normal,"Trade route survey",851,Active,"Commercial center."
GPR-019,The Cave,,Hill/Massacre site,The Dens,COORDINATES PROSCRIBED,"Hill in Dens. Site of expedition massacre. Creature collecting location.","Massacre site; creature concentration",EXTREME,FORBIDDEN,"Unknown",Unknown,Proscribed,"See Appendix D. Boss's expedition massacre location."
GPR-020,The Stall Towns,,Settlement cluster,Yeller Quarry region,N: 567 W: 345 S: 234,"Villages of shacks. Trade in creature husks and bones.","Creature trade; informal economy",MODERATE,Normal,"Quarry survey",877,Active,"Creature parts trade. Informal settlements."
GPR-021,Hell (Densworld),Pitch islands,Supernatural Location,Unknown,COORDINATES UNKNOWN,"Pitch islands ocean fires and tunnels. Features The Furls and Wortled Grip.","Pitch (molten/frozen); islands; tunnels; The Sordic",EXTREME,IMPOSSIBLE,"Not mappable",N/A,Unknown,"Supernatural location. Does not conform to Three-Compassed system. Coordinates undefined."
GPR-022,Deep Dens,,Subterranean zone,Below The Dens,COORDINATES IMPOSSIBLE,"Below Dens surface. Shelf under villages. Subterranean lake.","Subterranean; unmappable",UNKNOWN,IMPOSSIBLE,"Not mappable",N/A,Unknown,"Principle of Selective Blindness applies. Cannot be mapped. No surveyor returns."
GPR-023,Sector DE-7,,Boundary Region,Dens boundary,N: 445 W: 666 S: 223,"Boundary region. Expedition A-3 failure site (Year 916).","Expedition disaster site",HIGH,Restricted,"Expedition A-3",916,Active (restricted),"Disaster investigation ongoing."
GPR-024,Sector NE-4,,Zone,Yeller Quarry,N: 567 W: 123 S: 345,"Yeller Quarry zone. High Stakdur activity.","Creature hazard; Stakdur territory",EXTREME,Restricted,"Quarry survey",902,Active (restricted),"Stakdur danger. Guild escort required."
