catalog_id,item_name,item_type,creator_author,creation_year,acquisition_year,shelf_location,condition,contents_summary,access_restrictions,related_items,cataloger,notes
ARC-0001,The Resonance Calculus,Treatise,Vornis Keth,1851,1859,Wing K - Shelf 34,Good,"Mathematical framework for computing similarity and attraction between cognitive/spatial states. Establishes resonance calculus methodology.",Scholars only,ARC-0002; ARC-0003,Archivist Thennel,"Foundational text. Heavily referenced."
ARC-0002,On Basin Topology,Treatise,Vornis Keth,1848,1859,Wing K - Shelf 34,Good,"Foundational treatise establishing basin topology as framework for understanding attractor dynamics. Introduces basin metaphor.",Scholars only,ARC-0001; ARC-0003,Archivist Thennel,"See also Keth's other works."
ARC-0003,Topology as Prophecy,Treatise,Vornis Keth,1855,1859,Wing K - Shelf 34,Fair,"Prediction framework using topological structure to forecast future states. Claims 91% historical accuracy.",Scholars only,ARC-0001; ARC-0002,Archivist Thennel,"Controversial claims. Accuracy disputed."
ARC-0004,Grigsu's Notebooks,Notebook collection,Grigsu Haldo,861-923,924,Wing G - Special Collections,Variable,"14+ entries documenting tracking of Yeller creature. Includes 'The Incident' (entry 007) and Vellmarsh Years (entry 013).",Restricted - apply to Governance Council,ARC-0021,Archivist Queever,"Dannkit's Additions (entry 014) appended posthumously. Primary Yeller documentation."
ARC-0005,The Pattern Book,Field manual,Pollus Brent,Unknown,908,Wing B - Natural History,Good,"Creature behavior prediction system. Documents 'creature grammar' and behavioral patterns including prime-number cycles.",General access,,Archivist Crell,"Folk rules achieve 61% prediction accuracy per compiler's notes."
ARC-0006,Quarry Seasonal Calendar,Calendar/Guide,Old Harnis,Ongoing,912,Wing B - Natural History,Good,"Creature activity observations organized by season. Practical guide for Quarry crews.",General access,ARC-0005,Archivist Crell,"Updated periodically by Quarry crews. Practical rather than scholarly."
ARC-0007,Proscribed Coordinates (Appendix D),Protocol document,Council of Cartographers,Various,903,Wing M - Mapping,Good,"List of dangerous sites that should not be visited or mapped. Locations deliberately omitted from standard maps.",Restricted - Guild members only,ARC-0008; ARC-0009,Guild Liaison Cord,"Do not duplicate. Do not excerpt."
ARC-0008,Yeller Protocols (Appendix C),Protocol document,Council of Cartographers,Various,903,Wing M - Mapping,Good,"Protocols for mapping plural beings like Yeller. Special handling for five-in-one entities.",Restricted - Guild members only,ARC-0007; ARC-0021,Guild Liaison Cord,"See also Grigsu's Notebooks for Yeller behavior."
ARC-0009,Form 17-B,Administrative form,Council of Cartographers,Ongoing,899,Wing M - Mapping,Good,"Hazard reporting form. Standard template for documenting dangerous encounters.",General access (Guild members),ARC-0007,Guild Liaison Cord,"Blank forms available. Filed reports restricted."
ARC-0010,MS-0001 (First Acquisition),Manuscript,Unknown,Unknown,First years,Wing A - Founders,Fragile,"First manuscript acquired at Archive founding. Contents obscured by age.",By appointment only,,Archivist Queever,"Symbolic significance. Actual content unclear."
ARC-0011,The Dens Principles,Treatise,Prebel (Guild Master),895,896,Wing M - Mapping,Good,"Six principles for Dens mapping. Boundary Impermanence; Non-Accumulation; Observer Influence; Coordinate Mortality; Selective Blindness; Sufficient Vagueness.",General access,,Guild Liaison Cord,"Required reading for surveyors."
ARC-0012,The Breach Debate Transcript,Debate record,Archive transcription,1857,1857,Wing K - Shelf 35,Good,"Formal debate between Vornis Keth and Archon Prebel. Topic: breach vs continuous transition between states.",Scholars only,ARC-0001; ARC-0002,Archivist Thennel,"Historical document. Demonstrates schism in spatial philosophy."
ARC-0013,On Attractor Dynamics,Treatise,Vornis Keth,1853,1859,Wing K - Shelf 34,Good,"Breathing phenomenon in attractor basins. Rhythmic expansion and contraction of cognitive territories.",Scholars only,ARC-0001; ARC-0002,Archivist Thennel,"Keth's middle-period work."
ARC-0014,Stability and Plasticity,Treatise,Vornis Keth,1856,1859,Wing K - Shelf 34,Good,"Addresses stability-plasticity dilemma: how systems maintain identity while adapting.",Scholars only,ARC-0001; ARC-0002,Archivist Thennel,"Final major work before death."
ARC-0015,Tross on Boundaries,Treatise,Pemlik Tross,1843,1861,Wing T - Shelf 12,Good,"Constellation Method for spatial clustering. Tension fields in graph structures.",Scholars only,,Archivist Vells,"Never met Keth despite related work."
ARC-0016,The Form Library Hypothesis,Treatise,Erris Pol,1867,1868,Wing P - Shelf 8,Good,"Universal morphospace of possible forms. 'Bodies as readers' metaphor.",Scholars only,,Archivist Molk,"Heterodox. Some question validity."
ARC-0017,The Hierarchy of Minds,Treatise,Pell Anster,1871,1872,Wing A - Shelf 22,Good,"TAME hierarchy: Triggered Autonomous Modular Emergent. I-C-integral formula for mind classification.",Scholars only,,Archivist Molk,"Classification schema still debated."
ARC-0018,Federations of Mind,Treatise,Tessyn Mord,1879,1880,Wing M - Shelf 41,Good,"Trust economics between parts and wholes. How collective intelligence negotiates.",Scholars only,,Archivist Vells,"Relevant to plural beings."
