church_id,name,denomination,location,city,description,pastor,congregation_type,associated_characters,associated_events,real_church,first_appearance,significance,notes
CH-001,Third Baptist,Baptist,Alton,Alton IL,Baptist church in Alton.,"",traditional,"",,"",capital ore.txt,mentioned,"One of multiple Alton churches."
CH-002,New Life,Non-Denominational,Alton area,Alton IL,Megachurch in Alton area.,"",megachurch,"",,"",capital ore.txt,mentioned,"Large contemporary church."
CH-003,Emanuel Evangelical,Evangelical,unknown,Alton area,Josh's church. Youth group.,"",evangelical,"Josh,Pastor Greg","Youth Group activities","",northo ore 2.txt,narrative,"Features youth ministry."
CH-004,River-of-Life Church,Non-Denominational,unknown,Alton area,Non-denominational church. Josh runs it.,"Josh",contemporary,"Josh,Kristen",,"",ore-fragments/yeller-quarry/,narrative,"Josh's pastorate."
CH-005,Unitarian Church,Unitarian,downtown,Alton IL,Downtown Alton church on high spot.,"",liberal,"",,"",mirado sticks ore.txt,mentioned,"Historic downtown location."
CH-006,Episcopalian Church,Episcopal,downtown,Alton IL,Downtown Alton church on high spot.,"",mainline,"",,"",mirado sticks ore.txt,mentioned,"Historic downtown location."
CH-007,Methodist Church (Alton),Methodist,downtown,Alton IL,Downtown Alton church on high spot.,"",mainline,"",,"",mirado sticks ore.txt,mentioned,"Historic downtown location."
CH-008,St. Peters,Episcopal,unknown,Alton area,Church the Hart family sometimes attends.,"",mainline,"Hart family",,"",tower of mirado ore 2.txt,mentioned,"Family church."
CH-009,Indian Church,unknown,unknown,unknown,Church R and H's mother attended. Icy Sunday story.,"",unknown,"R,H,mother","Icy Sunday incident","",yeller quarry ore.txt,narrative,"Featured in icy Sunday story."
CH-010,The Baptist Church (Godfrey),Baptist,Godfrey,Godfrey IL,Small poor farmers' church in Godfrey.,"",rural,"",,"",dens ore.txt,context,"Small congregation."
CH-011,The Methodist Church (Godfrey),Methodist,Godfrey,Godfrey IL,Larger church with money in Godfrey.,"",mainline,"",,"",dens ore.txt,context,"Larger congregation."
CH-012,Church of the New Antipathy,New Antipathy,unknown,unknown,Religious movement founded by Stell Thompson.,"Stell Thompson (founder)",new_religious_movement,"Stell Thompson",founding,"",densmok ore.txt,significant,"Stell Thompson's religious innovation."
CH-013,Wyclef Holy Word Society,unknown,unknown,unknown,Religious organization.,"",religious_org,"",,"",ore-fragments/northo/,mentioned,"Referenced in ore."
CH-014,The Navigators,Non-Denominational,unknown,national,Dawson Trotman's missionary organization.,"Dawson Trotman (founder)",parachurch,"",,"",northo ore.txt,referenced,"'Daws' Trotman's evangelical discipleship ministry."
CH-015,Morning Prayer Group,Interdenominational,unknown,Alton area,Pastors who pray together.,"various pastors",prayer_group,"",,"",northo ore 2.txt,mentioned,"Ecumenical gathering."
CH-016,Youth Group (Emanuel),Evangelical,Emanuel Evangelical,Alton area,Youth ministry at Emanuel Evangelical.,"Pastor Greg",youth,"Pastor Greg,youth members",,"",northo ore 2.txt,narrative,"Teen ministry."
CH-017,Small Group (Larry's),unknown,Larry's home,unknown,Wednesday night prayer group.,"Larry (host)",house_church,"Larry",,"",north town ore.txt,mentioned,"Home fellowship."
CH-018,African Students Organization (church affiliate),Christian,Iowa City,Iowa City IA,Christian student group at Iowa.,"",campus_ministry,"Josh,Kristen",,"",northo ore 2.txt,mentioned,"International student ministry."
CH-019,Wheaton College,Evangelical,Wheaton,Wheaton IL,Evangelical Christian college. Referenced in Dan Plate narrative.,"",educational,"Dan Plate",,"",northo ore.txt,referenced,"Billy Graham's alma mater. Academic evangelical context."
CH-020,Taylor University,Evangelical,Upland,Upland IN,Indiana evangelical university. Where Dan Plate teaches.,"",educational,"Dan Plate","Krimschin speech","",northo ore.txt,significant,"Dan Plate's academic home."
CH-021,Northo Krimschin College,Evangelical,unknown,unknown,W2 analog of Taylor University.,"","educational","Dan Plate","Krimschin speech","",northo ore.txt,narrative,"Fictional evangelical college."
CH-022,Saints of Horfeus,Mystical,under Mississippi River,Regional,Religious/mystical group with Annual Assemblies.,"Hinsin Fleer (Head-Saint)",mystical,"Hinsin Fleer,Marvix,Loomis","Annual Assemblies","",ore-fragments/yeller-quarry/,significant,"Operates under river. Slug-like Head-Saint."
CH-023,CrossPatch,Digital/Evangelical,online,online,GitHub-style repository for witnessing and testimonials.,"CrossPatchPastorJosh (originator)",digital,"Josh,Little Porn",,"",ore-fragments/northo/,notable,"LittlePornLiteralisms fork exists."
CH-024,Former Atheist Collective,Post-Atheist,Dead River,Dead River,Dead River organization of former atheists.,"",support_group,"",,"",ore-fragments/dead-river/,mentioned,"Conversion community."
CH-025,MK Blog Community,Evangelical,online,online,Missionary kid online group.,"",digital_community,"Dan Plate,various MKs",,"",capeast ore.txt,referenced,"Third culture kid support network."
