pattern_id,pattern_type,prime_value,creature_types,behavior_context,statistical_significance,grigsu_noted,folk_rule_exists,description,pollus_notes
PP001,timing,"2,3,5,7,11",all,feeding behavior,0.001,True,True,Feeding activity peaks on prime days of the lunar cycle.,67% of feeding-to-resting transitions occur on prime-day intervals. This is the foundational pattern.
PP002,group_size,5,all yeller-compatible,group formation,0.0001,True,True,Yeller-compatible creatures form stable groups of five.,Groups of 4 or 6 are statistically underrepresented and unstable. Five is the dominant stable configuration.
PP003,quantity,"2,3,5,7",all,trapping catches,0.01,False,True,Successful trapping yields prime-numbered catches 58% of the time.,"Catches of 4, 6, 8, or 9 are statistically underrepresented. The trappers noticed this generations ago."
PP004,cycle_length,7,Stone Spine Lizard,basking cycles,0.02,False,True,Stone Spine Lizards emerge to bask every seventh day.,Seven-day periodicity holds regardless of weather. Some environmental constraint at work.
PP005,interval,11,all,silence before major events,0.05,False,True,Quarry-wide silence precedes major events by approximately eleven minutes.,"The eleven-minute duration appears repeatedly. Too precise for coincidence, too strange for explanation."
PP006,timing,"11,23",Rock-Finned Eel,surface emergence,0.03,False,True,Eel activity peaks at the 11th and 23rd hours.,The eleventh hour. The trappers knew this long before I arrived.
PP007,group_size,3,Tunnel Cat,hunting activity,0.01,False,True,Tunnel cats hunt in groups of three.,Solitary cats rest; paired cats travel; three cats hunt. Another prime signature.
PP008,depth,"2,3,5,7,11,13",Leatherback Burrower,flight patterns,0.02,False,True,Leatherback Burrowers prefer prime-numbered depths.,"Mode depths of 2, 3, 5, 7, 11, 13 meters. The depth preference is real."
PP009,timing,"2,3,5,7,11",Stakdur,hunting activity,0.001,True,True,Stakdur hunting and swarming both peak on prime days.,The rule distinguishes hunting (1-2 creatures) from swarming (many). Count before you commit.
PP010,cycle_length,5,Cave Bat,swarming events,0.02,False,False,Cave Bat swarms exhibit 5-day periodicity within lunar cycles.,"My discovery, not in the folk rules. Swarms cluster every 5 days during active periods."
PP011,cycle_length,3,Cave Bat,feeding behavior,0.04,False,False,Bat feeding bouts cycle on 3-day intervals.,Statistically significant. Novel discovery from Pattern Book analysis.
PP012,group_size,"2,3,5",all yeller-compatible,group formation,0.02,True,True,Yeller-compatible creatures form groups in prime numbers.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP013,interval,7,Maw Beast,hunting activity,0.08,False,False,Maw Beast hunting cycles show weak 7-day periodicity.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP014,timing,"2,3,5,7",all predators,hunting activity,0.01,True,True,Predator activity peaks on prime days across species.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP015,quantity,5,Metal-Beaked Finch,flock formation,0.03,False,True,Finch flocks preferentially form in groups of five.,Statistically significant. Folk knowledge predates my analysis.
PP016,duration,"2,3,5",Coil Tube Serpent,resting cycles,0.06,False,False,"Serpent rest periods last prime hours (2, 3, or 5 hours).",Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP017,depth,"7,11,13",Deep Borer,boring patterns,0.04,False,True,Borers pause at prime-numbered depths during tunneling.,Statistically significant. Folk knowledge predates my analysis.
PP018,cycle_length,11,all,Yeller proximity,0.1,True,True,Yeller sighting frequency shows 11-day superperiod.,Weak evidence; requires more data. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP019,interval,5,all yeller-compatible,behavioral synchronization,0.03,False,False,Yeller-compatible creatures synchronize on 5-minute intervals.,Statistically significant. Novel discovery from Pattern Book analysis.
PP020,timing,13,Tunnel Cat,territorial marking,0.07,False,False,Territorial marking frequency peaks on day 13 of lunar cycle.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP021,group_size,7,Quarry Moth,swarming events,0.05,False,False,Moth swarms form in multiples of 7 individuals.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP022,quantity,"3,7",all predators,kill counts,0.04,False,True,Predator kill counts cluster around 3 and 7 per day.,Statistically significant. Folk knowledge predates my analysis.
PP023,duration,7,Stone Spine Lizard,basking behavior,0.03,False,True,Lizard basking sessions last approximately 7 minutes.,Statistically significant. Folk knowledge predates my analysis.
PP024,cycle_length,5,Yeller Frog,calling behavior,0.02,False,False,Frog chorus cycles show 5-day periodicity before Yeller sightings.,Statistically significant. Novel discovery from Pattern Book analysis.
PP025,interval,"2,3",Metal-Beaked Finch,feeding behavior,0.02,False,False,Finch feeding intervals alternate between 2 and 3 minutes.,Statistically significant. Novel discovery from Pattern Book analysis.
PP026,timing,"7,11",Swarm events,all swarming,0.01,True,True,Multi-species swarms peak on days 7 and 11 of lunar cycle.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP027,group_size,3,Granite Wren,nesting behavior,0.06,False,True,Wren nests cluster in groups of 3 pairs.,Weak evidence; requires more data. Folk knowledge predates my analysis.
PP028,depth,"5,7",Yeller Frog,pool preference,0.05,False,False,Frogs preferentially inhabit pools at 5 or 7 meter depths.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP029,duration,11,Cave Bat,swarming events,0.04,False,False,Bat swarms persist for approximately 11 minutes.,Statistically significant. Novel discovery from Pattern Book analysis.
PP030,interval,3,Tunnel Cat,patrol routes,0.05,False,False,Cats patrol same territories on 3-day intervals.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP031,cycle_length,2,all,predator-prey,0.01,False,True,Predator-prey activity cycles show 2-day anti-correlation.,Statistically significant. Folk knowledge predates my analysis.
PP032,quantity,11,all,major events,0.08,False,True,Major quarry events cluster on day 11 of lunar cycle.,Weak evidence; requires more data. Folk knowledge predates my analysis.
PP033,timing,5,all yeller-compatible,clustering events,0.02,True,True,Five-count clustering events concentrate on day 5 of lunar cycle.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP034,group_size,2,Coil Tube Serpent,mating behavior,0.09,False,False,Serpents mate in pairs (the only prime group size for this species).,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP035,duration,"3,5",all,flight responses,0.04,False,False,Creature flight responses last 3 or 5 minutes before resuming normal behavior.,Statistically significant. Novel discovery from Pattern Book analysis.
PP036,interval,13,Maw Beast,emergence patterns,0.12,False,False,Maw Beast deep-cave emergence shows weak 13-day periodicity.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP037,cycle_length,7,all cave-dwelling,activity cycles,0.03,True,True,Cave creature activity shows 7-day periodicity across species.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP038,quantity,"2,3",Stakdur,hunting groups,0.02,False,True,Stakdur hunting (not swarming) occurs in groups of 2 or 3.,Statistically significant. Folk knowledge predates my analysis.
PP039,timing,3,all,daily activity,0.05,False,False,Day 3 of lunar cycle shows elevated activity across species.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP040,depth,3,Yeller Frog,spawning,0.07,False,False,Frog spawning preferentially occurs at 3-meter depth.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP041,duration,2,Metal-Beaked Finch,warning calls,0.03,True,True,Finch warning calls precede collapses by approximately 2 hours.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP042,interval,"5,7",all,Yeller proximity response,0.06,True,True,Behavioral responses to Yeller proximity lag by 5-7 minutes.,Weak evidence; requires more data. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP043,group_size,11,Cave Bat,roosting clusters,0.08,False,False,Bat roosting clusters preferentially form in groups of 11.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP044,cycle_length,3,Stakdur,swarming preparation,0.04,False,False,Stakdur show elevated activity 3 days before major swarms.,Statistically significant. Novel discovery from Pattern Book analysis.
PP045,quantity,"5,7",all,seasonal catches,0.05,False,True,Seasonal catch totals cluster around multiples of 5 and 7.,Weak evidence; requires more data. Folk knowledge predates my analysis.
PP046,timing,"17,19",Deep Borer,deep activity,0.1,False,False,Deep Borer activity at extreme depths peaks on days 17 and 19.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP047,duration,13,all predators,hunting bouts,0.07,False,False,Extended hunting bouts last approximately 13 minutes.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
PP048,interval,11,all,silence events,0.05,True,True,Quarry-wide silence events last 11 minutes ± 2 minutes.,Weak evidence; requires more data. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP049,group_size,"5,7",all,stable formations,0.02,True,True,Groups of 5 and 7 are significantly more stable than other sizes.,Statistically significant. Grigsu observed this forty years ago. Folk knowledge predates my analysis.
PP050,depth,11,Tunnel Cat,deep hunting,0.06,False,False,Deep-tunnel cat hunting concentrates at 11-meter depth.,Weak evidence; requires more data. Novel discovery from Pattern Book analysis.
