translation_id,densworld_term,category,ai_equivalent,genre_reference,artist_reference,period_reference,visual_keywords,color_guidance,texture_guidance,notes
STD-001,Geometric School,illustration_school,"technical illustration, blueprint style, engineering drawing",Scientific illustration,Leonardo da Vinci (anatomical studies),Renaissance-Enlightenment,"clean lines, uniform weight, orthographic, minimal decoration, precise geometry","monochromatic with single accent, high contrast","smooth, paper-like, no texture",Core school - clarity above all
STD-002,Organic School,illustration_school,"Art Nouveau illustration, botanical illustration, nature drawing",Natural philosophy illustration,Ernst Haeckel (Kunstformen der Natur),Late 19th century,"flowing lines, variable weight, natural forms, organic curves, breathing quality","earth tones, greens, warm amber accents","organic, natural paper grain",Living mathematics aesthetic
STD-003,Cartographic Guild,illustration_school,"topographic map, terrain visualization, contour drawing",Historical cartography,Joan Blaeu (Atlas Maior),17th-18th century,"contour lines, elevation shading, compass rose, map legend","blue-yellow-orange-red elevation gradient","parchment, aged paper",All mathematics is geography
STD-004,Notation Scribes,illustration_school,"textbook illustration, LaTeX diagram, academic figure",Scientific publishing,Edward Tufte style,Modern academic,"integrated equations, clear labels, publication-ready, annotation-heavy","black primary, blue/green for emphasis","clean white paper",Equation is the image
STD-005,Archive Ink,material,"iron gall ink, sepia ink, fountain pen ink",Manuscript,Medieval manuscripts,Pre-1900,"permanent black, warm brown undertones, slight fade variation","#1A202C to #3D3D3D","slightly textured from ink absorption",Standard Capital scholarly work
STD-006,Densmuck Black,material,"lampblack, soot pigment, charcoal black",Artist pigments,Rembrandt (dark backgrounds),Dutch Golden Age,"deep matte black, light-absorbing, no reflection","#0A0A0A, true black","matte, slightly granular",Deepest black from Dens boundary
STD-007,Quarry Ochre,material,"burnt sienna, rust pigment, iron oxide",Earth pigments,Cave paintings to Renaissance,Prehistoric-ongoing,"warm rust, orange-brown, earthy","#8B4513, #CD853F","gritty, mineral texture",Yeller Quarry iron deposits
STD-008,Densash Gray,material,"ash gray, cool gray, graphite",Artist pigments,Whistler (gray paintings),19th century impressionism,"muted gray, slightly warm, dusty quality","#9CA3AF, #6B7280","powdery, matte, ashen",Covers Yeller's forms
STD-009,Capital Archive Style,regional_variant,"museum catalog illustration, specimen documentation",Natural history museum,John James Audubon,19th century scientific,"archival precision, white background, specimen isolation","limited palette on white","archival paper, pristine",Wing M standardization
STD-010,Yeller Quarry Field Tradition,regional_variant,"field sketch, expedition journal, quick study",Field naturalism,Darwin's Beagle sketches,19th century exploration,"rough, quick, practical, survival-focused","earth tones, available materials","rough paper, weathered",Organic School under duress
STD-011,Densmok Commercial Style,regional_variant,"vintage advertising, poster art, commercial illustration",Commercial art,Alphonse Mucha (commercial work),Art Nouveau commercial,"accessible, colorful, simplified forms","bright, appealing colors","commercial paper, printed",Popular accessibility
STD-012,Three-Compassed,notation_system,"compass rose, directional indicator",Cartographic convention,Historical maps,Medieval-Renaissance,"N-S-W only, 120-degree intervals, no East","gold/brass accent on parchment","metallic ink on paper",W1 cosmological fact - no East
STD-013,Observer Notation,notation_system,"margin notes, annotation system, emotional indicator",Personal marginalia,Commonplace books,Renaissance-Enlightenment,"margin marks, emotional state codes, reliability indicators","red for compromised, black for confident","manuscript style",Maps record maker's state
STD-014,CSQ Integration Symbol,notation_system,"mathematical notation, LaTeX symbols",Mathematical typography,Modern mathematical publishing,20th-21st century,"∫ symbol integrated into composition, calculus notation","same as surrounding notation","clean, typeset quality",Central to I-C-∫ formula
STD-015,Basin Visualization,concept_type,"loss landscape, optimization surface, attractor diagram",Machine learning visualization,Modern data science papers,21st century,"contour plot, gradient arrows, minima marked","cool-to-warm gradient","smooth gradient fills",Keth's framework
STD-016,Constellation Visualization,concept_type,"network graph, social network diagram, force-directed graph",Information visualization,Modern network science,21st century,"nodes, edges, clustering, spring layout","node colors by cluster","soft glow around nodes",Tross's framework
STD-017,Morphospace Terrain,concept_type,"fitness landscape, evolutionary landscape, phase space",Evolutionary biology diagrams,Modern biology papers,20th-21st century,"3D surface, elevation coloring, basin labels","blue valleys, red peaks","terrain texture",Pol's Form Library
STD-018,Decay Curve,concept_type,"exponential decay, radioactive decay chart, half-life diagram",Physics diagram,Scientific illustration,20th century,"time axis, exponential curve, threshold markers","black curve, red threshold","graph paper grid",Moll's persistence theory
STD-019,Hierarchy Diagram,concept_type,"organizational chart, nested diagram, tree structure",Business/academic diagram,Modern information design,20th-21st century,"nested boxes, level indicators, connecting lines","level-coded colors","clean, structured",Anster's TAME levels
STD-020,Grimslew (creature),creature_type,"anglerfish, deep sea creature, bioluminescent fish",Scientific illustration,Ernst Haeckel (marine),Late 19th century,"fifty fins, twin tails, leathery texture, hook scales","dark grays, metallic accents","leathery, scaled texture",Dangerous - render from specification
STD-021,Stakdur (creature),creature_type,"prehistoric predator, aggressive dinosaur, territorial animal",Paleoart,Charles R. Knight,Early 20th century,"aggressive pose, defined musculature, territorial display","earth tones, warning reds","rough hide texture",Memory-linked creature
STD-022,Wharvers (creature),creature_type,"blob fish, mudskipper, amphibious creature",Scientific grotesque,Medieval bestiary style,Medieval-Renaissance,"globed body, fins, hot belly, hook scales","rust and gray, warm belly","leathery, wet-looking",Quarry Crew encounters
STD-023,Yeller (entity),entity_type,"gestalt entity, collective consciousness visualization",Surrealism,Rene Magritte,20th century surrealism,"five bodies, shared identity, psychological warning","muted, unsettling palette","dreamlike, uncertain edges",Observation dangerous - specification only
STD-024,Tower of Mirado,entity_type,"hovering structure, impossible architecture, monolith",Fantastic architecture,Piranesi (prisons),18th century,"steel/metallic, hovering, fountain crown, desert setting","metallic silver, desert tan","polished metal, stone",Inaccessible landmark
STD-025,The Dens Boundary,entity_type,"unstable border, shifting edge, liminal space",Abstract expressionism,Mark Rothko (color fields),Mid-20th century,"indeterminate edges, shifting colors, breathing quality","grays to blacks, uncertain","fuzzy, indeterminate",Never stable - capture moment only
STD-026,Form Library,abstract_concept,"latent space, possibility space, morphospace",Information visualization,Modern ML papers,21st century,"terrain metaphor, stability basins, attractor valleys","blue stable, red unstable","smooth gradient terrain",Pol's central hypothesis
STD-027,Basin Topology,abstract_concept,"dynamical systems, attractor basin, energy landscape",Physics/math visualization,Modern complexity science,21st century,"topographic contours, gradient flow, basin boundaries","elevation gradient","contour line texture",Keth's spatial framework
STD-028,I-C-∫ Formula,abstract_concept,"integration diagram, nested hierarchy, systems diagram",Mathematical illustration,Modern textbook,21st century,"nested boundaries, integration arrows, level labels","black structure, blue paths","clean, publication-ready",Anster's hierarchy of minds
STD-029,Constellation Method,abstract_concept,"signed graph, social network, cluster analysis",Network visualization,Modern data science,21st century,"nodes, signed edges, cluster boundaries","green positive, red negative","soft, organic layout",Tross's framework
STD-030,uniform lines,line_quality,"vector illustration, CAD drawing, technical line",Technical drafting,Engineering standards,Modern,"consistent width, no variation, precise endpoints","single color","no texture on lines",Geometric School standard
STD-031,variable lines,line_quality,"brush stroke, calligraphic line, hand-drawn",Traditional illustration,East Asian brush work,Historic-ongoing,"thick-thin variation, organic movement, breathing line","single color, variable opacity","brush texture visible",Organic School standard
STD-032,contour lines,line_quality,"topographic line, elevation marker, isoline",Cartographic convention,USGS maps,Modern,"thin, evenly spaced, closed curves, elevation labeled","single muted color","paper texture shows through",Cartographic Guild standard
STD-033,archival white,background,"museum white, gallery wall, specimen background",Museum display,Natural history collections,Modern,"pure white, neutral, non-distracting","#FFFFFF","smooth, matte paper",Archive standard
STD-034,parchment,background,"aged paper, vellum, antique document",Historical documents,Medieval manuscripts,Medieval-Renaissance,"warm cream, slight texture, aged quality","#F5DEB3, #DEB887","visible paper grain, aged spots",Cartographic tradition
STD-035,warm gradient,background,"sunset gradient, warm wash, amber tone",Traditional painting,Turner (skies),19th century romanticism,"subtle transition, warm to cool, atmospheric","#FEFCBF to white","soft, painterly",Organic School background
STD-036,bird's eye view,projection,"aerial view, overhead perspective, map view",Cartographic standard,Satellite imagery concept,Modern,"looking down, flat earth assumed, no horizon","neutral lighting assumed","no perspective distortion",Cartographic Guild projection
STD-037,orthographic,projection,"technical drawing, blueprint perspective, flat projection",Engineering standard,Technical illustration,Modern,"no perspective, parallel projection, flat","even lighting","no shadows (usually)",Geometric School projection
STD-038,natural perspective,projection,"human viewpoint, standing observer, eye-level",Traditional art,Renaissance perspective,Renaissance-ongoing,"single vanishing point, natural eye level","natural lighting","atmospheric perspective",Organic School projection
STD-039,flat lighting,lighting,"even illumination, diagram lighting, no shadows",Technical illustration,Engineering standards,Modern,"no directional light, even brightness, no mood","high-key, no shadow colors","eliminates texture",Geometric School standard
STD-040,terrain shading,lighting,"hillshade, relief shading, topographic lighting",Cartographic technique,USGS shaded relief,Modern,"northwest light source (convention), elevation shadows","warm highlights, cool shadows","emphasizes elevation",Cartographic Guild standard
