circuit_id,circuit_name,year,analyzer,model_name,circuit_type,input_features,output_features,intermediate_features,num_components,path_length,circuit_function,accuracy_when_ablated,accuracy_original,necessity_score,sufficiency_score,redundancy,interpretability_score,densworld_analog,federation_type,delegation_pattern,notes
CIRC-001,Modular Addition Core,922,Prenn Vash,grok_alpha,computational,input_a|input_b,output_sum,fourier_components,5,3,modular_addition,0.12,0.99,0.88,0.92,low,0.95,Federation Core,hierarchical,sequential,Main computation circuit
CIRC-002,Fourier Component Encoder,922,Prenn Vash,grok_alpha,encoding,input_token,cos_components|sin_components,embedding,3,2,fourier_transform,0.34,0.99,0.66,0.89,low,0.91,Form Encoder,parallel,broadcast,Encodes inputs as Fourier components
CIRC-003,Position Encoder,922,Prenn Vash,grok_alpha,encoding,position_token,position_embedding,none,2,1,position_encoding,0.78,0.99,0.22,0.95,high,0.88,Position Mapper,independent,direct,Simple position embedding
CIRC-004,Trig Identity Computer,922,Prenn Vash,grok_alpha,computational,cos_a|sin_a|cos_b|sin_b,cos_sum|sin_sum,product_terms,7,4,trig_identity,0.15,0.99,0.85,0.94,low,0.97,Resonance Calculator,hierarchical,tree,cos(a+b) = cos(a)cos(b) - sin(a)sin(b)
CIRC-005,Output Decoder,922,Prenn Vash,grok_alpha,decoding,fourier_result,output_logits,projection,2,1,argmax_decode,0.23,0.99,0.77,0.91,medium,0.89,Result Projector,independent,direct,Projects to vocabulary
CIRC-006,Attention Router,923,Prenn Vash,grok_alpha,routing,query|key,attention_pattern,qk_product,4,2,information_routing,0.45,0.99,0.55,0.87,medium,0.82,Information Router,distributed,all_to_all,Routes information between positions
CIRC-007,Value Composer,923,Prenn Vash,grok_alpha,composition,values|attention,composed_output,weighted_sum,3,2,value_composition,0.38,0.99,0.62,0.88,medium,0.85,Value Mixer,centralized,gather,Composes values using attention
CIRC-008,Residual Adder,923,Prenn Vash,grok_alpha,structural,input|layer_output,residual_output,none,2,1,residual_add,0.67,0.99,0.33,0.98,high,0.92,Stream Joiner,parallel,merge,Adds residual connection
CIRC-009,MLP Nonlinearity,923,Prenn Vash,grok_alpha,computational,linear_input,nonlinear_output,hidden_activation,3,2,relu_transform,0.34,0.99,0.66,0.89,low,0.78,Transform Gate,sequential,sequential,Applies nonlinearity
CIRC-010,Frequency 5 Circuit,923,Prenn Vash,grok_alpha,specialized,input_pair,freq5_component,cos5|sin5,4,3,frequency_extraction,0.89,0.99,0.11,0.34,high,0.94,Fifth Harmonic,independent,specialized,Extracts frequency 5 component
CIRC-011,Frequency 7 Circuit,923,Prenn Vash,grok_alpha,specialized,input_pair,freq7_component,cos7|sin7,4,3,frequency_extraction,0.87,0.99,0.13,0.38,high,0.93,Seventh Harmonic,independent,specialized,Extracts frequency 7 component
CIRC-012,Frequency 11 Circuit,923,Prenn Vash,grok_alpha,specialized,input_pair,freq11_component,cos11|sin11,4,3,frequency_extraction,0.88,0.99,0.12,0.36,high,0.92,Eleventh Harmonic,independent,specialized,Extracts frequency 11 component
CIRC-013,Prime Frequency Combiner,923,Prenn Vash,grok_alpha,integration,freq5|freq7|freq11|others,combined_signal,weighted_combination,6,2,frequency_combination,0.23,0.99,0.77,0.91,low,0.89,Harmonic Synthesizer,centralized,reduce,Combines frequency components
CIRC-014,Error Correction,924,Prenn Vash,grok_alpha,auxiliary,prediction|residual,corrected_output,error_signal,4,2,error_correction,0.92,0.99,0.08,0.12,high,0.67,Correction Module,feedback,iterative,Minor error correction circuit
CIRC-015,Memorization Circuit,924,Prenn Vash,grok_beta_pretrain,memorization,input_pair,memorized_output,lookup_table,2,1,direct_lookup,0.56,0.95,0.44,0.78,medium,0.34,Memory Bank,direct,lookup,Pre-grokking memorization circuit
CIRC-016,Hybrid Circuit,924,Prenn Vash,grok_transition,transitional,input_pair,output,mem_path|algo_path,8,4,hybrid_computation,0.34,0.97,0.66,0.82,medium,0.56,Dual Path,parallel,competing,Mid-grokking hybrid circuit
CIRC-017,Clean Algorithm,924,Prenn Vash,grok_alpha,algorithmic,input_pair,output,pure_fourier,5,3,pure_algorithm,0.11,0.99,0.89,0.95,low,0.98,Pure Computation,hierarchical,sequential,Post-grokking clean circuit
CIRC-018,Copy Circuit,924,Prenn Vash,grok_alpha,information,source_position,target_position,attention_path,3,2,information_copy,0.78,0.99,0.22,0.89,high,0.91,Copy Mechanism,point_to_point,direct,Copies information between positions
CIRC-019,Induction Head,924,Prenn Vash,grok_alpha,pattern,pattern_context,pattern_completion,key_value_match,5,3,pattern_matching,0.67,0.99,0.33,0.78,medium,0.84,Pattern Matcher,associative,content_addressed,Basic induction mechanism
CIRC-020,QK Position Circuit,925,Prenn Vash,grok_alpha,positional,query_position|key_position,attention_score,qk_dot,4,2,position_attention,0.56,0.99,0.44,0.82,medium,0.79,Position Scorer,bilinear,multiplicative,Position-based attention
CIRC-021,OV Composition,925,Prenn Vash,grok_alpha,composition,value|output_weights,composed_value,ov_product,3,2,value_transform,0.45,0.99,0.55,0.87,medium,0.83,Value Transformer,linear,projection,Output-value composition
CIRC-022,Full Addition Circuit,925,Prenn Vash,grok_alpha,complete,raw_input,final_output,all_components,15,6,full_modular_add,0.02,0.99,0.98,0.99,low,0.91,Complete System,hierarchical,full_pipeline,Full circuit for modular addition
CIRC-023,Ablation Study A,925,Prenn Vash,grok_alpha,experimental,varies,varies,varies,varies,varies,ablation_test,varies,0.99,varies,varies,varies,na,Ablation Record,na,na,Systematic ablation experiments
CIRC-024,Redundancy Analysis,925,Prenn Vash,grok_alpha,analysis,multiple_paths,same_output,redundant_circuits,na,na,redundancy_check,varies,0.99,na,na,high,na,Redundancy Map,parallel,redundant,Multiple paths to same computation
CIRC-025,Minimal Circuit,925,Prenn Vash,grok_alpha,minimal,input_pair,output,essential_only,4,3,minimal_add,0.15,0.95,0.85,0.91,none,0.96,Essence,minimal,pruned,Minimum sufficient circuit
