enrollment_id,student_id,semester_id,final_grade,grade_points,assignment_content_type,grade_note
ENR0001,S001,SEM01,A,4.0,minimal_effort,
ENR0002,S001,SEM02,A,4.0,copied_homework,
ENR0003,S001,SEM03,A,4.0,doodles,
ENR0004,S001,SEM04,A,4.0,legitimate_work,
ENR0005,S001,SEM05,A,4.0,minimal_effort,
ENR0006,S001,SEM06,B,3.0,legitimate_work,Unexplained deviation from pattern
ENR0007,S001,SEM07,A,4.0,legitimate_work,
ENR0008,S001,SEM08,A,4.0,minimal_effort,
ENR0009,S002,SEM05,A,4.0,copied_homework,
ENR0010,S002,SEM06,A,4.0,legitimate_work,
ENR0011,S002,SEM07,A,4.0,copied_homework,
ENR0012,S002,SEM08,A,4.0,legitimate_work,
ENR0013,S003,SEM05,A,4.0,nonsense_scribbles,
ENR0014,S003,SEM06,A,4.0,nonsense_scribbles,
ENR0015,S003,SEM07,A,4.0,legitimate_work,
ENR0016,S003,SEM08,A,4.0,legitimate_work,
ENR0017,S004,SEM06,A,4.0,legitimate_work,
ENR0018,S004,SEM07,A,4.0,legitimate_work,
ENR0019,S004,SEM08,A,4.0,copied_homework,
ENR0020,S005,SEM07,B,3.0,minimal_effort,"The most bittersweet, and highest, grade ever received"
ENR0021,S005,SEM08,A,4.0,minimal_effort,
ENR0022,S006,SEM06,A,4.0,legitimate_work,
ENR0023,S007,SEM07,A,4.0,blank_with_name,
ENR0024,S008,SEM07,A,4.0,copied_homework,
ENR0025,S008,SEM08,A,4.0,minimal_effort,
ENR0026,S009,SEM07,A,4.0,legitimate_work,
ENR0027,S009,SEM08,A,4.0,minimal_effort,
ENR0028,S010,SEM08,A,4.0,legitimate_work,
ENR0029,S011,SEM07,A,4.0,minimal_effort,
ENR0030,S011,SEM08,A,4.0,legitimate_work,
ENR0031,S012,SEM05,A,4.0,minimal_effort,
ENR0032,S013,SEM05,A,4.0,copied_homework,
ENR0033,S014,SEM06,B,3.0,nonsense_scribbles,Unexplained deviation from pattern
ENR0034,S014,SEM07,A,4.0,legitimate_work,
ENR0035,S015,SEM06,A,4.0,minimal_effort,
ENR0036,S016,SEM06,A,4.0,minimal_effort,
ENR0037,S016,SEM08,A,4.0,legitimate_work,
ENR0038,S017,SEM05,A,4.0,minimal_effort,
ENR0039,S018,SEM02,A,4.0,nonsense_scribbles,
ENR0040,S018,SEM08,A,4.0,doodles,
ENR0041,S019,SEM04,A,4.0,nonsense_scribbles,
ENR0042,S019,SEM07,A,4.0,copied_homework,
ENR0043,S020,SEM05,A,4.0,blank_with_name,
ENR0044,S020,SEM06,A,4.0,blank_with_name,
ENR0045,S021,SEM08,A,4.0,legitimate_work,
ENR0046,S022,SEM02,A,4.0,minimal_effort,
ENR0047,S023,SEM04,A,4.0,nonsense_scribbles,
ENR0048,S024,SEM04,A,4.0,minimal_effort,
ENR0049,S025,SEM07,A,4.0,copied_homework,
ENR0050,S026,SEM08,A,4.0,nonsense_scribbles,
ENR0051,S027,SEM07,A,4.0,legitimate_work,
ENR0052,S028,SEM07,A,4.0,legitimate_work,
ENR0053,S028,SEM08,A,4.0,legitimate_work,
ENR0054,S029,SEM05,A,4.0,nonsense_scribbles,
