region_id,quadrant,resonance_mode,mode_frequency,characteristic_phenomenon,mode_strength,prediction_stability,keth_notation,cord_translation,extraction_confidence,notes
NE-1,NE,fourth_harmonic,1.9298,dissolution,0.12,0.626,ω₅ (fourth overtone),quinary oscillation,beta,Weak mode; extraction uncertain
NE-1,NE,fundamental,1.0473,stability,0.18,0.757,ω₁ (bass tone),primary oscillation mode,gamma,Weak fundamental indicates plateau geometry
NE-1,NE,edge_mode,1.3685,boundary_drift,0.459,0.615,ωₑ (boundary influence),boundary coupling term,gamma,Strong edge mode indicates basin influence
NE-2,NE,third_harmonic,0.1592,wandering,0.174,0.467,ω₄ (third overtone),quaternary oscillation,beta,Weak mode; extraction uncertain
NE-2,NE,first_harmonic,0.8571,attention,0.204,0.554,ω₂ (first overtone),secondary oscillation,alpha,
NE-2,NE,edge_mode,1.8382,boundary_drift,0.544,0.607,ωₑ (boundary influence),boundary coupling term,beta,Strong edge mode indicates basin influence
NE-3,NE,first_harmonic,0.676,attention,0.18,0.547,ω₂ (first overtone),secondary oscillation,alpha,Weak mode; extraction uncertain
NE-3,NE,second_harmonic,2.364,confusion,0.135,0.451,ω₃ (second overtone),tertiary oscillation,gamma,Weak mode; extraction uncertain
NE-3,NE,fundamental,2.2568,stability,0.134,0.783,ω₁ (bass tone),primary oscillation mode,beta,Weak fundamental indicates plateau geometry
NE-4,NE,first_harmonic,2.1989,attention,0.349,0.598,ω₂ (first overtone),secondary oscillation,beta,
NE-4,NE,edge_mode,1.2686,boundary_drift,0.457,0.626,ωₑ (boundary influence),boundary coupling term,alpha,Strong edge mode indicates basin influence
NE-4,NE,third_harmonic,0.1358,wandering,0.154,0.517,ω₄ (third overtone),quaternary oscillation,beta,Weak mode; extraction uncertain
NE-5,NE,second_harmonic,2.2073,confusion,0.312,0.58,ω₃ (second overtone),tertiary oscillation,gamma,
NE-5,NE,fourth_harmonic,0.1227,dissolution,0.191,0.538,ω₅ (fourth overtone),quinary oscillation,alpha,Weak mode; extraction uncertain
