observation_id,expression_name,lambda_notation,behavior,reduction_length,pattern_detected,dens_proximity,year_observed,observer,risk_assessment,notes
FPO-001,Omega,((λx.(x x)) (λx.(x x))),diverges,-1,reduces_to_self,dens_adjacent,752,Kelleth Mund,high,The fundamental non-terminating passage - reduces to itself indefinitely
FPO-002,Triple Omega,((λx.(x x x)) (λx.(x x x))),diverges,-1,exponential_growth,dens_adjacent,755,Kelleth Mund,catastrophic,Diverges faster than Omega - each step triples applications
FPO-003,Y Combinator,λf.((λx.(f (x x))) (λx.(f (x x)))),cycles,-1,controlled_recursion,stable_region,752,Kelleth Mund,moderate,Fixed point combinator - enables useful recursion when applied
FPO-004,Z Combinator,λf.((λx.(f (λv.((x x) v)))) (λx.(f (λv.((x x) v))))),cycles,-1,delayed_recursion,stable_region,753,Kelleth Mund,low,Call-by-value fixed point - safer than Y
FPO-005,Theta,((λx.λy.(y ((x x) y))) (λx.λy.(y ((x x) y)))),cycles,-1,turing_fixpoint,stable_region,758,Kelleth Mund,moderate,Turing's fixed point combinator
FPO-006,Weak Omega,λx.(x (x x)),terminates,3,stable_on_I,boundary,755,Kelleth Mund,moderate,Terminates on identity but diverges on self
FPO-007,Divergent Self,λx.((x x) (x x)),diverges,-1,double_self_app,dens_adjacent,755,Kelleth Mund,high,Double self-application - chaotic divergence
FPO-008,K on Omega,((λx.λy.x) a Omega),terminates,2,discards_divergent,stable_region,752,Kelleth Mund,low,K discards Omega - laziness saves computation
FPO-009,Constant Omega,(λx.Omega),diverges,-1,always_diverges,dens_adjacent,752,Kelleth Mund,catastrophic,Returns Omega regardless of input
FPO-010,Delayed Omega,λx.(λy.((y y) (y y))) x,terminates,1,delays_chaos,boundary,765,Marden Krey,moderate,Returns an abstraction containing Omega pattern
FPO-011,Factorial via Y,(Y (λf.λn.(IF (ISZERO n) 1 (MULT n (f (PRED n)))))),terminates,variable,useful_recursion,stable_region,754,Kelleth Mund,low,Factorial - productive use of fixed points
FPO-012,Fibonacci via Y,(Y (λf.λn.(IF (LEQ n 1) n (PLUS (f (SUB n 1)) (f (SUB n 2)))))),terminates,variable,double_recursion,stable_region,754,Kelleth Mund,low,Fibonacci - branching recursion
FPO-013,GCD via Y,(Y (λf.λm.λn.(IF (ISZERO n) m (f n (MOD m n))))),terminates,variable,euclidean_loop,stable_region,756,Kelleth Mund,low,Greatest common divisor
FPO-014,Infinite List,(Y (λf.(CONS 1 f))),diverges,-1,productive_stream,boundary,759,Brennis Mund,moderate,Infinite list of ones - productive but infinite
FPO-015,Self-Applying K,((λx.λy.x) (λx.λy.x)),terminates,1,idempotent,stable_region,745,Kelleth Mund,low,K applied to K terminates immediately
FPO-016,M on M,((λf.(f f)) (λf.(f f))),diverges,-1,M_is_omega,dens_adjacent,746,Jorell Vance,high,Mockingbird on itself equals Omega
