scholar_id,name,also_known_as,birth_year,death_year,birth_place,primary_affiliation,specialty,philosophical_school,known_associates,expeditions,major_works,manner_of_death,notes
SCH-001,Grigsu Haldo,Grigsu,847,891,Vellmarsh,Capital,word_theory,stone_school,"SCH-002,SCH-003,SCH-004,SCH-005",EXP-007,"MS-0012,MS-0034,MS-0089",expedition_casualty,"Massive frame, thick chest, beard. Died after returning from Yeller Quarry expedition. Final days marked by growling and cursing at neighbors."
SCH-002,Yasho Krent,Yasho,842,912,Capital,Capital,word_theory,water_school,"SCH-001,SCH-003,SCH-004,SCH-005",EXP-007,"MS-0008,MS-0045,MS-0067,MS-0102",natural,"Female. Called a towering intellect. Had disciples and money. Sharp tongue in debates."
SCH-003,Vagabu Olt,"Bagbu,Vag,Gab,Buva",851,,Unknown,Independent,cartography,none,"SCH-001,SCH-002,SCH-004,SCH-005","EXP-007,EXP-012","MS-0023,MS-0056,MS-0091",,"Wandering map-sketcher. Travels in a pickbox cart. Not a proper scholar by his own admission. Chronicler of the Grigsu circle."
SCH-004,Boffa Trent,Boffa,849,903,Capital,Capital,natural_philosophy,water_school,"SCH-001,SCH-002,SCH-003,SCH-005",,"MS-0019,MS-0078",natural,Member of the Grigsu-Yasho circle. Known for lengthy treatises on creature classification.
SCH-005,Mink Pavar,Mink,854,917,Capital,Capital,history,water_school,"SCH-001,SCH-002,SCH-003,SCH-004",,"MS-0031,MS-0044,MS-0099,MS-0156",natural,"Historian and archivist. Nursed resentment toward Grigsu after a kachot game dispute in 886. Later suspected of manuscript forgery."
SCH-006,Fibon Arrel,Fibon,819,882,Mirado,Mirado,word_theory,pebble_school,SCH-007,"","MS-0001,MS-0015,MS-0042",natural,"Inventor of the binary world puzzle. Lived alone in Mirado. Believed words are like pebbles, not drops of water."
SCH-007,Eulr Voss,Eulr,791,856,Mirado,Mirado,word_theory,water_school,SCH-006,,"MS-0003,MS-0004,MS-0005",natural,"The great thinker of Mirado. Codified the water-school position. Famous for saying words dissolve into the seventy pools."
SCH-008,Dannkit Rosh,Dannkit,838,899,Vellmarsh,Independent,linguistics,stone_school,SCH-001,,"MS-0088",natural,"Stonebreaker and part-linguist from Grigsu's village. Nearly deaf from hammering. Lost wife and children. Got Grigsu to talk in his final days."
SCH-009,Colonel Viragu,The Colonel,831,,Capital,Military,memoir,none,"SCH-010,SCH-011","EXP-001,EXP-003","MS-0061,MS-0062",,"Military commander. Sieging Mirado for 15-20 years. Connected to Yeller. Has largely stopped communicating with anyone but Fyncho."
SCH-010,Fyncho Delt,Fincho,845,,Northern Garrison,Military,memoir,none,SCH-009,"EXP-001,EXP-003","MS-0063",,"Lieutenant to Colonel Viragu. Only person the Colonel still speaks to. Loyalty is ambiguous."
SCH-011,Jorkin Mast,Jorkin,unknown,unknown,Unknown,Unknown,architecture,none,,,MS-0147,unknown,"Legendary figure. Subject of the paradox: if we discover Jorkin did not build the tower of Mirado, who is Jorkin?"
SCH-012,Hesta Vorn,Hesta,861,924,Capital,Capital,creature_taxonomy,none,"SCH-013,SCH-014","EXP-008,EXP-011","MS-0025,MS-0026,MS-0027",natural,Leading taxonomist of Yeller Quarry creatures. Trained under Boffa. Meticulous field notes.
SCH-013,Pollux Dann,Pollux,858,901,Tripas,Capital,creature_taxonomy,none,"SCH-012,SCH-014","EXP-008,EXP-009",MS-0028,expedition_casualty,Taxonomist. Died during the Ninth Expedition after encountering a stakdur in the lower marshes.
SCH-014,Renna Caw,Renna,867,931,Capital,Capital,creature_taxonomy,water_school,"SCH-012,SCH-013","EXP-011,EXP-014","MS-0029,MS-0030",natural,"Female. Applied water-school philosophy to taxonomy, arguing creature categories dissolve into one another."
SCH-015,Tomas Grell,Old Grell,802,869,Capital,Capital,cartography,none,"SCH-016,SCH-003",,MS-0055,natural,Elder cartographer. Trained Vagabu in map-sketching. Known for his maps of the Dens border regions.
SCH-016,Senna Grell,Senna,834,889,Capital,Capital,cartography,none,"SCH-015,SCH-003",EXP-006,"MS-0057,MS-0058",natural,Daughter of Tomas Grell. Continued his cartographic work. Specialized in Yeller Quarry route mapping.
SCH-017,Oric Valdun,Oric,871,939,Capital,Capital,legal,none,SCH-018,,"MS-0070,MS-0071,MS-0072",natural,Legal scholar specializing in expedition contracts and archivist licensing law.
SCH-018,Pella Valdun,Pella,875,942,Capital,Capital,legal,none,SCH-017,,"MS-0073,MS-0074",natural,Daughter of Oric. Continued his legal scholarship. Wrote extensively on family tree authentication.
SCH-019,Hamund Bress,Hamund,813,878,Northo,Independent,word_theory,stone_school,"SCH-001,SCH-008",,"MS-0035,MS-0036",natural,"Northern philosopher. Stone-school adherent. Corresponded with Grigsu. Believed words could be frozen in cold climates."
SCH-020,Vera Losh,Vera,856,911,Mirado,Mirado,word_theory,water_school,"SCH-007,SCH-021",,"MS-0009,MS-0010",natural,Female. Student of Eulr. Extended water-school theory to include the concept of word-evaporation.
SCH-021,Kell Sundar,Kell,862,918,Mirado,Mirado,natural_philosophy,pebble_school,"SCH-006,SCH-020",,"MS-0016,MS-0017",natural,Follower of Fibon. Applied pebble theory to the study of Mirado's seventy pools. Controversial figure.
SCH-022,Mara Yent,Mara,879,948,Capital,Capital,history,none,"SCH-005,SCH-023",,"MS-0046,MS-0047,MS-0048",natural,"Female. Historian of the Dens conquest. Student of Mink. Later discovered evidence of Mink's forgeries, but died before publishing."
SCH-023,Donal Crest,Donal,882,951,Capital,Capital,history,water_school,"SCH-005,SCH-022",,"MS-0049,MS-0050",natural,Historian focusing on Capital political history. Documented the Senate's relationship with expeditions.
SCH-024,Wen Torval,Wen,844,897,Miasto,Quarry,creature_taxonomy,none,SCH-025,"EXP-004,EXP-005","MS-0081,MS-0082",expedition_casualty,"Quarry-born taxonomist. Deep knowledge of creature habitats. Killed during the Fifth Expedition, devoured by a stakdur."
SCH-025,Jara Torval,Jara,847,919,Miasto,Quarry,creature_taxonomy,stone_school,SCH-024,"EXP-005,EXP-010","MS-0083,MS-0084",natural,"Sister of Wen. Continued his work after his death. Applied stone-school thinking to creature naming conventions."
SCH-026,Oben Marsh,Oben,869,922,Tripas,Capital,word_theory,stone_school,"SCH-001,SCH-019",,"MS-0037,MS-0038",natural,Late stone-school adherent. Attempted to reconcile Grigsu's views with empirical observation. Only partially successful.
SCH-027,Callis Fenn,Callis,833,884,Densmok,Independent,word_theory,literalist,SCH-028,,"MS-0039,MS-0040",disappeared,"Literalist philosopher. Argued all sides of a symbol must be visible at once. Disappeared during a solo expedition to the Dens border."
SCH-028,Roth Fenn,Roth,836,901,Densmok,Independent,word_theory,literalist,SCH-027,,"MS-0041",natural,Brother of Callis. Continued literalist work after his brother's disappearance. Less radical in his claims.
SCH-029,Nessa Bright,Nessa,888,959,Capital,Capital,word_theory,water_school,"SCH-002,SCH-020",,"MS-0011,MS-0103",natural,"Female. Third-generation water-school. Wrote the definitive refutation of stone-school philosophy, though some found it uncharitable."
SCH-030,Gareth Poll,Gareth,891,954,Capital,Capital,cartography,none,"SCH-003,SCH-016",EXP-015,"MS-0059,MS-0060",natural,Modern cartographer. Studied under Vagabu. Known for his detailed maps of Dead River region.
SCH-031,Tam Whistle,Tam,864,912,Northo,Independent,poetry,stone_school,SCH-019,,"MS-0120,MS-0121,MS-0122",natural,"Poet and songwriter. Applied stone-school thinking to verse, believing poems are assemblages of word-stones."
SCH-032,Lira Canto,Lira,872,935,Capital,Capital,poetry,water_school,SCH-029,,"MS-0123,MS-0124",natural,"Female. Poet. Water-school adherent. Famous for poems about dissolution and forgetting. Rival of Tam Whistle."
SCH-033,Venn Horak,The Scavenger,unknown,,Yeller Quarry,Quarry,creature_taxonomy,none,,"EXP-002,EXP-004","MS-0085,MS-0086",,"Aging scavenger living in the Quarry. One of four people who know something of Yeller. No known formal name. Called simply The Scavenger."
SCH-034,The Inventor,Wanderer,unknown,,The North,Independent,cartography,none,,,"MS-0090",,"Inventor wanderer from the North. One of four who know Yeller. Travels in a rolling vehicle of hide and bones. Makes maps and games, including a roving letters pattern game."
SCH-035,Pell Sontar,Pell,859,903,Capital,Capital,history,none,SCH-023,EXP-009,MS-0051,expedition_casualty,"Historian attached to the Ninth Expedition. Detailed chronicler. Died alongside Pollux Dann in the stakdur encounter."
SCH-036,Hork Staven,Hork,877,944,Capital,Capital,legal,none,SCH-017,,"MS-0075,MS-0076",natural,Legal scholar. Specialized in Yeller Quarry family tree disputes. Often called as expert witness in lineage cases.
SCH-037,Denna Vox,Denna,894,961,Capital,Capital,word_theory,pebble_school,SCH-021,,"MS-0018,MS-0104",natural,"Female. Late pebble-school adherent. Attempted to revive Fibon's theories in the Capital, with limited success."
SCH-038,Cort Madden,Cort,901,968,Capital,Capital,natural_philosophy,none,"SCH-012,SCH-014",EXP-016,"MS-0105,MS-0106",natural,Natural philosopher. Generalist. Known for synthesizing creature taxonomy with geographical survey data.
SCH-039,Renna Gast,Renna the Elder,811,867,Vellmarsh,Independent,word_theory,stone_school,SCH-008,,"MS-0033,MS-0087",natural,"Female. Early stone-school thinker from Grigsu's village. Codified the practice of casting stones after conversation. Dannkit's teacher."
SCH-040,Ulla Vant,Ulla,885,949,Mirado,Mirado,word_theory,water_school,SCH-020,,"MS-0107,MS-0108",natural,"Female. Late Mirado water-school. Wrote on the relationship between the seventy pools and the dissolution of meaning."
