change_id,change_name,entity_type,entity_id,original_substrate,new_substrate,substrate_overlap,change_type,change_duration_days,change_year,dens_proximity_km,pattern_preserved,pattern_fidelity,pattern_type,memory_source,memory_evidence,outcome,ghost_detected,ghost_strength,documenter,documentation_source,koss_reference,confidence,description,notes
SC-0001,Western Boundary Transition,pattern,EN-303,wood,stone,20.3,gradual_replacement,189,925,178.5,collective memory,0.427,composite,multiple_sources,pattern_analysis,drift,True,0.35,Quarry Guild Records,experimental_record,False,0.7,Substrate change case involving pattern with gradual_replacement process.,
SC-0002,Deep Tunnels Rebuilding,structure,EN-452,stable matter,collective minds,0.0,transfer,120,918,56.3,spatial relationships,0.91,memorial,form_library,no_evidence,perfect_persistence,False,,R. Voss,pattern_analysis,False,0.56,Substrate change case involving structure with transfer process.,
SC-0003,Old Survey Camp Change,phenomenon,EN-954,iron,stone,1.4,gradual_replacement,396,903,46.4,identity patterns,0.842,behavioral,substrate_imprint,theoretical_deduction,partial_persistence,False,,Archive Survey Team,historical_reconstruction,False,0.82,Substrate change case involving phenomenon with gradual_replacement process.,
SC-0004,Deep Tunnels Transformation,pattern,EN-941,iron,wood,4.6,catastrophic_loss,30,882,54.7,collective memory,0.506,memorial,spatial_memory,theoretical_deduction,drift,True,0.43,M. Tall,experimental_record,False,0.91,Substrate change case involving pattern with catastrophic_loss process.,
SC-0005,Mill Creek Change,collective,EN-324,dens-touched matter,wood,0.0,transfer,136,888,53.7,collective memory,0.725,identity,spatial_memory,direct_observation,partial_persistence,True,0.61,S. Moll,direct_observation,False,0.57,Substrate change case involving collective with transfer process.,
SC-0006,Eastern Ridge Change,place,EN-756,stable matter,dens-touched matter,26.5,collective_transition,15,901,194.2,collective memory,0.788,morphological,substrate_imprint,scavenger_testimony,partial_persistence,False,,T. Vells,collective_testimony,False,0.5,Substrate change case involving place with collective_transition process.,
SC-0007,Boundary Marker Seven Transition,pattern,,stone,clay,0.0,transfer,269,913,168.5,collective memory,0.58,morphological,unknown,theoretical_deduction,partial_persistence,False,,R. Voss,direct_observation,False,0.55,Substrate change case involving pattern with transfer process.,
SC-0008,Northern Quarry Reconstruction,structure,EN-228,living tissue,iron,0.0,transfer,50,888,175.7,operational patterns,0.62,composite,spatial_memory,pattern_analysis,ghost_formation,True,0.77,T. Vells,historical_reconstruction,False,0.74,Substrate change case involving structure with transfer process.,
SC-0009,Boundary Marker Seven Transformation,collective,EN-353,iron,iron,35.6,regeneration,353,894,80.4,collective memory,0.937,morphological,substrate_imprint,direct_observation,perfect_persistence,False,,C. Vells,pattern_analysis,False,0.6,Substrate change case involving collective with regeneration process.,
SC-0010,Third Mill Transition,place,EN-584,stone,living tissue,25.8,gradual_replacement,343,895,15.1,relational dynamics,0.501,relational,spatial_memory,experimental_inference,drift,True,0.29,M. Tall,direct_observation,False,0.8,Substrate change case involving place with gradual_replacement process.,
SC-0011,Third Mill Rebuilding,structure,EN-573,stone,stone,3.0,regeneration,65,895,145.9,operational patterns,0.577,morphological,spatial_memory,pattern_analysis,partial_persistence,False,,M. Tall,direct_observation,True,0.79,Substrate change case involving structure with regeneration process.,
SC-0012,Western Boundary Transition,collective,EN-902,stable matter,dens-touched matter,0.0,transfer,215,930,96.8,identity patterns,0.066,relational,substrate_imprint,scavenger_testimony,pattern_conflict,False,,K. Strand,collective_testimony,True,0.57,Substrate change case involving collective with transfer process.,
SC-0013,Boundary Marker Seven Reconstruction,structure,EN-290,collective minds,living tissue,1.5,gradual_replacement,973,884,95.9,functional form,0.916,identity,form_library,no_evidence,perfect_persistence,False,,Archive Survey Team,collective_testimony,False,0.55,Substrate change case involving structure with gradual_replacement process.,
SC-0014,Old Survey Camp Transition,collective,EN-423,stable matter,collective minds,28.0,gradual_replacement,833,928,41.6,relational dynamics,0.372,morphological,form_library,scavenger_testimony,drift,False,,C. Vells,pattern_analysis,False,0.95,Substrate change case involving collective with gradual_replacement process.,
SC-0015,The Regenerated Tunnel_Cat,creature,,stone,iron,3.7,catastrophic_loss,27,880,32.4,hunting instincts,0.781,composite,unknown,theoretical_deduction,partial_persistence,False,,M. Tall,experimental_record,False,0.62,Substrate change case involving creature with catastrophic_loss process.,
SC-0016,The Restored Deep_Crawler,creature,,iron,collective minds,10.2,collective_transition,145,885,127.2,hunting instincts,0.949,composite,spatial_memory,theoretical_deduction,perfect_persistence,False,,S. Moll,direct_observation,False,0.65,Substrate change case involving creature with collective_transition process.,
SC-0017,Mill Creek Transformation,place,EN-230,stable matter,living tissue,1.1,catastrophic_loss,23,882,189.1,identity patterns,0.718,memorial,substrate_imprint,direct_observation,partial_persistence,False,,Independent Observer,experimental_record,False,0.81,Substrate change case involving place with catastrophic_loss process.,
