function_id,function_name,domain_type,codomain_family,notation,densworld_notation,example_application,result_type,discoverer,year,event_id,notes
DF-001,zeroes,Nat,"λn.Vec(n)","zeroes : Π(n:Nat).Vec(n)","zeroes : Π(n:Nat).Vec(n)","zeroes(3)","Vec(3)",sereth_linn,888,EV-888-002,"Returns n zeros. The type guarantees the result has exactly n elements."
DF-002,append,Vec(m) × Vec(n),"λ(m,n).Vec(m+n)","append : Π(m n:Nat).Vec(m) → Vec(n) → Vec(m+n)","join : Π(m n:Nat).Vec(m) → Vec(n) → Vec(m+n)","append(3,2,[a,b,c],[d,e])","Vec(5)",sereth_linn,889,EV-888-002,"Appends two vectors. Result type depends on sum of input lengths."
DF-003,head,Vec(n) where n > 0,A,"head : Π(n:Nat).Vec(Succ(n)) → A","first : Π(n:Nat).Vec(Succ(n)) → A","head(2,[x,y,z])","A",sereth_linn,890,EV-890-005,"Returns first element. Requires proof that list is non-empty."
DF-004,tail,Vec(n) where n > 0,"λn.Vec(n-1)","tail : Π(n:Nat).Vec(Succ(n)) → Vec(n)","rest : Π(n:Nat).Vec(Succ(n)) → Vec(n)","tail(2,[x,y,z])","Vec(2)",sereth_linn,890,EV-890-005,"Returns all but first. Result type decreases by 1."
DF-005,lookup,Fin(n) × Vec(n),A,"lookup : Π(n:Nat).Fin(n) → Vec(n) → A","select : Π(n:Nat).Fin(n) → Vec(n) → A","lookup(3,2,[a,b,c])","A",sereth_linn,891,EV-890-005,"Looks up element at index. Index type guarantees bounds safety."
DF-006,replicate,A × Nat,"λn.Vec(n)","replicate : Π(n:Nat).A → Vec(n)","repeat : Π(n:Nat).A → Vec(n)","replicate(5,'x')","Vec(5)",sereth_linn,892,EV-890-005,"Makes n copies of a value."
DF-007,zip,Vec(n) × Vec(n),"λn.Vec(n)","zip : Π(n:Nat).Vec(n) → Vec(n) → Vec(n)","pair : Π(n:Nat).Vec(n) → Vec(n) → Vec(n)","zip(3,[a,b,c],[1,2,3])","Vec(3)",sereth_linn,893,EV-893-004,"Zips two vectors of same length."
DF-008,identity_proof,A,Eq(a,a),"refl : Π(A:Type)(a:A).Eq(a,a)","witness : Π(A:Type)(a:A).Eq(a,a)","refl(Nat,5)","Eq(5,5)",sereth_linn,901,EV-901-003,"Proof that every value equals itself."
DF-009,transport,Eq(a,b) × P(a),P(b),"transport : Π(a b:A).Eq(a,b) → P(a) → P(b)","carry : Π(a b:A).Eq(a,b) → P(a) → P(b)","transport(3,3,refl,even3)","P(b)",sereth_linn,902,EV-901-003,"If a=b and P(a) holds, then P(b) holds."
DF-010,double_even,Nat,Even(n+n),"double_even : Π(n:Nat).Even(n+n)","twice_even : Π(n:Nat).Even(n+n)","double_even(3)","Even(6)",sereth_linn,909,EV-908-003,"Proof that n+n is always even."
DF-011,sorted_insert,Sorted(xs) × Nat,"Sorted(insert(n,xs))","sorted_insert : Π(xs:List Nat).Sorted(xs) → Nat → Sorted(insert(n,xs))","ordered_add : Π(xs:List Nat).Sorted(xs) → Nat → Sorted(insert(n,xs))","sorted_insert([1,3],sorted_pf,2)","Sorted([1,2,3])",sereth_linn,910,EV-908-003,"Inserting into sorted list preserves sortedness."
DF-012,stakdur_phase_transition,Stakdur_Phase(n),Stakdur_Phase((n+1) mod 5),"next_phase : Π(n:Fin(5)).Stakdur_Phase(n) → Stakdur_Phase((n+1) mod 5)","advance : Π(n:Fin(5)).Stakdur_Phase(n) → Stakdur_Phase((n+1) mod 5)","next_phase(3,record)","Stakdur_Phase(4)",pollus_brent,911,EV-912-010,"Type-level encoding of Quintic Cycle transitions."
