link_id,concept_id,scholar_name,scholar_id,relationship_type,contribution_type,contribution_year,validation_status,debate_position,notes
CSL-001,CON-001,Vornis Keth,SCH-KETH,developer,foundational,unknown,validated,originator,"Primary developer of Basin Topology."
CSL-002,CON-002,Vornis Keth,SCH-KETH,developer,foundational,1851,validated,originator,"Created Resonance Calculus."
CSL-003,CON-003,Vornis Keth,SCH-KETH,developer,theoretical,1855,validated,originator,"Developed Topology as Prophecy."
CSL-004,CON-003,Thenna Keth,SCH-TKETH,validator,validation,unknown,validated,supporter,"Great-granddaughter validated predictions."
CSL-005,CON-003,Prebel Cord,GM-018,reconstructor,methodological,unknown,validated,supporter,"Reconstructed Keth's predictive method."
CSL-006,CON-004,Vornis Keth,SCH-KETH,developer,foundational,unknown,validated,originator,"Identified vigilance parameters."
CSL-007,CON-005,Vornis Keth,SCH-KETH,debater,theoretical,unknown,debated,continuous,"Argued for continuous transitions."
CSL-008,CON-005,Archon Prebel,SCH-PREBEL,debater,theoretical,unknown,debated,discrete,"Argued for discrete breaches."
CSL-009,CON-001,Smint Corpo,SCH-CORPO,critic,critique,unknown,debated,skeptic,"Criticized Keth's framework."
CSL-010,CON-001,Kerith Moll,GM-002,assessor,assessment,unknown,validated,neutral,"Guild Master assessed Keth's work."
CSL-011,CON-006,Pemlik Tross,SCH-TROSS,developer,foundational,unknown,validated,originator,"Primary developer of Constellation Method."
CSL-012,CON-007,Pemlik Tross,SCH-TROSS,developer,component,unknown,validated,originator,"Developed Tension Fields concept."
CSL-013,CON-008,Pemlik Tross,SCH-TROSS,developer,component,unknown,validated,originator,"Developed Harmonic Projection."
CSL-014,CON-009,Erris Pol,SCH-POL,developer,theoretical,unknown,hypothetical,originator,"Proposed Form Library Hypothesis."
CSL-015,CON-010,Archon Vells,SCH-VELLS,developer,theoretical,unknown,theoretical,originator,"Developed Ingression Theory."
CSL-016,CON-011,Pell Anster,SCH-ANSTER,developer,foundational,unknown,validated,originator,"Created TAME Hierarchy."
CSL-017,CON-011,Jackson,STU-JACKSON,anomaly,anomaly,unknown,anomaly,unclassifiable,"Broke Anster's classification system."
CSL-018,CON-012,Mira Strand,SCH-STRAND,developer,foundational,unknown,validated,originator,"Developed Cognitive Horizons framework."
CSL-019,CON-013,Sareth Moll,SCH-SMOLL,developer,foundational,unknown,validated,originator,"Developed Ghost Persistence Theory."
CSL-020,CON-014,Rellen Voss,SCH-RVOSS,developer,foundational,unknown,validated,originator,"Developed Navigation Resonance."
CSL-021,CON-015,Tessyn Mord,SCH-MORD,developer,foundational,unknown,validated,originator,"Developed Federation Theory."
CSL-022,CON-016,Kella Vorn,SCH-KVORN,developer,foundational,unknown,validated,originator,"Developed Taxonomy of Failure."
CSL-023,CON-016,Jackson,STU-JACKSON,anomaly,anomaly,unknown,anomaly,unclassifiable,"Paradigmatic failure of classification."
CSL-024,CON-017,Tobin Creel,SCH-CREEL,developer,theoretical,unknown,theoretical,originator,"Developed Observer Access Theory."
CSL-025,CON-018,Pollus Brent,SCH-PBRENT,developer,applied,unknown,validated,originator,"Developed Creature Grammar."
CSL-026,CON-019,Lurra Venn,GM-014,developer,classification,unknown,disputed,originator,"Proposed Journey Archetypes."
CSL-027,CON-019,Meck Drune,GM-015,critic,critique,unknown,disputed,anti_archetype,"Counter-argued archetype proposal."
CSL-028,CON-019,Vagabu Olt,SCH-003,commentator,synthesis,unknown,nuanced,moderate,"Patterns are rhythms not cages."
CSL-029,CON-020,Prebel,GM-001,codifier,institutional,unknown,institutional,originator,"Guild Master authored Dens Principles."
CSL-030,CON-021,Prebel Cord,GM-018,discoverer,observation,unknown,observed,originator,"Identified Prebel Effect."
CSL-031,CON-022,Vorn Kellam,TT-001,developer,principle,unknown,adopted,originator,"Developed Kellam's First Rule."
CSL-032,CON-023,Tennev Crost,SCH-CROST,discoverer,discovery,unknown,validated,originator,"Discovered reflexive subjects through Jackson."
CSL-033,CON-023,Jackson,STU-JACKSON,exemplar,exemplar,unknown,validated,exemplar,"Primary example of reflexive subject."
CSL-034,CON-009,Pell Anster,SCH-ANSTER,applier,application,unknown,validated,user,"Applied Form Library to mind classification."
CSL-035,CON-009,Kella Vorn,SCH-KVORN,applier,application,unknown,validated,user,"Applied Form Library to failure taxonomy."
CSL-036,CON-001,Pemlik Tross,SCH-TROSS,parallel,independent,unknown,validated,independent,"Never met Keth but worked on related problems."
CSL-037,CON-012,Sareth Moll,SCH-SMOLL,applier,application,unknown,validated,user,"Applied Cognitive Horizons to memory theory."
CSL-038,CON-015,Kella Vorn,SCH-KVORN,applier,application,unknown,validated,user,"Applied Federation Theory to failure analysis."
CSL-039,CON-011,Erris Pol,SCH-POL,applier,application,unknown,validated,user,"Applied hierarchy to Form Library access."
CSL-040,CON-016,Pell Anster,SCH-ANSTER,applier,application,unknown,validated,user,"Applied failure taxonomy to classification limits."
