entry_id,creature_name,aliases,habitat_observed,behavior_notes,danger_assessment,diet_observed,size_category,specimen_collected,observation_location,observation_year,observer,confidence_level,notes
HV-001,Wharvers,,The Dens,"Subterranean movement patterns; emerges at irregular intervals",MODERATE,Unknown - no feeding observed,Medium,No,Dens southern boundary,872,Hesta Vorn,Low,"Difficult to observe; retreats before approach. No complete specimen obtained."
HV-002,Stonefrogs,,The Dens,"Sessile for extended periods; sudden bursts of activity",LOW,Appears to filter particulates from muck,Small,Yes (3),Dens edge pools,867,Hesta Vorn,Medium,"Stone-like camouflage effective. Specimens captured in edge pools only."
HV-003,Gritsmucks,,The Dens,"Collective movement in loose swarms; avoids direct light",LOW,Detritivore - consumes densash,Tiny,Yes (12),Dens surface muck,865,Hesta Vorn,High,"Abundant at Dens periphery. Swarm behavior well-documented."
HV-004,Rock-finned Eels,,The Dens (aquatic),"Burrowing in subaquatic muck; fins appear minerite",MODERATE,Carnivorous - observed consuming stonefrogs,Medium-Large,Yes (1),Dens subterranean pools,879,Hesta Vorn,Medium,"Single specimen; rock-like fin structure unique. Deep habitat limits observation."
HV-005,Gutzler,Gobbly sprant,Capital outskirts,"Scavenging near settlements; nocturnal primarily",LOW,Omnivore - refuse and small prey,Small-Medium,Yes (2),Capital northern boundary,861,Hesta Vorn,High,"Tucker of Capital provided specimen location. Well-documented in urban periphery."
HV-006,Greybeakeels,,Dens edge pools,"Pool-dwelling; rarely surfaces",LOW,Filter feeder suspected,Medium,No,Dens edge - western approach,884,Hesta Vorn,Low,"Kept in pools by local crews. No wild specimen obtained."
HV-007,Hogfoots,,Dens edge pasture,"Grazing behavior; slow-moving; gregarious",LOW,Herbivore - grasses and muck-plants,Large,No,Dens edge - Quarry approach,886,Hesta Vorn,Medium,"Domesticated by edge settlements. Wild populations unconfirmed."
HV-008,Toadpipes,,Dens edge pasture,"Vocal at dusk; burrowing during day",LOW,Insectivore,Small,Yes (4),Dens edge - northern approach,883,Hesta Vorn,High,"Distinctive pipe-like calls. Specimens readily captured."
HV-009,Densfowl,,The Dens,"Flocking; roosts in scattered trees",LOW,Omnivore - seeds and small creatures,Small,Yes (6),Dens interior - scattered trees,869,Hesta Vorn,High,"Common. Multiple specimens across years."
HV-010,Barkbound Creatures,,Densmuck surface,"Rapid scurrying; adheres to muck crust",LOW,Detritivore,Tiny,Yes (8),Dens surface,871,Hesta Vorn,High,"Surface-dwelling. Easy to capture when muck crust stable."
HV-011,Shifties,Brambly shifties,Dens surface,"Shifting movement; difficult to track",LOW,Unknown,Small,No,Dens interior,877,Hesta Vorn,Low,"Movement pattern defies prediction. No specimen captured."
HV-012,Granite Wren,Basalt wren,Dens tunnels,"Wings flap unnoticeably; inhabits tunnel air currents",LOW,Insectivore presumed,Tiny,Yes (2),Dens tunnel entrance,891,Hesta Vorn,Medium,"Breathes tunneled air. Rare captures at tunnel mouths."
HV-013,Ellichs,,Capeast,"Hibernating carriers; transports blocks during waking periods",LOW,Unknown - possibly photosynthetic during dormancy,Large,No,Capeast hills,894,Field assistant (Queever),Low,"Report from Capeast expedition. No direct observation by compiler."
HV-014,Wood Turtle,,Yeller Quarry,"Ligneous structure; slow-moving",LOW,Herbivore,Medium,Yes (1),Quarry eastern edge,889,Hesta Vorn,Medium,"Woody shell burns as fuel. Single specimen preserved."
HV-015,Seven-Foot Bird,,Yeller Quarry,"Solitary; territorial",HIGH,Carnivore - medium prey,Very Large,No,Quarry interior,887,Crew report (Polks),Medium,"No specimen - too dangerous. Leather used for garments."
HV-016,Stakdur,,Sector NE-4 (Yeller Quarry zone),"Aggressive; high activity periods",EXTREME,Carnivore,Large,No,Yeller Quarry - Sector NE-4,913,Field report,Low,"Expedition reports only. Too dangerous for specimen collection."
HV-017,Knocker-bugs,,Yeller Quarry,"Aureate coloring; tracking behavior; gold with red spots",LOW,Unknown,Tiny,Yes (20+),Quarry settlements,890,Hesta Vorn,High,"Used for tracking by locals. Abundant specimens."
HV-018,Mold-man,,Northo region,"Humanoid movement; unclear if creature or transformed person",MODERATE,Unknown,Human-sized,No,Northo - reported only,898,Village Clerk report,Very Low,"Unconfirmed. May represent transformed humans rather than distinct species."
HV-019,Crow-man,,Northo region,"Avian characteristics with humanoid form",MODERATE,Carnivore suspected,Human-sized,No,Northo - reported only,899,Village Clerk report,Very Low,"Unconfirmed. Classification uncertain - creature or hybrid?"
HV-020,Muckwalker,,Northo region,"Traverses muck efficiently; may be profession or creature type",UNKNOWN,Unknown,Human-sized,No,Northo - reported only,901,Village Clerk report,Very Low,"Term may describe profession rather than species. Requires field verification."
HV-021,Grimslew,Fifty-finned twin-tailed fish,The Dens / Grimslew Island,"Aquatic predator; twin-tailed propulsion",EXTREME,Carnivore - large prey including humans,Very Large,No,Grimslenken waters,863,Hesta Vorn (observation only),Low,"Dreaded fish of Densworld. No specimen possible - too dangerous. Observation from distance only."
HV-022,Familiars,,Yeller Quarry (associated with witches),"Post-mortem companions; follow witch after death",UNKNOWN,Unknown - supernatural,Variable,No,Quarry - reported only,906,Folklore collection,Very Low,"Supernatural category. Form of living thing that follows witch after death. Not suitable for taxonomic classification."
HV-023,Yeller,The Five / fivefold woman / hydra-like creature,Yeller Quarry area,"Five-in-one manifestation; prime-number voice patterns (2 3 5 7 11)",EXTREME,Unknown,Human-sized (x5),No,Yeller Quarry,Multiple,Grigsu Haldo (primary),Low,"Unique entity. Classification disputed - creature or persons? See Grigsu's Notebooks. Tortured with ciphers by The Torturer. Covered in densash."
