tradition_id,school_name,tradition_type,founder,founding_year,philosophy,line_weight,color_palette_primary,color_palette_secondary,color_palette_accent,color_palette_background,background_treatment,ornamentation,projection,lighting,best_for,key_works,institutional_home,json_template
ILL-001,Geometric School,core_school,Mellick Orn,400,"Clarity is the highest virtue. A diagram should prove, not persuade.",uniform medium weight,#1A202C,#4A5568,#2B6CB0,#FFFFFF,white or light gray,none—every mark must carry meaning,orthographic preferred,flat even illumination,"Formal proofs; coordinate geometry; linear algebra; discrete structures; definitions; axioms; Archive taxonomic illustration","On the Clarity of Lines (~400)",The Archives Capital,"{""style"":{""school"":""geometric"",""rendering"":""clean vector-like illustration"",""line_weight"":""uniform medium weight"",""color_palette"":[""#1A202C"",""#4A5568"",""#2B6CB0"",""#F7FAFC""],""background"":""white"",""ornamentation"":""none"",""aesthetic"":""Euclidean clarity, textbook precision""},""technical"":{""projection"":""orthographic"",""lighting"":""flat, even illumination"",""shadows"":""none""},""constraints"":{""exclude"":[""decorative elements"",""gradients"",""textures"",""photorealism""]}}"
ILL-002,Organic School,core_school,Sera Lindahl,520,"Mathematics lives. Our diagrams should breathe.",variable flowing,#276749,#319795,#D69E2E,#FEFCBF,subtle warm gradient,minimal natural textures where they aid understanding,natural perspective,soft ambient with gentle direction,"Dynamical systems; flows; continuous processes; transformations; intuition-building; concepts involving change growth evolution","Living Mathematics (~520)",Natural philosophy tradition,"{""style"":{""school"":""organic"",""rendering"":""soft, natural illustration"",""line_weight"":""variable, flowing"",""color_palette"":[""#276749"",""#319795"",""#D69E2E"",""#FEFCBF""],""background"":""subtle warm gradient"",""ornamentation"":""minimal natural textures"",""aesthetic"":""living mathematics, natural flow""},""technical"":{""projection"":""natural perspective"",""lighting"":""soft ambient with gentle direction"",""shadows"":""soft, natural""},""constraints"":{""exclude"":[""hard edges"",""rigid grids"",""mechanical precision""]}}"
ILL-003,Cartographic Guild,core_school,Torven Gull,610,"All mathematics is geography. Every theorem describes a landscape.",thin contours medium boundaries,#2C5282,#ECC94B,#DD6B20,#C53030,subtle parchment or white,"legend, scale indicator, contour labels",elevated three-quarter view or bird's eye,terrain shading (hillshade effect),"Loss landscapes; optimization surfaces; attractor basins; phase spaces; energy functions; potential wells; comparative visualization","Atlas of the Abstract (~610)",Cartographer's Guild Guild Hall,"{""style"":{""school"":""cartographic"",""rendering"":""topographic map illustration"",""line_weight"":""thin contours, medium boundaries"",""color_palette"":[""#2C5282"",""#319795"",""#ECC94B"",""#DD6B20"",""#C53030""],""background"":""subtle parchment or white"",""ornamentation"":""legend, scale indicator, contour labels"",""aesthetic"":""survey map of abstract terrain""},""technical"":{""projection"":""elevated three-quarter view or bird's eye"",""lighting"":""terrain shading (hillshade effect)"",""shadows"":""elevation-based shading""},""constraints"":{""include"":[""contour lines at regular intervals"",""elevation legend""],""exclude"":[""photorealistic textures""]}}"
ILL-004,Notation Scribes,core_school,Alleth Vorn,720,"The equation is the image. Our task is to make it visible.",precise supports labels,#1A202C,#2B6CB0,#276749,#FFFFFF,white,"mathematical symbols, annotations, labels",as needed for clarity,flat even,Theoretical exposition; step-by-step derivations; definition diagrams; publication visualization; teaching materials,"Grammar of Mathematical Images (~720)",The Archives Capital,"{""style"":{""school"":""notation"",""rendering"":""publication-quality technical illustration"",""line_weight"":""precise, supports labels"",""color_palette"":[""#1A202C"",""#2B6CB0"",""#276749"",""#C53030"",""#FFFFFF""],""background"":""white"",""ornamentation"":""mathematical symbols, annotations, labels"",""aesthetic"":""textbook illustration, LaTeX-compatible""},""technical"":{""projection"":""as needed for clarity"",""lighting"":""flat, even"",""shadows"":""none (clean for printing)""},""text_requirements"":{""font_style"":""clean sans-serif, similar to LaTeX default"",""label_placement"":""clear, non-overlapping"",""equation_integration"":""equations as part of the composition""}}"
ILL-005,Capital Archive Style,regional_variant,,,"Scholarly record preservation and reference. Clean archival presentation with Geometric School dominance.",uniform precise,#1A202C,#4A5568,#2B6CB0,#FFFFFF,white or cream,"precise notation, Wing M standardization",orthographic,flat even,"Archive documentation; scholarly reference; manuscript preservation; taxonomic records",,The Archives Wing M,"{""style"":{""school"":""geometric"",""variant"":""capital_archive"",""rendering"":""archival manuscript illustration"",""line_weight"":""uniform, precise"",""color_palette"":[""#1A202C"",""#4A5568"",""#2B6CB0""],""background"":""white or cream"",""ornamentation"":""standard notation"",""aesthetic"":""scholarly precision, archival permanence""},""materials"":{""paper"":""Archive-standard paper"",""ink"":""iron gall ink"",""binding"":""parchment for important works""}}"
ILL-006,Yeller Quarry Field Tradition,regional_variant,,,"Practical documentation and survival records. Rough field-sketch quality with Organic School influence.",variable quick,#8B4513,#4A5568,#D69E2E,#DEB887,rough paper earth tones,"minimal, practical marks only",quick sketch perspective,natural field conditions,"Field documentation; creature sketches; route notes; survival records; expedition logs",,Quarry Crews expedition teams,"{""style"":{""school"":""organic"",""variant"":""field_tradition"",""rendering"":""quick field sketch"",""line_weight"":""variable, quick strokes"",""color_palette"":[""#8B4513"",""#4A5568"",""#D69E2E""],""background"":""rough paper, earth tones"",""ornamentation"":""practical marks only"",""aesthetic"":""survival documentation, field conditions""},""materials"":{""paper"":""Quarry-sourced paper (rougher texture)"",""ink"":""creature-derived inks (variable quality)"",""binding"":""leather bindings for durability""}}"
ILL-007,Cartographer's Guild Practice,regional_variant,,,"Navigation survey and boundary documentation. Cartographic Guild style with Three-Compassed orientation.",medium with contour variation,#2C5282,#ECC94B,#DD6B20,#F5DEB3,survey-grade parchment,"compass rose, elevation markers, observer notation",elevated survey view,terrain shading,"Navigation maps; boundary surveys; Dens border documentation; route planning; hazard mapping",,Cartographer's Guild,"{""style"":{""school"":""cartographic"",""variant"":""guild_practice"",""rendering"":""survey map"",""line_weight"":""medium with contour variation"",""color_palette"":[""#2C5282"",""#ECC94B"",""#DD6B20""],""background"":""survey-grade parchment"",""ornamentation"":""compass rose, observer notation"",""aesthetic"":""Three-Compassed precision, practical navigation""},""protocols"":{""orientation"":""Three-Compassed (no East)"",""observer_notation"":""emotional state recorded"",""non_accumulation"":""maps valid only at moment of completion""}}"
ILL-008,Densmok Commercial Style,regional_variant,,,"Advertising and trade catalogs. Popular accessibility with mixed school influences.",variable for appeal,#DD6B20,#ECC94B,#C53030,#FFFFFF,commercial paper clean,"simplified forms, color for appeal",accessible perspective,bright commercial,"Trade catalogs; advertising; popular media; commercial illustration; Crash Liquor advertisements",,Traders commercial illustrators,"{""style"":{""school"":""mixed"",""variant"":""commercial"",""rendering"":""popular illustration"",""line_weight"":""variable for appeal"",""color_palette"":[""#DD6B20"",""#ECC94B"",""#C53030""],""background"":""commercial paper, clean"",""ornamentation"":""simplified forms"",""aesthetic"":""accessible, appealing, poetic license""},""materials"":{""paper"":""commercial paper"",""ink"":""color inks (imported or synthetic)"",""format"":""printed materials""}}"
ILL-009,Geometric-Cartographic Hybrid,hybrid_style,,,"Clean lines combined with terrain representation. Useful for mathematically precise landscape visualizations.",uniform with contour detail,#1A202C,#2C5282,#ECC94B,#F7FAFC,white with subtle elevation wash,minimal—grid and elevation legend only,elevated orthographic,subtle hillshade,"Precise basin topology diagrams; mathematical terrain; formal optimization landscapes","Keth basin diagrams",Multiple,"{""style"":{""school"":""hybrid"",""primary"":""geometric"",""secondary"":""cartographic"",""rendering"":""precise terrain diagram"",""line_weight"":""uniform with contour detail"",""color_palette"":[""#1A202C"",""#2C5282"",""#ECC94B""],""background"":""white with subtle elevation"",""aesthetic"":""mathematical precision meets landscape""}}"
ILL-010,Organic-Notation Hybrid,hybrid_style,,,"Flowing forms combined with integrated equations. Useful for dynamical systems with analytical descriptions.",variable with precise labels,#276749,#319795,#1A202C,#FEFCBF,soft gradient with white label zones,equations integrated into flowing forms,natural with notation overlay,soft with even label lighting,"Dynamical systems exposition; flow equations; continuous process teaching",,Multiple,"{""style"":{""school"":""hybrid"",""primary"":""organic"",""secondary"":""notation"",""rendering"":""flowing analytical diagram"",""line_weight"":""variable with precise labels"",""color_palette"":[""#276749"",""#319795"",""#1A202C""],""background"":""soft gradient with label zones"",""aesthetic"":""breathing mathematics with integrated equations""}}"
ILL-011,Cartographic-Notation Hybrid,hybrid_style,,,"Terrain maps combined with labeled features. Useful for annotated phase space diagrams.",medium with label support,#2C5282,#ECC94B,#1A202C,#FFFFFF,white or subtle parchment,"extensive labels, legend, annotations",elevated with notation clarity,terrain with even label lighting,"Annotated phase spaces; labeled optimization landscapes; teaching cartography",,Multiple,"{""style"":{""school"":""hybrid"",""primary"":""cartographic"",""secondary"":""notation"",""rendering"":""annotated terrain map"",""line_weight"":""medium with label support"",""color_palette"":[""#2C5282"",""#ECC94B"",""#1A202C""],""background"":""white or subtle parchment"",""aesthetic"":""survey precision meets publication clarity""}}"
ILL-012,Kelleth Trove Specification Style,extended_application,Kelleth Trove,752,"This is not imagination. This is translation.",varies by institutional context specified,varies by specification,varies by specification,varies by specification,varies by specification,specified per prompt,"extensive—material grounding, institutional context, scale reference",specified per prompt,specified per prompt,"Physical entities (creatures places artifacts); unobserved phenomena; consistent multi-artist rendering","On Rendering the Unobserved (~752)",Independent then Archive consultant,"{""style"":{""school"":""specification"",""rendering"":""per specification prompt"",""aesthetic"":""precision in instruction produces consistency in output""},""trove_principles"":{""material_grounding"":""every visual element references known material"",""institutional_context"":""every image implies purpose and viewer"",""specification_over_impression"":""detailed prose enables consistent rendering""},""example"":""Render as a Capital taxonomist would, using iron gall ink on Archive-standard paper...""}"
