case_id,case_name,year,domain,vorn_classification,primary_symptom,secondary_symptoms,root_cause_identified,root_cause_type,intervention_attempted,intervention_type,intervention_outcome,correctly_classified,jackson_related,notes
FC-0001,Basin Collapse Alpha,1847,boundary,boundary_dissolution,sudden_contraction,stability_loss|attractor_migration,True,external_perturbation,True,stabilization_protocol,partial_recovery,True,False,First documented basin boundary failure
FC-0002,Vellmarsh Memory Fade,1851,memory,accelerated_decay,pattern_loss,identity_confusion|recall_failure,True,insufficient_reinforcement,True,reactivation_attempt,successful,True,False,Classic memory domain case
FC-0003,Trader Route Deviation,1853,navigation,destination_paradox,missed_target,gradient_misread|step_overshoot,True,gradient_estimation_error,True,recalibration,successful,True,False,Navigation domain baseline case
FC-0004,Guild Federation Split,1857,federation,trust_collapse,communication_breakdown,resource_hoarding|defection,True,asymmetric_information,True,mediation,failed,True,False,Trust economics failure
FC-0005,Form Library Gap,1861,classification,classification_failure,unrecognized_form,morphospace_gap|nearest_neighbor_failure,True,novel_entity,False,none,none,True,False,New form outside existing library
FC-0006,Ingression Stall,1864,ingression,manifestation_failure,incomplete_form,substrate_rejection|pattern_corruption,True,substrate_incompatibility,True,substrate_change,successful,True,False,Form-matter interface failure
FC-0007,Basin Breathing Anomaly,1849,boundary,oscillation_instability,erratic_expansion,phase_desync|prediction_failure,True,external_resonance,True,damping_protocol,partial_recovery,True,False,Breathing phenomenon disruption
FC-0008,Ghost Reactivation Surge,1867,memory,unexpected_persistence,intensity_spike,decay_reversal|trauma_trigger,True,emotional_resonance,False,none,none,True,False,Decay curve violated
FC-0009,Expedition Lost,1855,navigation,path_dissolution,route_vanished,landmark_shift|map_obsolescence,True,terrain_instability,True,new_survey,successful,True,False,The Dens mapping principle violation
FC-0010,Mind Federation War,1871,federation,internal_conflict,component_rivalry,coalition_breakdown|resource_war,True,goal_misalignment,True,restructure,partial_recovery,True,False,Tessyn Mord studied this case
FC-0011,Archetype Misclassification A,1845,classification,category_error,wrong_archetype_assigned,behavioral_mismatch|outcome_surprise,True,insufficient_data,True,reclassification,successful,True,False,Lurra Venn early work
FC-0012,Matter Rejection Event,1869,ingression,substrate_failure,form_expelled,material_degradation|pattern_echo,True,resonance_mismatch,True,alternative_substrate,successful,True,False,Archon Vells documented
FC-0013,Attractor Basin Merger,1852,boundary,boundary_violation,basins_merged,identity_loss|state_confusion,True,proximity_collapse,False,none,none,True,False,Two basins became one
FC-0014,Scholar Memory Crisis,1873,memory,catastrophic_forgetting,knowledge_loss,new_learning_interference|old_pattern_erasure,True,plasticity_excess,True,stability_protocol,partial_recovery,True,False,Stability-plasticity dilemma case
