manuscript_id,archivist_1_id,archivist_1_faction,archivist_1_classification,archivist_1_confidence,archivist_2_id,archivist_2_faction,archivist_2_classification,archivist_2_confidence,disagreement_type,resolution_status,resolution_method
MS-0089,ARV-002,certainist,forged,0.85,ARV-004,suspensionist,mup,0.53,classification,pending,
MS-0091,ARV-002,certainist,verified,0.83,ARV-003,contextualist,mup,0.47,classification,pending,
MS-0094,ARV-001,probabilist,mup,0.53,ARV-002,certainist,disputed,0.75,classification,pending,
MS-0001,ARV-002,certainist,verified,0.9,ARV-001,probabilist,mup,0.67,classification,irresolvable,
MS-0003,ARV-003,contextualist,mup,0.57,ARV-004,suspensionist,verified,0.44,classification,irresolvable,
MS-0007,ARV-001,probabilist,mup,0.6,ARV-004,suspensionist,mup,0.52,interpretation,irresolvable,
MS-0047,ARV-004,suspensionist,mup,0.37,ARV-002,certainist,forged,0.92,classification,resolved,senior_archivist_ruling
MS-0048,ARV-004,suspensionist,mup,0.48,ARV-001,probabilist,mup,0.65,interpretation,pending,
MS-0156,ARV-002,certainist,forged,0.76,ARV-003,contextualist,disputed,0.5,classification,pending,
MS-0049,ARV-001,probabilist,disputed,0.68,ARV-006,certainist,forged,0.9,classification,pending,
MS-0095,ARV-012,suspensionist,mup,0.47,ARV-003,contextualist,mup,0.65,interpretation,pending,
MS-0174,ARV-002,certainist,verified,0.87,ARV-008,probabilist,mup,0.57,classification,pending,
MS-0070,ARV-004,suspensionist,mup,0.48,ARV-008,probabilist,mup,0.67,method,resolved,additional_evidence
MS-0193,ARV-009,contextualist,disputed,0.52,ARV-004,suspensionist,mup,0.45,classification,resolved,compromise_classification
MS-0089,ARV-006,certainist,forged,0.8,ARV-003,contextualist,disputed,0.58,classification,pending,
MS-0019,ARV-004,suspensionist,mup,0.38,ARV-009,contextualist,disputed,0.63,classification,resolved,senior_archivist_ruling
MS-0128,ARV-005,certainist,forged,0.83,ARV-008,probabilist,mup,0.74,classification,pending,
MS-0080,ARV-001,probabilist,mup,0.55,ARV-004,suspensionist,mup,0.35,confidence,resolved,compromise_classification
MS-0050,ARV-006,certainist,verified,0.93,ARV-001,probabilist,verified,0.67,confidence,resolved,compromise_classification
MS-0096,ARV-009,contextualist,mup,0.56,ARV-005,certainist,verified,0.78,classification,resolved,compromise_classification
MS-0125,ARV-010,contextualist,disputed,0.65,ARV-011,suspensionist,mup,0.47,classification,resolved,faction_negotiation
MS-0072,ARV-009,contextualist,likely_authentic,0.41,ARV-006,certainist,likely_authentic,0.8,confidence,pending,
MS-0138,ARV-004,suspensionist,mup,0.35,ARV-002,certainist,forged,0.9,classification,resolved,faction_negotiation
MS-0084,ARV-009,contextualist,mup,0.47,ARV-001,probabilist,disputed,0.66,classification,irresolvable,
MS-0088,ARV-002,certainist,likely_authentic,0.94,ARV-003,contextualist,mup,0.42,classification,resolved,committee_vote
MS-0014,ARV-009,contextualist,disputed,0.51,ARV-004,suspensionist,mup,0.57,classification,pending,
MS-0125,ARV-002,certainist,disputed,0.93,ARV-010,contextualist,mup,0.55,classification,resolved,deferred_to_engine
MS-0148,ARV-005,certainist,verified,0.86,ARV-010,contextualist,mup,0.43,classification,pending,
MS-0035,ARV-009,contextualist,disputed,0.42,ARV-001,probabilist,mup,0.63,classification,pending,
MS-0007,ARV-012,suspensionist,mup,0.45,ARV-006,certainist,forged,0.75,classification,resolved,committee_vote
MS-0195,ARV-011,suspensionist,mup,0.57,ARV-007,probabilist,verified,0.6,classification,pending,
MS-0142,ARV-003,contextualist,mup,0.64,ARV-005,certainist,verified,0.81,classification,pending,
MS-0074,ARV-001,probabilist,forged,0.75,ARV-010,contextualist,mup,0.52,classification,resolved,faction_negotiation
MS-0059,ARV-003,contextualist,mup,0.64,ARV-006,certainist,forged,0.86,classification,irresolvable,
MS-0011,ARV-002,certainist,forged,0.85,ARV-008,probabilist,forged,0.69,interpretation,resolved,committee_vote
MS-0067,ARV-011,suspensionist,mup,0.35,ARV-006,certainist,verified,0.83,classification,pending,
MS-0067,ARV-006,certainist,likely_authentic,0.94,ARV-011,suspensionist,mup,0.43,classification,resolved,committee_vote
MS-0090,ARV-011,suspensionist,mup,0.37,ARV-008,probabilist,mup,0.57,interpretation,irresolvable,
MS-0181,ARV-004,suspensionist,mup,0.42,ARV-005,certainist,forged,0.83,classification,pending,
