example_id,layer,head,query_token,key_tokens,attention_weights,dominant_pattern,pattern_description,year_documented,documenter,theoretical_basis,probing_interpretation,archive_reference
AH-001,1,1,surveyor,surveyor boundary expedition,0.45 0.35 0.20,subject_focus,Attends to tokens semantically related to profession,985,brennet_kell,distributional_hypothesis,probes for occupation-related context,BKL-001-AH-1
AH-002,1,1,Keth,Keth wrote the memorandum,0.65 0.15 0.10 0.10,self_attention,Strong self-attention for named entities,985,brennet_kell,identity_morphism,probes for entity identity,BKL-001-AH-2
AH-003,1,2,memorandum,Keth wrote the memorandum,0.25 0.40 0.15 0.20,author_attribution,Attends to likely author of document,985,brennet_kell,document_functor,probes for authorship relation,BKL-001-AH-3
AH-004,1,3,boundary,the boundary drifted significantly,0.10 0.35 0.30 0.25,modifier_focus,Attends to modifying words and events,985,brennet_kell,grammatical_morphism,probes for adjective/adverb relations,BKL-001-AH-4
AH-005,2,1,Archive,the Western Archive holds manuscripts,0.10 0.55 0.15 0.10 0.10,positional_previous,Attends strongly to preceding adjective,988,brennet_kell,qk_twist_position,probes for adjacent position relations,BKL-001-AH-5
AH-006,2,2,holds,the Archive holds manuscripts,0.10 0.25 0.20 0.45,object_focus,Attends to direct object of verb,988,brennet_kell,grammatical_functor,probes for verb-object structure,BKL-001-AH-6
AH-007,2,3,manuscripts,ancient manuscripts from Mirado,0.50 0.15 0.15 0.20,head_noun_focus,Attends to head noun of phrase,988,brennet_kell,phrase_structure,probes for noun phrase heads,BKL-001-AH-7
AH-008,3,1,Vance,Vance proposed attention theory,0.70 0.10 0.10 0.10,strong_self,Very strong self-attention for key figures,990,brennet_kell,yoneda_identity,probes for concept identity,BKL-001-AH-8
AH-009,3,2,proposed,Vance proposed the theory in 937,0.15 0.35 0.25 0.10 0.15,temporal_context,Attends to temporal indicators,990,brennet_kell,temporal_functor,probes for time references,BKL-001-AH-9
AH-010,3,3,theory,attention theory revolutionized thought,0.25 0.45 0.20 0.10,consequence_focus,Attends to impact/consequence words,990,brennet_kell,causal_morphism,probes for effect relations,BKL-001-AH-10
AH-011,4,1,transformer,the transformer processes sequences,0.55 0.15 0.15 0.15,strong_self_technical,Technical terms show strong self-attention,992,brennet_kell,technical_identity,probes for domain terminology,BKL-001-AH-11
AH-012,4,2,processes,transformer processes input sequences,0.15 0.30 0.10 0.45,argument_structure,Attends to both subject and object,992,brennet_kell,verb_frame_functor,probes for predicate arguments,BKL-001-AH-12
AH-013,4,3,sequences,input sequences of tokens,0.15 0.50 0.15 0.20,composition_focus,Attends to composed/modified elements,992,brennet_kell,morphism_composition,probes for compositional structure,BKL-001-AH-13
AH-014,5,1,attention,attention weights sum to one,0.60 0.15 0.10 0.10 0.05,concept_self,Key concepts maintain self-identity,995,brennet_kell,normalization_constraint,probes for definition context,BKL-001-AH-14
AH-015,5,2,weights,attention weights are normalized,0.20 0.45 0.15 0.20,mathematical_property,Attends to mathematical descriptors,995,brennet_kell,property_functor,probes for attribute relations,BKL-001-AH-15
AH-016,5,3,normalized,weights are normalized via softmax,0.10 0.25 0.35 0.30,method_focus,Attends to method/mechanism words,995,brennet_kell,procedural_morphism,probes for how relations,BKL-001-AH-16
AH-017,6,1,Strand,Strand proved the probing lemma,0.65 0.10 0.10 0.15,scholar_identity,Named scholars show strong self-attention,998,brennet_kell,proper_noun_identity,probes for named entity binding,BKL-002-AH-1
AH-018,6,2,proved,Strand proved a deep result,0.15 0.40 0.25 0.20,achievement_focus,Attends to result/achievement words,998,brennet_kell,accomplishment_functor,probes for achievement relations,BKL-002-AH-2
AH-019,6,3,lemma,the probing lemma states objects,0.25 0.40 0.15 0.15 0.05,definition_context,Attends to defining/stating words,998,brennet_kell,definitional_morphism,probes for definition context,BKL-002-AH-3
AH-020,6,4,objects,objects are determined by probes,0.35 0.20 0.20 0.10 0.15,parallel_multi,Multiple tokens receive balanced attention,998,brennet_kell,multi_probe_aggregation,probes for distributed information,BKL-002-AH-4
AH-021,1,4,the,the surveyor documented boundaries,0.10 0.25 0.30 0.35,forward_look,Function words attend to content ahead,985,brennet_kell,determiner_scope,probes for noun phrase scope,BKL-001-AH-17
AH-022,2,4,from,manuscripts from the ancient archive,0.10 0.15 0.30 0.45,prepositional_object,Prepositions attend to their objects,988,brennet_kell,prepositional_functor,probes for PP structure,BKL-001-AH-18
AH-023,3,4,in,theory proposed in year 937,0.10 0.15 0.15 0.60,temporal_marker,Temporal prepositions attend to dates,990,brennet_kell,temporal_prep_functor,probes for temporal PP,BKL-001-AH-19
AH-024,4,4,of,sequences of tokens and embeddings,0.10 0.15 0.45 0.30,partitive_focus,Of attends to whole-part relations,992,brennet_kell,mereological_functor,probes for part-whole,BKL-001-AH-20
