case_id,case_name,federation_type,federation_scale,component_count,federation_age_years,cancer_type,cancer_origin,initiating_component,spread_pattern,spread_rate,components_affected_percent,primary_cause,jackson_type,horizon_factor,earliest_symptom,symptom_progression,duration_to_crisis_days,outcome,federation_survived,component_casualties,intervention_attempted,intervention_type,intervention_success,mord_analysis,preventability,key_lesson,location,region,observation_year,observer,confidence,cross_reference,notes
FC-0001,Extraction Pattern Case 64,class,small,66,2,delegation_failure,higher_level,,localized,rapid,14.2,level_transcendence,True,True,delegation_failures,recovery,2641,reorganization,True,3,False,none,not_attempted,Communication channels degraded before crisis,probably_preventable,Communication maintenance is prevention,Klutch CC,Densmok,917,Colony Study Team,0.9,HS-0021,
FC-0002,Trust Cascade 423,work_crew,medium,392,1,micromanagement,multiple_components,,simultaneous,slow,52.4,trust_erosion,False,True,autonomy_loss,gradual_worsening,652,component_expulsion,True,6,True,communication_repair,partial,Reciprocity failure predicted defection,uncertain,Goal alignment requires ongoing work,Southern perimeter,Dens boundary,920,Institutional Review Board,0.85,HS-0137,
FC-0003,Network 942 Failure,work_crew,small,116,10,defection,external,,localized,slow,8.0,reciprocity_failure,False,True,defection_events,plateau,1331,partial_dissolution,True,22,True,communication_repair,failed,Extraction pattern established early,probably_preventable,Monitor for reciprocity breach,Northern monastery,Northo,921,K. Vorn,0.57,HS-0072,
FC-0004,Trust Cascade 127,institution,very_large,4070,134,trust_cascade,multiple_components,,cascading,rapid,73.8,reciprocity_failure,False,False,trust_decline,sudden_cascade,16,component_expulsion,True,140,True,expulsion,partial,Trust cascade caught too late,preventable,Goal alignment requires ongoing work,Capital outskirts,Capital,921,Institutional Review Board,0.61,,
FC-0005,Community 542 Split,class,medium,48,2,defection,higher_level,,spreading,slow,42.6,goal_drift,True,True,defection_events,plateau,1472,transformation,True,8,False,none,not_attempted,External stress exceeded federation capacity,uncertain,Monitor for reciprocity breach,Capital outskirts,Capital,934,Mord-Anster Group,0.74,HS-0043,
FC-0006,Community 424 Split,colony,medium,452,11,goal_conflict,multiple_components,,contained,slow,20.9,trust_erosion,False,False,goal_divergence,sudden_cascade,8,transformation,True,10,True,communication_repair,failed,External stress exceeded federation capacity,probably_preventable,Goal alignment requires ongoing work,Western districts,Capital,935,T. Mord,0.93,,
FC-0007,Extraction Pattern Case 429,class,medium,82,5,defection,single_component,Component-97,localized,moderate,19.9,communication_failure,False,False,defection_events,recovery,2042,full_dissolution,False,36,True,reorganization,harmful,Communication channels degraded before crisis,preventable,External stress reveals latent dysfunction,Sector SW-6,Dens boundary,927,Archive Commission,0.73,,
FC-0008,Institution 509 Reorganization,class,medium,34,1,defection,lower_level,,localized,slow,1.0,trust_erosion,False,False,defection_events,gradual_worsening,882,reorganization,True,6,False,none,not_attempted,Reciprocity failure predicted defection,probably_preventable,External stress reveals latent dysfunction,Isolation community,Northo,911,Colony Study Team,0.8,,
FC-0009,Institution 624 Reorganization,class,medium,81,2,exploitation,unknown,,simultaneous,intermittent,94.7,goal_drift,False,False,resource_drain,recovery,845,full_dissolution,False,23,True,goal_realignment,harmful,Trust cascade caught too late,probably_preventable,Goal alignment requires ongoing work,Healing Institute,Capital,920,T. Mord,0.59,,
FC-0010,Class of 219 Fragmentation,institution,medium,511,110,defection,lower_level,,localized,moderate,13.5,horizon_mismatch,False,True,defection_events,recovery,1703,component_expulsion,True,43,True,external_mediation,partial,Communication channels degraded before crisis,preventable,Goal alignment requires ongoing work,Mill vicinity,Yeller Quarry,919,T. Mord,0.69,HS-0011,
FC-0011,Trust Cascade 970,institution,large,757,18,defection,multiple_components,,spreading,slow,37.5,level_transcendence,True,False,defection_events,plateau,943,partial_dissolution,True,191,True,goal_realignment,failed,Extraction pattern established early,uncertain,External stress reveals latent dysfunction,Klutch CC,Densmok,903,Archive Commission,0.78,,
FC-0012,Network 452 Failure,colony,medium,188,92,trust_cascade,lower_level,,cascading,rapid,58.8,level_transcendence,True,True,trust_decline,sudden_cascade,2,partial_dissolution,True,41,True,expulsion,failed,External stress exceeded federation capacity,uncertain,External stress reveals latent dysfunction,Scholar's Quarter,Capital,933,Colony Study Team,0.59,HS-0157,
