asset_id,asset_name,asset_type,dimensions,format,primary_school,palette_reference,subject_description,constraints,prompt_template_id,priority_rank,status,notes
VS-001,GitHub Avatar,avatar,128x128,PNG,Geometric-Cartographic Hybrid,RCP-048 to RCP-051,Basin topology contour icon with three nested contours,Must work at 32px; no text; circular composition; high contrast for dark mode,AVATAR-BASIN,1,planned,Primary brand touchpoint - tested at multiple scales
VS-002,GitHub Banner,banner,1280x640,PNG,Geometric-Cartographic Hybrid,RCP-048 to RCP-051,Morphospace terrain section with stability basins and contour lines,Critical content in center 640px for mobile; text overlay zone in center; works without text,BANNER-MORPHOSPACE,1,planned,Social preview image - primary marketing asset
VS-003,Philosophy Series Header,header,1200x300,PNG,Notation-Cartographic Hybrid,Notation + Cartographic,I-C-integral formula fragment on abstract basin terrain background,Left icon zone 200px; center text zone 800px; right decorative 200px,HEADER-PHILOSOPHY,2,planned,Flagship series - sets standard for others
VS-004,Spatial Series Header,header,1200x300,PNG,Cartographic Guild,RCP-011 to RCP-016,Three-Compassed rose icon with survey terrain,Full elevation gradient; compass rose without East,HEADER-SPATIAL,2,planned,Cartographic emphasis - survey aesthetic
VS-005,Compilers Eye Series Header,header,1200x300,PNG,Trove Specification,Trove palette RCP-040 to RCP-047,Specification text fragment or quill with material swatches,Material grounding emphasis; specification aesthetic,HEADER-COMPILERS,2,planned,Meta-series about visual specification
VS-006,Standalone Series Header,header,1200x300,PNG,Organic School,RCP-007 to RCP-010,Flowing organic form with living mathematics curves,Variable lines; natural flow; warm palette,HEADER-STANDALONE,2,planned,Diverse courses unified by organic style
VS-007,HuggingFace Series Header,header,1200x300,PNG,Commercial-Notation Hybrid,Commercial + Notation,API-style brackets or model icon with technical accessibility,Modern; accessible; technical but approachable,HEADER-HUGGINGFACE,2,planned,Applied ML - bridges Densworld and modern tools
VS-008,Puzzle Series Header,header,1200x300,PNG,Geometric School,RCP-001 to RCP-006,CSQ notation elements or puzzle grid patterns,Precision; pattern recognition emphasis; minimal,HEADER-PUZZLE,2,planned,Pattern recognition and formal systems
VS-009,Masters Series Header,header,1200x300,PNG,Geometric-Notation Hybrid,Archive formal,Mathematical symbols with degree-level formality,Advanced; formal; publication-quality,HEADER-MASTERS,2,planned,Advanced scholarship aesthetic
VS-010,Access Architectures Header,header,1200x300,PNG,Cartographic-Commercial Hybrid,Survey + Commercial,Gateway or threshold imagery with access paths,System architecture; API as terrain,HEADER-ACCESS,2,planned,Access and architecture themes
VS-011,Form Library Diagram,diagram,800x600,PNG,Cartographic Guild,RCP-011 to RCP-016,Pol morphospace terrain with stability regions labeled,Educational; labeled attractors; legend,DIAGRAM-FORMLIBRARY,3,planned,Key concept from philosophy-01
VS-012,Basin Topology Diagram,diagram,800x600,PNG,Geometric-Cartographic Hybrid,RCP-048 to RCP-051,Keth basin contours with gradient flow arrows,Topographic style; mathematical precision,DIAGRAM-BASINTOPO,3,planned,Key concept from spatial series
VS-013,Constellation Network Diagram,diagram,800x600,PNG,Organic-Notation Hybrid,RCP-052 to RCP-055,Tross constellation with signed edges and clusters,Network graph; signed relationships; organic layout,DIAGRAM-CONSTELLATION,3,planned,Key concept from philosophy-03
VS-014,TAME Hierarchy Diagram,diagram,800x600,PNG,Notation Scribes,RCP-017 to RCP-021,Anster hierarchy with nested levels and integration,Nested boxes; level indicators; I-C-integral,DIAGRAM-TAME,3,planned,Key concept from philosophy-02
VS-015,Wharver Specimen,illustration,600x800,PNG,Organic School,Yeller Quarry Field RCP-027 to RCP-030,Wharver creature in field naturalist style,Globed lizard; fins; hot belly; rust tones,CREATURE-ORGANIC,3,planned,Accessible creature for portfolio
