material_id,material_name,material_type,source_location,source_creature,extraction_method,color_hex,color_description,permanence,texture,traditional_use,associated_guild,rarity,compiler,notes
VIS-001,Densmuck Black,pigment,The Dens,,Collected from Dens boundary surface,#1A1A1A,Absolute deep black with slight oily sheen,permanent,smooth oily,Cartographic boundary marking; Archive critical notation,Cartographer's Guild,uncommon,Kelleth Trove,Pitchy black absorbs all light. Best for indicating voids or boundaries.
VIS-002,Densgrit Gray,pigment,The Dens,,Mined from Dens substrate,#6B7280,Medium gray with visible mineral particles,permanent,gritty sandy,Background washes; terrain texture indication,Cartographer's Guild,common,Kelleth Trove,Grainy texture visible in application. Used for unstable terrain.
VIS-003,Densash Pale,pigment,The Dens (covers Yeller),,Collected from Dens surface deposits,#D1D5DB,Pale ashy gray almost white,semi-permanent,matte powdery,Matte coatings; ghost rendering; faded effects,Archive,uncommon,Kelleth Trove,Covers Yeller. Associated with concealment and mystery.
VIS-004,Densbone White,pigment,The Dens,Various Dens creatures,Ground from collected Densbone,#FAFAF9,Off-white with warm undertone,permanent,fine chalky,Highlights; structural elements; Archive formal documents,Archive,rare,Kelleth Trove,Densbone skulls particularly valued. Ground fine for pigment.
VIS-005,Quarry Ochre,pigment,Yeller Quarry,,Mining from iron deposits,#B45309,Deep rust orange with earthy warmth,permanent,slightly gritty,Earth tones; warm highlights; creature rendering,Quarry Crews,common,Hesta Vorn,Iron-rich deposits produce this signature Quarry color.
VIS-006,Quarry Rust,pigment,Yeller Quarry,,Collected from exposed iron surfaces,#7C2D12,Dark rust brown with red undertones,permanent,metallic gritty,Metallic surfaces; aging effects; Wharver illustration,Quarry Crews,common,Hesta Vorn,Natural oxidation from Quarry iron. Used for metal textures.
VIS-007,Wharver Scale Rust,pigment,Yeller Quarry,Wharver,Processed from shed scales,#92400E,Bright rust with orange highlights,permanent,fine metallic,Creature illustration; metallic highlights; warm accents,Quarry Crews,uncommon,Hesta Vorn,Collected from creature encounters. Distinctive metallic quality.
VIS-008,Knocker-bug Gold,pigment,Yeller Quarry,Knocker-bugs,Processed from deceased specimens,#CA8A04,Rich gold with slight warm cast,semi-permanent,fine iridescent,Gilding; accent marks; ceremonial documents,Traders Guild,rare,Hesta Vorn,Aureate creatures yield distinctive gold. Not as stable as mineral gold.
VIS-009,Knocker-bug Spot Red,pigment,Yeller Quarry,Knocker-bugs,Extracted from red spot pattern,#B91C1C,Bright crimson red,semi-permanent,smooth,Warning marks; emphasis; creature spots,Traders Guild,rare,Hesta Vorn,Limited yield from red spots only. Used sparingly.
VIS-010,Iron Gall Black,ink,Capital,,Oak galls and iron sulfate processing,#1F2937,Blue-black darkening over time,permanent,smooth fluid,Standard Archive writing; formal documents; manuscript copying,Archive,common,Archive Records,Standard Archive ink. Darkens from gray-black to true black over time.
VIS-011,Archive Sepia,ink,Capital,,Processed from traditional sources,#78350F,Warm brown with red undertones,permanent,smooth,Historical documents; marginalia; informal notes,Archive,common,Archive Records,Secondary Archive ink for informal use.
VIS-012,Wing Dust Iridescent,pigment,Various regions,CR024 creature,Collected wing dust,#A78BFA,Pale violet with rainbow iridescence,fugitive,fine powder,Cosmetic trade; decorative manuscripts; special effects,Capital Cosmetics,precious,Trade Records,Sold for Capital Cosmetics trade. Fades in strong light.
VIS-013,Seven-Foot Bird Black,dye,Yeller Quarry,Seven-foot bird,Leather processing residue,#0F172A,Absolute black with leather depth,permanent,smooth,Leather dyeing; deep black requirements,Quarry Crews,rare,Polks crew records,From bird leather processing. Polks' overalls made from this.
VIS-014,Wood Turtle Brown,pigment,Yeller Quarry,Wood turtle,Shell fragments ground,#78716C,Warm brown with wood grain undertone,permanent,fibrous,Wood textures; organic surfaces; creature illustration,Quarry Crews,uncommon,Hesta Vorn,Ligneous shell produces distinctive grain-like pigment.
VIS-015,Stonefrog Gray,pigment,Dens edge pools,Stonefrog,Processed from specimens,#52525B,Cool gray with slight blue cast,permanent,stone-like,Camouflage rendering; stone surfaces; Dens creatures,Archive Taxonomic,uncommon,Hesta Vorn,Stone-like camouflage quality carries into pigment.
VIS-016,Gritsmuck Brown,pigment,Dens surface,Gritsmucks,Processed from swarm specimens,#57534E,Muddy brown with organic depth,permanent,organic gritty,Detritus rendering; muck surfaces; Dens terrain,Archive Taxonomic,common,Hesta Vorn,Abundant at Dens periphery. Earthy organic quality.
VIS-017,Rock-fin Gray,pigment,Dens aquatic,Rock-finned eel,Processed fin material,#64748B,Cool gray with mineral flecks,permanent,mineral flecked,Aquatic creatures; mineral-organic hybrid textures,Archive Taxonomic,rare,Hesta Vorn,Single specimen source. Unique mineral-organic quality.
VIS-018,Granite Wren Basalt,pigment,Dens tunnels,Granite wren,Feather processing,#374151,Dark basalt gray,permanent,fine smooth,Stone textures; subtle gradients; tunneled environments,Archive Taxonomic,rare,Hesta Vorn,From rare captures at tunnel mouths. Subtle quality.
VIS-019,Tower Steel Gray,pigment,Tower of Mirado vicinity,,Collected metal particles,#9CA3AF,Polished steel gray with metallic sheen,permanent,fine metallic,Tower illustration; metal surfaces; technological elements,Cartographer's Guild,precious,Siege Records,Steel-shining stuff of the Tower. Hovering structure material.
VIS-020,Fountain Blue,pigment,Tower of Mirado,,Processed from fountain residue,#60A5FA,Cool luminescent blue,semi-permanent,smooth luminous,Light effects; water rendering; Tower crown,Cartographer's Guild,precious,Siege Records,Fountain water at Tower crown. Light-emitting at night.
