shop_id,shop_name,proprietor,license_year,specialty,distance_from_senate,reputation,known_for,price_range,notes
SHOP-01,The Round Window,Hesta Carmun,842,general,2,excellent,"Oldest licensed shop in the district. The proprietor's family has held the license for four generations.",high,"The round window is said to be the original model for all archive shop windows."
SHOP-02,Valdun Legal Archives,Pella Valdun,897,legal,1,excellent,"Family tree authentication, expedition contracts, licensing disputes.",exorbitant,"Run by the scholar Pella Valdun herself. Direct Senate access."
SHOP-03,The Cartographer's Hole,Senna Grell,866,maps,4,good,"Maps of all regions, especially Yeller Quarry routes.",moderate,"Founded by Senna Grell. Now run by her apprentices after her death."
SHOP-04,Creature Records,Merchant Polk,881,creature_taxonomy,3,good,"Expedition reports, creature sketches, taxonomic treatises.",moderate,"Best source for Yeller Quarry creature documentation."
SHOP-05,The Back Alley,Unknown,unknown,rare_manuscripts,7,notorious,"Manuscripts of disputed provenance, items too sensitive for licensed shops.",high,"No formal license. Tolerated by authorities for reasons unknown. Round window painted black."
SHOP-06,Senate Auxiliary Archives,Clerk Venn,851,legal,1,excellent,"Official overflow storage for Senate documents.",low,"Government-subsidized. Prices fixed by law."
SHOP-07,The Mirado Collection,Ulla Vant,891,general,5,good,"Specializes in materials from Mirado. Water-school philosophical texts.",high,"Only shop with regular trade connections to the tower city."
SHOP-08,Northern Manuscripts,Trader Hork,878,expedition_reports,6,fair,"Materials from northern expeditions, village records.",low,"Dusty and disorganized, but occasionally yields treasures."
SHOP-09,The Stone Archive,Oben Marsh,889,word_theory,4,questionable,"Stone-school philosophical texts. Controversial reputation.",moderate,"Founded by the scholar Oben Marsh. Some suspect forgeries among the holdings."
SHOP-10,Grell Maps and Charts,Gareth Poll,908,maps,3,excellent,"Successor to The Cartographer's Hole. Modern mapping techniques.",high,"Run by Gareth Poll, trained by Vagabu himself."
SHOP-11,The Expedition House,Curator Brell,869,expedition_reports,2,good,"Comprehensive expedition documentation. All major surveys represented.",moderate,"Best organized collection of field reports in the district."
SHOP-12,Poetry and Verse,Lira Canto,902,poetry,8,fair,"Poetry manuscripts, song collections, lyrical philosophy.",low,"Far from Senate, catering to literary rather than official clientele."
SHOP-13,The Family Tree,Hork Staven,899,legal,3,good,"Yeller Quarry lineage documentation, family tree authentication.",high,"Essential for anyone planning Quarry expeditions requiring guide credentials."
SHOP-14,The Minor Archive,Clerk Dann,883,general,5,fair,"General collection. Nothing exceptional, but reliable.",low,"The minor archivist waits at his window. Serviceable for common needs."
SHOP-15,Water-School Repository,Nessa Bright,912,word_theory,4,good,"Definitive collection of water-school texts. Anti-stone-school materials.",moderate,"Founded by Nessa Bright. Explicitly refuses to stock stone-school works."
SHOP-16,Historical Documents,Donal Crest,911,history,2,good,"Political history, Senate records, conquest documentation.",moderate,"Founded by the scholar Donal Crest. Strong on Dens conquest materials."
SHOP-17,The Dust Heap,Scavenger Moll,unknown,general,9,questionable,"Unsorted manuscripts purchased in bulk from estates. Treasures among trash.",low,"Furthest from Senate. No formal organization. Bring patience."
SHOP-18,Quarry Curiosities,Jara Torval,901,creature_taxonomy,5,good,"Creature materials with stone-school interpretive framework.",moderate,"Run by Jara Torval. Unique perspective on creature naming."
SHOP-19,The Debate Transcripts,Merchant Voss,887,general,3,good,"Specializes in recorded arguments, cardhouse debates, scholarly disputes.",moderate,"Best source for kachot-game transcripts and debate records."
SHOP-20,Pebble Archives,Denna Vox,921,word_theory,6,fair,"Pebble-school texts. Fibon's works and commentaries.",moderate,"Founded by Denna Vox. Small but dedicated collection."
SHOP-21,The Forgery Desk,Inspector Renn,895,rare_manuscripts,4,notorious,"Authentication services. Also sells materials of uncertain provenance.",high,"Officially a forgery detection service. Rumors suggest they create as well as detect."
SHOP-22,Colonial Records,Administrator Thenn,903,expedition_reports,2,good,"Military expedition documentation. Siege of Mirado materials.",moderate,"Best source for Colonel Viragu's reports and correspondence."
SHOP-23,The Ink Cellar,Copyist Mara,879,general,7,fair,"Copying services and secondhand manuscripts.",low,"Primarily a copying shop. Secondhand materials of variable quality."
SHOP-24,Literalist Library,Roth Fenn,888,word_theory,8,questionable,"Literalist philosophical texts. Brother of the disappeared Callis Fenn.",moderate,"Remote location. Clientele tends toward the eccentric."
SHOP-25,The Licensed Window,Clerk Standard,861,general,1,good,"General reference. Close to Senate for quick consultations.",moderate,"Convenient location. Adequate but unremarkable collection."
