experiment_id,subject_type,subject_name,experimenter,vigilance_threshold,new_patterns_shown,new_patterns_accepted,old_patterns_tested,old_patterns_retained,false_positive_rate,false_negative_rate,catastrophic_forgetting_score,optimal_threshold_retrospective,threshold_error,notes
VIG-0001,creature,Grimslew Alpha,Vornis Keth,0.2,15,14,20,8,0.12,0.07,0.60,0.55,0.35,Low vigilance causes catastrophic forgetting
VIG-0002,creature,Grimslew Beta,Vornis Keth,0.8,15,3,20,19,0.02,0.80,0.05,0.55,0.25,High vigilance rejects almost all new patterns
VIG-0003,scholar,Grigsu Haldo,Vornis Keth,0.5,20,12,25,18,0.05,0.40,0.28,0.52,0.02,Near-optimal threshold for balanced learning
VIG-0004,system,Capital Archive Index,Solta Venn,0.7,30,9,40,38,0.03,0.70,0.05,0.45,0.25,Archive system too conservative
VIG-0005,creature,Maw Beast Specimen,Hesta Vorn,0.3,12,11,15,7,0.15,0.08,0.53,0.58,0.28,Predator loses old hunting patterns quickly
VIG-0006,scholar,Yasho Krent,Vornis Keth,0.6,18,8,22,19,0.04,0.56,0.14,0.48,0.12,Moderate conservatism in established scholar
VIG-0007,creature,Crawler Type A,Pollux Dann,0.4,10,7,12,8,0.08,0.30,0.33,0.52,0.12,Scavenger species shows moderate adaptability
VIG-0008,system,Provenance Engine v1,Solta Venn,0.9,25,2,30,30,0.00,0.92,0.00,0.35,0.55,Extreme conservatism blocks all new patterns
VIG-0009,scholar,Vagabu Olt,Vornis Keth,0.35,22,18,20,11,0.10,0.18,0.45,0.58,0.23,Wandering scholar accepts novelty readily
VIG-0010,creature,Yeller Fragment,Grigsu Haldo,0.45,8,5,10,7,0.06,0.38,0.30,0.51,0.06,Collective entity shows near-optimal vigilance
VIG-0011,system,Guild Certification,Foreman Hask,0.75,20,4,25,24,0.02,0.80,0.04,0.42,0.33,Certification too strict; blocks qualified members
VIG-0012,scholar,Boffa Trent,Vornis Keth,0.55,15,8,18,15,0.04,0.47,0.17,0.50,0.05,Established scholar balanced approach
VIG-0013,creature,Stakdur Juvenile,Pollux Dann,0.25,14,13,16,5,0.14,0.07,0.69,0.62,0.37,Young predator overwrites learned behaviors
VIG-0014,scholar,Mink Pavar,Vornis Keth,0.65,12,4,15,14,0.03,0.67,0.07,0.45,0.20,Historian conservative with new sources
VIG-0015,system,Expedition Protocol,Rella Tarn,0.6,18,7,22,19,0.04,0.61,0.14,0.48,0.12,Protocol resists procedural updates
VIG-0016,creature,Grimslew Gamma,Hesta Vorn,0.5,15,9,20,14,0.06,0.40,0.30,0.54,0.04,Species average vigilance
VIG-0017,scholar,Prebel Cord,Vornis Keth,0.42,25,17,28,19,0.07,0.32,0.32,0.55,0.13,Reconstructionist open to new evidence
VIG-0018,system,Trade Route Registry,Lurra Venn,0.55,16,8,20,17,0.05,0.50,0.15,0.50,0.05,Registry appropriately balanced
