manuscript_id,assessment_date,classification,provenance_score,classifier_id,method_version,evidence_cited,subsequent_revision
MS-0001,909,verified,0.505,ARV-005,v2.1,stylometric_analysis; paper_fiber_analysis,yes
MS-0001,910,verified,0.521,ARV-005,v2.2,ink_composition_test; stylometric_analysis; engine_composite_score,yes
MS-0001,911,mup,0.534,ARV-002,v2.2,historical_cross_reference,no
MS-0003,910,likely_authentic,0.843,ARV-003,v2.2,stylometric_analysis; paper_fiber_analysis; physical_examination,yes
MS-0003,911,verified,0.903,ARV-006,v2.2,historical_cross_reference; ink_composition_test,no
MS-0007,910,mup,0.371,ARV-007,v2.2,ink_composition_test; engine_composite_score; paper_fiber_analysis,yes
MS-0007,911,mup,0.365,ARV-011,v2.2,engine_composite_score; ink_composition_test; historical_cross_reference,no
MS-0089,909,likely_authentic,0.434,ARV-011,v2.1,physical_examination,yes
MS-0089,910,disputed,0.391,ARV-012,v2.2,citation_network_analysis; historical_cross_reference; physical_examination,yes
MS-0089,911,mup,0.469,ARV-003,v2.2,citation_network_analysis; engine_composite_score; stylometric_analysis,no
MS-0091,910,verified,0.514,ARV-010,v2.2,ink_composition_test; paper_fiber_analysis; engine_composite_score,yes
MS-0091,911,mup,0.484,ARV-003,v2.2,stylometric_analysis,no
MS-0094,908,verified,0.445,ARV-010,v2.0,historical_cross_reference; engine_composite_score; physical_examination,yes
MS-0094,909,likely_authentic,0.48,ARV-011,v2.1,engine_composite_score; ink_composition_test; physical_examination,yes
MS-0094,910,disputed,0.451,ARV-001,v2.2,stylometric_analysis,yes
MS-0094,911,mup,0.457,ARV-008,v2.2,physical_examination,no
MS-0047,910,verified,0.463,ARV-002,v2.2,physical_examination; citation_network_analysis; engine_composite_score,yes
MS-0047,911,mup,0.478,ARV-011,v2.2,citation_network_analysis; paper_fiber_analysis; historical_cross_reference,no
MS-0048,910,disputed,0.501,ARV-003,v2.2,engine_composite_score; stylometric_analysis; ink_composition_test,yes
MS-0048,911,mup,0.559,ARV-012,v2.2,physical_examination; historical_cross_reference,no
MS-0156,910,likely_authentic,0.069,ARV-009,v2.2,ink_composition_test; stylometric_analysis; citation_network_analysis,yes
MS-0156,911,forged,0.088,ARV-011,v2.2,ink_composition_test; engine_composite_score,no
MS-0157,909,verified,0.159,ARV-001,v2.1,stylometric_analysis,yes
MS-0157,910,forged,0.16,ARV-005,v2.2,citation_network_analysis; engine_composite_score,yes
MS-0157,911,forged,0.174,ARV-012,v2.2,engine_composite_score; stylometric_analysis,no
MS-0158,908,likely_authentic,0.11,ARV-004,v2.0,stylometric_analysis; engine_composite_score,yes
MS-0158,909,mup,0.156,ARV-012,v2.1,stylometric_analysis; engine_composite_score,yes
MS-0158,910,disputed,0.161,ARV-007,v2.2,ink_composition_test; physical_examination,yes
MS-0158,911,forged,0.103,ARV-011,v2.2,engine_composite_score,no
MS-0159,909,disputed,0.127,ARV-004,v2.1,ink_composition_test,yes
MS-0159,910,disputed,0.148,ARV-003,v2.2,historical_cross_reference; paper_fiber_analysis; engine_composite_score,yes
MS-0159,911,forged,0.148,ARV-010,v2.2,historical_cross_reference; citation_network_analysis; engine_composite_score,no
MS-0031,908,verified,0.324,ARV-004,v2.0,stylometric_analysis,yes
MS-0031,909,verified,0.366,ARV-010,v2.1,engine_composite_score; historical_cross_reference,yes
MS-0031,910,mup,0.378,ARV-006,v2.2,ink_composition_test; engine_composite_score,no
MS-0044,909,likely_authentic,0.314,ARV-008,v2.1,historical_cross_reference; physical_examination; stylometric_analysis,yes
MS-0044,910,likely_authentic,0.302,ARV-011,v2.2,citation_network_analysis; engine_composite_score; paper_fiber_analysis,yes
