source_id,w1_concept,w1_scholar,treatise_reference,memory_principle,structural_elements,w2_manifestation,transformation_type,fidelity_notes,dens_processing_evidence
MTW-001,Basin Topology,Vornis Keth,On Basin Topology (spatial-philosophy/001),Memory as attractor basins,States organize around stable attractors; recall is basin descent,Five Family Collectives teaching,Practice pattern preserved,"Keth's cognitive basins → memory palace structure. Five families may reflect basin multiplicity."
MTW-002,Resonance Calculus,Vornis Keth,The Resonance Calculus (spatial-philosophy/002),Similarity-based memory retrieval,Similar states reinforce each other; resonance enables recall,Mnemonic correspondence methods,Resonance preserved,"Keth's resonance → 'absolute correspondence' principle. Similar patterns link in memory."
MTW-003,Stability-Plasticity Dilemma,Vornis Keth,Stability and Plasticity (spatial-philosophy/005),Balance between retention and learning,Vigilance parameters control memory stability,Three Schools of Memory tensions,Dilemma preserved,"Keth's tradeoff → schools disagree on balance. One school favors retention another flexibility."
MTW-004,Ghost Persistence Theory,Sareth Moll,Persistence of Ghosts (levin-aragon-synthesis/04),Memory decay curves,Exponential decay; reactivation preserves ghosts,Practice of continuous rehearsal,Decay dynamics preserved,"Moll's ghosts → memories that fade without practice. Reactivation → rehearsal protocols."
MTW-005,Form Library Access,Erris Pol,Form Library Hypothesis (levin-platonic-seeds),Memory as form retrieval,"Bodies 'read' forms; memory accesses pre-existing patterns",Artbook mnemonism practice,Access metaphor preserved,"Pol's reading → placing memories in paintings. Visual art as memory library interface."
MTW-006,Navigation Resonance,Rellen Voss,Attractor Navigation (levin-aragon-synthesis/03),Memory as destination-finding,Following gradients to remembered states,Method of finding correct associations,Navigation preserved,"Voss's pathfinding → finding correct memory through associative gradient. Destination paradox applies."
MTW-007,TAME Hierarchy,Pell Anster,Hierarchy of Minds (levin-platonic-seeds),Hierarchical memory organization,"Triggered/Autonomous/Modular/Emergent memory levels",Levels of mnemonic sophistication,Hierarchy preserved,"Anster's mind levels → levels of mnemonic skill. Triggered (rote) to Emergent (creative recall)."
MTW-008,Integration-Coordination formula,Pell Anster,Hierarchy of Minds (levin-platonic-seeds),Memory integration mathematics,I-C-∫ formula for cognitive coherence,Methods for linking memory items,Formula applied,"Anster's integration → techniques for connecting disparate memories. Coordination across memory domains."
MTW-009,Observer Access Theory,Tobin Creel,Observer's Computation (levin-platonic-seeds),Observer-dependent memory,Same substrate computes differently for different observers,Personal mnemonic systems,Observer dependence preserved,"Creel's polycomputing → each mnemonist develops unique system. Same training different methods."
MTW-010,Constellation Method,Pemlik Tross,On Boundaries (levin-aragon-synthesis/02),Memory clustering,Neighbor relationships form memory constellations,Memory palace room connections,Clustering preserved,"Tross's constellations → memory palace structure. Items cluster by relationship not just sequence."
MTW-011,Tension Fields,Pemlik Tross,On Boundaries (levin-aragon-synthesis/02),Memory through contrast,Positive/negative edges create memorable tension,Contrasting images in palaces,Tension preserved,"Tross's tension → memorable oppositions. Strong memories from contrasting associations."
MTW-012,Taxonomy of Failure,Kella Vorn,Taxonomy of Failure (levin-aragon-synthesis/08),Memory failure modes,Six domains of cognitive breakdown,Understanding why methods fail,Failure analysis preserved,"Vorn's taxonomy → diagnosing mnemonic problems. Why certain techniques fail for certain people."
MTW-013,Ingression Mechanics,Archon Vells,Ingression Problem (levin-platonic-seeds),Memory manifestation,How potential memories become actual recall,Technique for making memories 'real',Manifestation preserved,"Vells's ingression → the moment of successful recall. Potential memory becoming actual experience."
MTW-014,Cognitive Horizons,Mira Strand,Cognitive Horizons (levin-platonic-seeds),Memory scope limits,Temporal depth and agential range of memory,Understanding personal memory limits,Limits acknowledged,"Strand's horizons → recognizing what can't be remembered. Designing systems within cognitive limits."
MTW-015,Creature Grammar,Pollus Brent,The Pattern Book (bioinformatics-seeds),Behavioral memory patterns,Prime-number behavioral cycles (2 3 5 7 11),Rhythmic memory techniques,Pattern preserved,"Brent's creature rhythms → rhythmic rehearsal patterns. Prime cycles may optimize retention."
MTW-016,Federation Theory,Tessyn Mord,Federations of Mind (levin-platonic-seeds),Collective memory,Parts negotiate with wholes through trust,Memory sharing in families/collectives,Federation preserved,"Mord's federations → Five Family structure. Collective memory across family units."
MTW-017,Trust Economics,Tessyn Mord,Federations of Mind (levin-platonic-seeds),Memory transmission trust,Trust determines information flow between parts,Family teaching traditions,Trust preserved,"Mord's trust → why methods work better in family lineages. Trust enables memory transmission."
MTW-018,Principle of Non-Accumulation,Prebel/Guild,Dens Mapping Principles,Temporary validity of memory,Memory valid only at moment of recall,Continuous practice necessity,Non-accumulation preserved,"Guild principle → memories must be remade. Continuous practice prevents decay."
MTW-019,Dens Mapping Principles,Council of Cartographers,Mapping Practices (bioinformatics-seeds),Spatial memory principles,Six principles for mapping unstable regions,Principles for memorizing unstable content,Principles preserved,"Guild mapping → memorizing difficult/changing material. Dens instability → memory instability."
MTW-020,Prime-Number Cycles,Multiple W1 sources,Various,Temporal memory optimization,2/3/5/7/11 patterns in cognition,Practice interval optimization,Cycles preserved,"Prime patterns → optimal rehearsal intervals. Spacing based on prime cycles may enhance retention."
MTW-021,Reflexive Subjects,Tennev Crost,Simulated Citizens (bioinformatics-seeds),Self-aware memory,Subjects who know they're being observed,Meta-mnemonic awareness,Reflexivity preserved,"Crost's reflexivity → knowing how your memory works. Self-observation improves technique."
MTW-022,The Mnemonist's Method,Unknown W1 source,Unknown,Primary W1 mnemonic tradition,Unknown core principles,The Mnemonist (Quonxy's father) teaching,Source unclear,"Gap: W1 source for The Mnemonist's original method unclear. Dens may have obscured origins."
