trajectory_id,entity_id,entity_name,start_basin,end_basin,start_form,end_form,duration,steps,path_type,success,notes
ET-001,ENT-001,Stakdur Alpha,BA-001,BA-001,FL-008,FL-001,45,12,cyclic,True,Successful return to Quintic Cycle attractor
ET-002,ENT-002,Stakdur Beta,BA-001,BA-003,FL-008,FL-004,120,35,crossing,True,Basin transition to Tension attractor
ET-003,ENT-003,Reed-Spinner Colony,BA-001,BA-001,FL-001,FL-001,0,0,stable,True,Remained in Quintic Cycle throughout observation
ET-004,ENT-004,Cave Bat Group,BA-004,BA-011,FL-005,FL-011,180,42,seasonal,True,Seasonal transition to Deep Rest
ET-005,ENT-005,Maw Beast,BA-006,BA-006,FL-006,FL-006,0,0,stable,True,Stable in Septenary Rhythm
ET-006,ENT-006,Young Stakdur,BA-015,BA-001,FL-003,FL-001,90,28,developmental,True,Developmental trajectory to Quintic
ET-007,ENT-007,Injured Creature,BA-001,BA-011,FL-001,FL-011,30,15,crisis,True,Emergency transition to Deep Rest
ET-008,ENT-008,Territorial Creature,BA-003,BA-003,FL-013,FL-004,60,22,escalation,True,Escalated to Tension during conflict
ET-009,ENT-009,Migrating Flock,BA-079,BA-079,FL-079,FL-079,365,120,annual,True,Completed annual migration arc
ET-010,ENT-010,Foraging Group,BA-032,BA-032,FL-032,FL-088,8,5,daily,True,Daily foraging cycle completed
ET-011,ENT-011,Stressed Individual,BA-099,BA-011,FL-099,FL-011,14,10,crisis,True,Stress-induced retreat to rest
ET-012,ENT-012,Recovering Entity,BA-011,BA-099,FL-011,FL-099,60,25,recovery,True,Successful recovery trajectory
ET-013,ENT-013,Territorial Pair,BA-036,BA-036,FL-036,FL-087,30,18,reproductive,True,Coupling to courtship transition
ET-014,ENT-014,Grieving Individual,BA-099,BA-038,FL-099,FL-038,90,35,processing,True,Mourning cycle trajectory
ET-015,ENT-015,Exploration Party,BA-040,BA-081,FL-040,FL-081,21,45,exploration,True,Systematic exploration completed
ET-016,ENT-016,Threatened Group,BA-099,BA-157,FL-099,FL-069,5,8,emergency,True,Emergency stasis response
ET-017,ENT-017,Learning Juvenile,BA-058,BA-128,FL-058,FL-128,180,65,developmental,True,Play to learning transition
ET-018,ENT-018,Dominant Individual,BA-118,BA-080,FL-118,FL-080,45,20,social,True,Display to rank maintenance
ET-019,ENT-019,Prey Individual,BA-085,BA-107,FL-085,FL-107,2,6,escape,True,Successful retreat trajectory
ET-020,ENT-020,Predator Individual,BA-171,BA-184,FL-171,FL-184,4,10,hunting,True,Hunt sequence completed
ET-021,ENT-021,Failed Hunt,BA-171,BA-099,FL-171,FL-099,8,15,hunting,False,Hunt failed return to baseline
ET-022,ENT-022,Lost Individual,BA-122,BA-099,FL-122,FL-099,72,40,disorientation,True,Recovered from drift state
ET-023,ENT-023,Sick Entity,BA-099,BA-011,FL-099,FL-011,21,18,illness,True,Illness trajectory to rest
ET-024,ENT-024,Recovered Entity,BA-011,BA-099,FL-011,FL-099,45,22,recovery,True,Full recovery documented
ET-025,ENT-025,Transitional Entity,BA-018,BA-099,FL-018,FL-099,30,25,transition,True,Successful transition passage
