date,author,title,genre,topic,tradition,key_concept,location,notes,event_id
847-12-15,vornis_keth,Memorandum on Accelerating Drift in the Southwest Quadrant,,,,,capital,Keth's memorandum predicting SW collapse. Council filed without response.,EV-847-003
843-06-15,vornis_keth,Notes on Shape and Language,,,,,capital,Keth's early observations on embodied cognition and geometric encoding. Foundation for later translation insights.,EV-843-004
858-09-01,thurmond_gast,Second Report: On the Nature of Space in the Western Territory,,,,,capital,Thurmond writes his translation guide. Maps Densworld phenomena to real-world concepts. Never submitted.,EV-858-001
902-09-20,erris_pol,On the Architecture of the Library,,prime_architecture,,,capital,"Pol's treatise on prime architecture. 'The primes are not accidents of evolution. They are addresses in the Library. When we observe a creature cycling on intervals of 2, 3, 5, 7, 11, we are watching it navigate the stacks.'",EV-902-001
918-02-15,erris_pol,Forms and the Dens,,dens_instability,,,capital,"Pol explains Dens proximity effects: 'In the Dens, the distinction between Form and matter dissolves. What elsewhere requires a body to read, there reads itself.'",EV-918-001
915-04-10,pell_anster,Beyond Species,,classification_reform,,,capital,"Anster proposes abandoning species-based classification: 'When I ask what kind of entity something is, I am not asking about its substance. I am asking: How should I approach it? What kind of interaction will succeed?'",EV-915-001
917-11-15,pell_anster,The Persuadability Spectrum,,level_variance_and_transitions,,,capital,Anster's treatise on level variance: 'The hardest level to diagnose is the one whose defining characteristic is the capacity to question categories.' Also introduces the harm principle: treating a Level 4 entity as Level 2 is 'a form of violation.',EV-917-001
838-09-15,pemlik_tross,On the Geometry of Affinities,,constellation_method,,,western_archive,Tross's foundational treatise introducing the Constellation Method. Proposes sympathetic neighbors (KNN equivalent) and antipathetic neighbors (KFN equivalent) as the basis for classification. Introduces the tension field concept that modern scholars recognize as the graph Laplacian.,EV-838-001
923-07-01,rellen_voss,On the Problem of Finding,,navigation_resonance,,,western_archive,Voss's major treatise proposing the resonance framework: 'How does the young stakdur know WHERE to go? The Quintic Cycle is not inscribed on its body. It exists in morphospace—a landscape of Forms that bodies read but do not create. Navigation is reading in motion.',EV-923-001
905-06-15,sareth_moll,An Investigation of Ghosts,,membrane_scars,,,western_archive,Moll's foundational treatise defining ghosts as 'membrane scars'—patterns that persist after their substrates die. Opens with the famous Third Mill case: 'The mill burned in Year 777. Yet workers passing that site still feel the grinding. The substrate is gone. The pattern persists.',EV-905-001
912-11-01,sareth_moll,On the Rates of Fading,,decay_curves,,,western_archive,"Moll's systematic study of decay rates: 'I have measured 200 decay curves. No two are identical. Yet patterns emerge. Decay is not random. Decay follows rules.' Critical finding: decay accelerates near the Dens unless reinforced by population, ritual, or institution.",EV-912-009
911-12-15,tessyn_mord,The Archive Knows,,collective_knowledge,,,capital_archives,Mord's first major work documenting the Veth Morin incident. 'The Archive remembers through us. It thinks through us. It knows through us. We are its components.' Foundation for the federation framework.,EV-911-002
916-03-15,archon_vells,The Problem of Manifestation,,ingression_question,,,capital,Archon Vells names the problem Pol left unexplained: how do Forms cross from potential to actual? 'This is the problem of manifestation. I do not propose to solve it. I propose to name it.' Introduces the term 'ingression' for the transition from Form-space to physical reality.,EV-916-001
924-08-20,archon_vells,What Cannot Be Said,,research_reflection,,,capital,"Vells reflects on eight years of ingression research. Despite extensive cataloging and measurement, the fundamental mechanism remains mysterious. The humility of this work—naming rather than explaining—becomes central to Vells's approach.",EV-924-001
934-09-15,archon_vells,On the Mechanics of Manifestation,,ingression_mechanics,,,capital,"Vells's magnum opus synthesizing a decade of ingression research. Formalizes the Rate × Fidelity law, the five barrier types, and the channel effect. Documents 400 ingression events with detailed measurements. Establishes ingression mechanics as a field of systematic study.",EV-934-002
940-12-01,archon_vells,What I Have Measured,,career_reflection,,,capital,"Vells ends his career uncertain but accomplished. 'I have spent forty years counting the seconds between potential and actual. I know that a complex Form takes longer than a simple one. I know that prior manifestation creates channels. But I do not know what is happening.' The fundamental question remains unanswered, but the mechanics are established.",EV-940-001
930-11-15,kella_vorn,On the Taxonomy of Failure,,pathology_synthesis,,,capital,"Vorn's magnum opus synthesizing 15 years of research and 2,000+ cases. Unifies the work of Keth (landscapes), Tross (boundaries), Voss (navigation), Moll (ghosts), Strand (horizons), and Mord (federations) into a coherent taxonomy of failure. Published the same year she rediscovered Tross and Keth—a year of profound intellectual synthesis.",EV-930-004
935-04-10,kella_vorn,A Taxonomy of Dissolution,,boundary_failure_classification,,,capital,"Vorn's detailed study of boundary dissolution builds on her earlier synthesis and her rediscovery of Pemlik Tross. 'Not all boundaries fail the same way. Some crumble gradually, worn down by persistent forces. Others collapse suddenly, as if some critical threshold were crossed.' Completes the Tross framework with failure analysis.",EV-935-003
938-08-25,kella_vorn,Exceptions to the Rule,,anomaly_analysis,,,capital,"Vorn catalogs the exceptions—cases that dissolve too fast, too slow, or in ways that violate every rule. 'These anomalies are not errors. They are messages from a deeper structure.' This work lays the foundation for modern anomaly detection in pathology classification.",EV-938-001
876-06-15,kellis_vorn,On the Preservation of Method,,opacity_conventions,,,capital,"Kellis Vorn publishes her foundational work codifying the five principles of the Opacity Conventions. Six years after leaving the Archive, she articulates the framework that will reshape institutional-practitioner relationships: 'My methods are not their property—not yet. But if I document them, they become so.'",EV-876-001
889-05-15,quonxy,On the Practice of Iterative Cartography,,mapping_methodology,,,capital,Quonxy publishes foundational paper on iterative cartography. The methodology involves repeated mapping passes that appear to produce noise until sudden coherence occurs. This work precedes and prefigures her computational discoveries.,EV-889-004
914-08-15,tessyn_korr,Progress Measures for Grokking: A Mechanistic Approach,,interpretability,,,bureau_of_computational_standards,"Korr publishes the foundational paper establishing progress measures for grokking. The work identifies three phases (memorization, circuit formation, cleanup) and shows that internal measures can predict generalization before it becomes visible in accuracy.",EV-914-002
920-09-01,melleth_cord,Grokking as Phase Transition: A Statistical Physics Perspective,,transition_dynamics,,,bureau_of_computational_standards,"Cord publishes her synthesis connecting grokking to statistical physics. The work establishes that phase diagrams can predict grokking, and that the transition is governed by the same laws that describe physical phase changes.",EV-920-005
918-03-15,tessyn_korr,The Circuit Cartography Manual,,mechanistic_interpretability_methodology,,,bureau_of_computational_standards,"Korr publishes the comprehensive manual for mechanistic interpretability. The work codifies probing, ablation, and circuit tracing methods developed over years of grokking analysis. It becomes the standard reference for the Mechanism Cartography school.",EV-918-007
923-09-01,tobben_rast,On the Role of Chance in Learning,,initialization_theory,,,bureau_of_computational_standards,"Rast publishes his synthesis on initialization and learning dynamics. The work challenges the classical bias-variance tradeoff, showing that overparameterized models can generalize well despite fitting training data exactly. Ghost persistence — essential structure that survives pruning — emerges as a key concept.",EV-923-004
921-09-20,prenn_vash,On the Extraction of Pure Forms,,feature_extraction,,,capital_archives,"Vash publishes her foundational work on feature extraction. The paper bridges Erris Pol's Form Library philosophy with practical extraction techniques, showing how abstract forms (pure concepts) can be recovered from mixed representations.",EV-921-004
924-08-15,guild_of_model_interpreters,Progress Measures: A Practical Guide,,training_monitoring,,,bureau_of_computational_standards,"The Guild of Model Interpreters publishes practical guidelines for monitoring training with progress measures. A combined progress score above 0.5 reliably predicts imminent grokking, allowing practitioners to terminate hopeless training early while continuing promising experiments.",EV-924-005
925-12-01,bureau_of_computational_standards,Complete Guide to Grokking: Theory and Practice,,synthesis,,,bureau_of_computational_standards,"The Bureau publishes the comprehensive synthesis of grokking research. The document consolidates discoveries from Quonxy, Korr, Cord, Rast, Vash, and others into a unified practical framework. It marks the transition from discovery to application.",EV-925-004
921-02-20,morwen,On the Limits of Foreign Inference Methods,,,,,capital.archives.inference_division,The fundamental insight: models trained on foreign data don't understand Densworld,EV-921-008
925-05-01,krenn,The Forgemaster's Manual,,,,,yeller_quarry.forge,"Krenn: 'The model is only as good as the data you feed it. Garbage in, garbage out.'",EV-925-007
927-07-15,nomis,The Wanderer's Journal: Model Evaluation in Densworld,,,,,capital.wanderer_collective,The wanderer's discipline formalized,EV-927-005
920-08-15,dren,On the Extraction of Structure from Chaos,,,,,capital.data_mines,Dren: 'The data is never clean when it arrives. Someone has to make it clean.',EV-920-015
920-11-30,detective_cousins,The Cousins Report: The Vivian Effect,,,,,hilly_dale,Cousins documents the measurable 'Vivian Effect' but notes correlation is not causation. Further investigation required.,EV-920-019
919-09-30,little_porn,The Tractatus in Puzzle Language,,"Encoded propositions 1-6, documented failure of proposition 7",,,hilly_dale,The hole won. The absence. The thing neither of them could name. That's the only winner in any language game.,EV-919-013
752-06-15,kelleth_trove,On Rendering the Unobserved,,,,,capital_archives.Wing-M,"Trove's foundational work proposing that precision in instruction produces consistency in output. Introduced the three principles: Material Grounding, Institutional Context, Specification over Impression.",EV-752-001
730-04-25,hesta_vorn,Creature Survey of the Dens Periphery,,"Standardized creature documentation including danger assessments, habitat/behavior correlation, observation protocols",,,capital_archives.Taxonomic-Division,Hesta Vorn's foundational work establishing taxonomic standards. 'A creature poorly described is a danger poorly anticipated.',EV-730-001
745-08-10,pollus_brent,Pattern Book of Creature Behaviors,,Creature grammar connecting physical traits to behavioral patterns and cultural meanings,,,capital,Pollus Brent's work on symbolic meaning in creature depiction. 'Each feature speaks a grammar we must learn to read.',EV-745-001
720-11-05,alleth_vorn,Principles of the Notation Scribes,,Foundational treatise on visualizing abstract concepts,,,capital_archives,"Alleth Vorn's founding document for the Notation Scribes school. 'A diagram succeeds when it can be read, not when it can be admired.'",EV-720-002
755-07-18,kelleth_trove,On Rendering Abstract Concepts,,Extension of visual specification methodology to philosophical and mathematical frameworks,,,capital_archives.Wing-M,Trove's application of her specification method to the visualization challenges addressed by the Notation Scribes.,EV-755-001
689-04-20,venn_tessik,On Describing Visual Traditions,,Systematic vocabulary for visual specification distinguishing essential from incidental elements,,,capital_archives.Wing-M,Tessik's foundational work on style translation methodology.,EV-689-001
