correspondence_id,type_side,logic_side,type_notation,logic_notation,example_type,example_proposition,inhabitant_meaning,discoverer,year,event_id,notes
CH-001,function_type,implication,"A → B","A ⊃ B","Nat → Bool","'Every natural has a parity'","A proof that transforms A into B",sereth_linn,895,EV-895-007,"Functions are proofs of implication."
CH-002,product_type,conjunction,"A × B","A ∧ B","Nat × String","'Both a number and a name'","A proof of both A and B",sereth_linn,895,EV-895-007,"Pairs are proofs of conjunction."
CH-003,sum_type,disjunction,"A + B","A ∨ B","Nat + String","'Either a number or a name'","A proof of either A or B",sereth_linn,895,EV-895-007,"Tagged unions are proofs of disjunction."
CH-004,empty_type,falsity,"⊥","⊥","Void","'Contradiction'","No inhabitants (nothing proves false)",sereth_linn,895,EV-895-007,"Empty type corresponds to falsity."
CH-005,unit_type,truth,"⊤","⊤","Unit","'Trivially true'","One inhabitant (trivial proof)",sereth_linn,895,EV-895-007,"Unit type corresponds to truth."
CH-006,dependent_function,universal,"Π(x:A).B(x)","∀x:A. B(x)","Π(n:Nat).Vec(n)","'For all n, there exists a list of length n'","A proof that works for all x",sereth_linn,895,EV-895-007,"Dependent functions are proofs of universals."
CH-007,dependent_pair,existential,"Σ(x:A).B(x)","∃x:A. B(x)","Σ(n:Nat).Vec(n)","'There exists n and a list of that length'","A witness x and a proof of B(x)",sereth_linn,895,EV-895-007,"Dependent pairs are proofs of existentials."
CH-008,identity_type,equality,"Eq(a,b)","a = b","Eq(2+2,4)","'2+2 equals 4'","A proof that a equals b",sereth_linn,901,EV-901-003,"Identity types are propositions of equality."
CH-009,negation,negation,"A → ⊥","¬A","(Eq(0,1)) → Void","'0 does not equal 1'","A function from A to contradiction",sereth_linn,902,EV-901-003,"Negation is function to empty type."
CH-010,program_term,proof_term,"t : A","π : P","zeroes(3) : Vec(3)","'π proves Vec(3) is inhabited'","A term is a proof",sereth_linn,895,EV-895-007,"Programs are proofs; execution is proof simplification."
CH-011,type_checking,proof_checking,"Γ ⊢ t : A","Γ ⊢ π : P","⊢ zeroes : Π(n:Nat).Vec(n)","'zeroes is a valid proof'","Type checking verifies proofs",sereth_linn,896,EV-897-002,"Type checkers are proof checkers."
CH-012,termination,consistency,"all terms normalize","no proofs of false","strong normalization","'The system proves no contradictions'","Terminating type theory is consistent",sereth_linn,897,EV-897-002,"Termination implies logical consistency."
CH-013,stakdur_classification,archive_proposition,"Stakdur_Phase(n)","'Specimen s is in phase n'","s : Stakdur_Phase(3)","'Record s documents phase 3'","A classified specimen is a proof",sereth_linn,912,EV-912-010,"Archive classification as proposition."
CH-014,creature_property,biological_proposition,"Positive(feeding_count)","'Creature has fed'","pf : Positive(7)","'Proof that 7 > 0'","Properties of creatures are propositions",pollus_brent,913,EV-912-010,"Creature properties as dependent types."
